dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0001/anat/sub-0001_T1w.nii.gz,,sub-0001,,240,240,220,1.0,1.0,1.0,6.390305519104004,,,,12672000,4090370,0.3227880366161616,0.0,95170.921875,10447.74354517773,9443.31640625,8399.415671073408,6492.280029296875,-0.16550546786966835,0.646807617513704,147.55181884765625,147.55181884765625,26706.87890625,29510.36328125,0.0391082363649917,0.4065
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0010/anat/sub-0010_T1w.nii.gz,,sub-0010,,240,240,220,1.0,1.0,1.0,5.700559616088867,,,,12672000,3672778,0.2898341224747475,0.0,109200.9375,8896.039490566938,8073.75341796875,7267.36832381411,5336.887939453125,0.8908459439157719,0.8265956679812224,136.84327697753906,136.84327697753906,23400.201171875,26137.06640625,0.03362566253269043,0.3802
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0004/anat/sub-0004_T1w.nii.gz,,sub-0004,,240,240,220,1.0,1.0,1.0,5.325636863708496,,,,12672000,3293405,0.2598962279040404,0.0,79997.5078125,8976.39981234055,7662.09912109375,7789.672699059649,5973.84033203125,0.07799317375715775,0.7634737094684416,129.8660888671875,129.8660888671875,24155.091796875,26492.681640625,0.04585217635382017,0.3476
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0006/anat/sub-0006_T1w.nii.gz,,sub-0006,,240,240,220,1.0,1.0,1.0,6.637459754943848,,,,12672000,4271793,0.3371048768939394,0.0,92364.890625,9887.897413518705,8449.78515625,8227.259247558986,6118.8095703125,-0.13956389666212976,0.7227840264654252,145.68594360351562,145.68594360351562,25786.412109375,28408.759765625,0.040178250182405104,0.4108
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0007/anat/sub-0007_T1w.nii.gz,,sub-0007,,240,240,220,1.0,1.0,1.0,5.571146011352539,,,,12672000,3458582,0.27293102904040406,0.0,100317.6484375,9661.909049051726,8206.521484375,8447.924062587328,6225.6370849609375,0.6987821420938549,0.8837177571628942,141.4917449951172,141.4917449951172,26317.46484375,29854.7578125,0.0369773027008752,0.3564
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0003/anat/sub-0003_T1w.nii.gz,,sub-0003,,240,240,220,1.0,1.0,1.0,5.917985916137695,,,,12672000,3569719,0.28170130997474746,0.0,63611.47265625,10146.903728841055,8297.1484375,8871.347927842366,6499.432861328125,-0.2802325531674228,0.7680052101055631,138.2858123779297,138.2858123779297,26827.447265625,32773.73828125,0.05846416955249091,0.3626
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0002/anat/sub-0002_T1w.nii.gz,,sub-0002,,240,240,220,1.0,1.0,1.0,5.92033576965332,,,,12672000,3666661,0.28935140467171716,0.0,60148.8671875,9967.06659709149,8705.7568359375,8262.66753762465,6463.365234375,-0.662842313076879,0.6025367120059015,131.90541076660156,131.90541076660156,25589.650390625,28623.474609375,0.06151989443279354,0.3768
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0009/anat/sub-0009_T1w.nii.gz,,sub-0009,,240,240,220,1.0,1.0,1.0,5.798079490661621,,,,12672000,3559881,0.2809249526515151,0.0,82687.03125,10086.816801497986,8226.8720703125,8823.505171882685,6553.609375,-0.3713818187402431,0.7439091393004679,139.43850708007812,139.43850708007812,26772.193359375,30815.91015625,0.04497187815155346,0.362
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0008/anat/sub-0008_T1w.nii.gz,,sub-0008,,240,240,220,1.0,1.0,1.0,6.372607231140137,,,,12672000,4120401,0.3251579071969697,0.0,84433.640625,9850.969910649732,9124.046875,7619.981431474773,5648.2197265625,-0.3417453718700978,0.582905194461179,144.82614135742188,144.82614135742188,24475.6171875,27227.314453125,0.04379162649201991,0.4147
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0005/anat/sub-0005_T1w.nii.gz,,sub-0005,,240,240,220,1.0,1.0,1.0,5.967005729675293,,,,12672000,3843198,0.30328267045454543,0.0,92299.390625,8311.321072720897,7784.2861328125,6436.235124691115,4726.173828125,0.6024407819496331,0.7073092308946564,139.00511169433594,139.00511169433594,20850.767578125,23213.853515625,0.03946480894252028,0.3987
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0011/anat/sub-0011_T1w.nii.gz,,sub-0011,,240,240,220,1.0,1.0,1.0,5.498291015625,,,,12672000,3434538,0.2710336174242424,0.0,70984.5703125,9139.635815719608,8045.78271484375,7550.19631298825,5839.680908203125,-0.43318048939453346,0.6459154828834837,129.77069091796875,129.77069091796875,23488.494140625,26213.6796875,0.05178560804514369,0.3638
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0012/anat/sub-0012_T1w.nii.gz,,sub-0012,,240,240,220,1.0,1.0,1.0,6.609519958496094,,,,12672000,4077262,0.32175363005050506,0.0,83026.84375,9761.87287222662,8469.2939453125,8170.691101093232,6247.83984375,-0.2356577662382513,0.7034819653944901,138.84088134765625,138.84088134765625,25407.880859375,28601.220703125,0.04458575542734143,0.3988
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0013/anat/sub-0013_T1w.nii.gz,,sub-0013,,240,240,220,1.0,1.0,1.0,6.089312553405762,,,,12672000,3837781,0.302855192550505,0.0,105132.5390625,9847.618210329327,9136.03125,7913.695898433568,6136.140380859375,-0.0599699101839648,0.6288072453119047,136.35867309570312,136.35867309570312,24817.279296875,27680.810546875,0.035112636087935425,0.3919
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0014/anat/sub-0014_T1w.nii.gz,,sub-0014,,240,240,220,1.0,1.0,1.0,5.807198524475098,,,,12672000,3642099,0.287413115530303,0.0,107540.671875,9602.406791256193,8597.794921875,7822.16578320939,6004.809326171875,0.023783497617678062,0.673736191193545,136.47293090820312,136.47293090820312,24701.599609375,27158.11328125,0.03434431274718432,0.3784
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0015/anat/sub-0015_T1w.nii.gz,,sub-0015,,240,240,220,1.0,1.0,1.0,5.93515682220459,,,,12672000,3807889,0.3004962910353535,0.0,98990.578125,9715.014089994023,8202.0771484375,8644.404673619356,6787.926025390625,-0.2536948723461645,0.7160662790617084,141.4151153564453,141.4151153564453,26444.626953125,29131.513671875,0.03727095573463004,0.3726
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0021/anat/sub-0021_T1w.nii.gz,,sub-0021,,240,240,220,1.0,1.0,1.0,6.309123992919922,,,,12672000,3988479,0.31474739583333333,0.0,57348.640625,9630.783355642947,8433.6240234375,7936.5884859073085,6044.0966796875,-0.34082777351372995,0.6897475779989669,140.56039428710938,140.56039428710938,24176.388671875,29377.123046875,0.06436966580631495,0.3967
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0018/anat/sub-0018_T1w.nii.gz,,sub-0018,,240,240,220,1.0,1.0,1.0,6.388389587402344,,,,12672000,4113172,0.32458743686868685,0.0,71159.3671875,10035.331106342255,8785.107421875,8154.795362716395,6003.15625,-0.3373011838695956,0.6898558772422967,146.41845703125,146.41845703125,26208.904296875,28990.85546875,0.052279505434760995,0.4062
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0016/anat/sub-0016_T1w.nii.gz,,sub-0016,,240,240,220,1.0,1.0,1.0,6.1113386154174805,,,,12672000,3893322,0.30723816287878786,0.0,60921.921875,9314.634695832665,8313.7294921875,7708.26130117662,5996.7890625,-0.6107491239321643,0.6129674429031381,136.2906494140625,136.2906494140625,23850.86328125,26849.2578125,0.06029492773572655,0.3902
AOMIC_PIOP2,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP2/sub-0017/anat/sub-0017_T1w.nii.gz,,sub-0017,,240,240,220,1.0,1.0,1.0,5.3505096435546875,,,,12672000,3282477,0.2590338541666667,0.0,48888.61328125,10467.914165452374,9252.9296875,8629.14607415017,6767.068115234375,-0.6500846861567484,0.5965735910572026,138.10342407226562,138.10342407226562,26792.064453125,30106.546875,0.07589224441217891,0.3548
