dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3008/ses-1/anat/sub-3008_ses-1_T1w.nii.gz,,sub-3008,ses-1,224,300,320,0.8,0.8,0.8,31.18676471710205,,,,21504000,19176982,0.8917867373511905,0.0,4095.0,793.8733832570736,146.0,1014.5016613700527,123.0,1.2666252527164756,1.4138849191815661,11.0,25.0,2936.0,4095.0,0.6435470636400146,0.5609
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3004/ses-1/anat/sub-3004_ses-1_T1w.nii.gz,,sub-3004,ses-1,224,300,320,0.8,0.8,0.8,30.230900764465332,,,,21504000,19010388,0.8840396205357143,0.0,4095.0,668.4561136258766,109.0,931.1426536949815,80.0,2.2230664592413296,1.6564679104265703,9.0,22.0,2639.0,4095.0,0.6234693675035257,0.5265
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3006/ses-1/anat/sub-3006_ses-1_T1w.nii.gz,,sub-3006,ses-1,224,300,320,0.8,0.8,0.8,30.634571075439453,,,,21504000,18788148,0.8737047991071428,0.0,4095.0,675.9235434487742,142.0,885.0971729118182,115.0,2.14446258156514,1.599252592700716,10.0,24.0,2529.0,3830.0,0.6389340160382547,0.5469
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3003/ses-1/anat/sub-3003_ses-1_T1w.nii.gz,,sub-3003,ses-1,224,300,320,0.8,0.8,0.8,30.438920974731445,,,,21504000,19186585,0.8922333054315477,0.0,4095.0,631.2024176266907,105.0,855.2078805312365,77.0,1.9632981415601627,1.5617338622553503,9.0,21.0,2389.0,3525.0,0.6202518851151774,0.5393
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3002/ses-1/anat/sub-3002_ses-1_T1w.nii.gz,,sub-3002,ses-1,224,300,320,0.8,0.8,0.8,30.766820907592773,,,,21504000,18889711,0.8784277808779762,0.0,4095.0,690.5909643614982,144.0,898.1434298218044,121.0,2.2881686972023996,1.6190897765036476,10.0,24.0,2564.0,4021.0,0.6393307710695577,0.5511
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3005/ses-1/anat/sub-3005_ses-1_T1w.nii.gz,,sub-3005,ses-1,224,300,320,0.8,0.8,0.8,30.160417556762695,,,,21504000,18828382,0.8755757998511905,0.0,4095.0,681.7922750876841,115.0,919.3096167231425,88.0,1.8480349552662663,1.5544650003141545,10.0,22.0,2592.0,3942.0,0.6284130794859561,0.5355
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3009/ses-1/anat/sub-3009_ses-1_T1w.nii.gz,,sub-3009,ses-1,224,300,320,0.8,0.8,0.8,31.752755165100098,,,,21504000,19112685,0.8887967354910714,0.0,4095.0,892.4143451848864,310.0,1086.562057617013,283.0,0.948519926362942,1.3335022752476329,11.0,26.0,3315.0,4095.0,0.6571418801195086,0.578
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3001/ses-1/anat/sub-3001_ses-1_T1w.nii.gz,,sub-3001,ses-1,224,300,320,0.8,0.8,0.8,30.446184158325195,,,,21504000,19050014,0.8858823474702381,0.0,4095.0,628.9912974867106,110.0,838.9161437294405,83.0,1.871911999061365,1.528114056527263,9.0,22.0,2326.0,3421.0,0.6230811409911499,0.5431
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3007/ses-1/anat/sub-3007_ses-1_T1w.nii.gz,,sub-3007,ses-1,224,300,320,0.8,0.8,0.8,30.94971466064453,,,,21504000,19002933,0.8836929408482143,0.0,4095.0,703.4791170920826,135.0,915.06656452656,112.0,2.0000245933938965,1.558228325686351,10.0,24.0,2588.0,4058.0,0.637575155233866,0.5523
CHCP_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/CHCP_bids/sub-3010/ses-1/anat/sub-3010_ses-1_T1w.nii.gz,,sub-3010,ses-1,224,300,320,0.8,0.8,0.8,30.978717803955078,,,,21504000,18885560,0.8782347470238095,0.0,4095.0,734.6753920455628,146.0,933.8049275692046,125.0,1.55571275234621,1.4527987700760638,10.0,23.0,2653.0,4045.0,0.6417601749086654,0.5584
