dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-4_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,256,256,0.9999976,1.0,1.0,10.435053825378418,11534336,11116947,0.9638133482499556,0.0,828.0,60.35769172957288,8.0,95.37270184137179,6.0,2.3425762386018087,1.761721129211989,1.0,1.0,275.0,373.0,1.941145949165394,0.5008
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-1_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,240,256,1.2,1.05469,1.05469,9.512965202331543,10813440,10237404,0.9467296253551136,0.0,1176.0,91.98460469079856,8.0,152.4607100826554,7.0,2.918292975973512,1.88601003933514,1.0,1.0,436.0,622.0,1.4330500817811607,0.4753
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-8_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,256,256,1.0000052,1.0,1.0,10.441831588745117,11534336,11121926,0.9642450159246271,0.0,728.0,60.14409977192799,8.0,95.01109690679661,6.0,2.326600958980361,1.761418932381873,1.0,1.0,275.0,371.0,2.2160455854539842,0.5011
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-3_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,240,256,1.2000046,1.0546875,1.0546875,10.377697944641113,10813440,10393038,0.9611222700639205,0.0,2213.0,100.50891760426548,16.0,151.36298590286594,14.0,6.503891756704663,2.1561526547582393,1.0,2.0,437.0,601.0,0.8417744960161109,0.5208
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30002/ses-19700101/anat/sub-OAS30002_ses-19700101_acq-bTE39Time143815290phase1_T1w.nii.gz,,,,,sub-OAS30002,ses-19700101,160,240,256,0.999996,1.0,1.0,13.140313148498535,9830400,9514561,0.9678711954752605,0.0,4095.0,668.2661698211825,190.0,709.7847119636746,139.0,0.001810147197355061,0.9455908770277113,28.0,50.0,1873.0,2638.0,0.6349006943538928,0.6584
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30002/ses-19700101/anat/sub-OAS30002_ses-19700101_acq-bremoved_run-1_T1w.nii.gz,,,,,sub-OAS30002,ses-19700101,176,240,256,1.1999979,1.0546875,1.0546875,10.275534629821777,10813440,10487200,0.9698301373106061,0.0,1305.0,76.69825034327562,9.0,122.22002529948597,6.0,3.2521388977112853,1.84157621375875,1.0,2.0,336.0,475.0,1.2718936871947484,0.4986
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-2_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,240,256,1.2000046,1.0546875,1.0546875,10.024269104003906,10813440,10418756,0.9635006066524621,0.0,1297.0,80.8980131601124,8.0,145.7637901002915,6.0,4.793940931241455,2.228647136074891,1.0,1.0,405.0,635.0,1.2655329048024366,0.4504
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-7_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,256,256,0.99999875,1.0,1.0,10.561481475830078,11534336,11073960,0.9600864757191051,0.0,819.0,69.9975427940863,8.0,110.0226567393503,6.0,2.3500026356350414,1.7453142799160628,1.0,1.0,313.0,440.0,1.9999000423236613,0.5008
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-5_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,256,256,0.9999985,1.0,1.0,10.759255409240723,11534336,11106163,0.9628784006292169,0.0,835.0,70.68828496394299,10.0,108.47492683313487,8.0,2.349779885598858,1.7382711712658216,1.0,1.0,310.0,433.0,2.019447172439074,0.5119
OASIS_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/OASIS_bids/sub-OAS30001/ses-19700101/anat/sub-OAS30001_ses-19700101_acq-bremoved_run-6_T1w.nii.gz,,,,,sub-OAS30001,ses-19700101,176,256,256,0.999997,1.0,1.0,10.580781936645508,11534336,10989794,0.9527894800359552,0.0,1015.0,66.86531376293314,10.0,100.321220228163,9.0,3.3562134409391247,1.8456102724632653,1.0,1.0,276.0,416.0,1.6696144483115967,0.5182
