dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC002/ses-01/anat/sub-HC002_ses-01_run-1_T1w.nii.gz,,sub-HC002,ses-01,224,320,320,0.8,0.8,0.8,19.93772792816162,,,,22937600,18989958,0.827896466936384,0.0,1344.0,138.9029751408613,37.0,168.18033564836566,17.0,1.1109813299360667,1.3684380426713094,15.0,18.0,475.0,633.0,1.4475220159481808,0.5608
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC005/ses-01/anat/sub-HC005_ses-01_run-1_T1w.nii.gz,,sub-HC005,ses-01,224,320,320,0.8,0.8,0.8,19.85517120361328,,,,22937600,19083113,0.8319577026367188,0.0,1287.0,129.885421000232,38.0,164.28913047907216,17.0,2.411104141672608,1.6833013904490253,15.0,18.0,467.0,697.0,1.5193100912187205,0.5488
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC004/ses-01/anat/sub-HC004_ses-01_run-1_T1w.nii.gz,,sub-HC004,ses-01,224,320,320,0.8,0.8,0.8,19.683913230895996,,,,22937600,18862887,0.8223566109793526,0.0,1221.0,130.08719423490157,39.0,149.32043192673638,17.0,0.6893516136703339,1.2806861349190348,16.0,19.0,432.0,531.0,1.5923801052083835,0.5783
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC001/ses-01/anat/sub-HC001_ses-01_run-2_T1w.nii.gz,,sub-HC001,ses-01,224,320,320,0.8,0.8,0.8,21.244083404541016,,,,22937600,18576775,0.8098831176757812,0.0,1963.0,177.273912021866,44.0,197.63507201395385,26.0,1.215705788767318,1.2343203152924207,13.0,17.0,532.0,791.0,1.0571193224504458,0.5814
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC005/ses-01/anat/sub-HC005_ses-01_run-2_T1w.nii.gz,,sub-HC005,ses-01,224,320,320,0.8,0.8,0.8,19.848027229309082,,,,22937600,19093969,0.8324309866768973,0.0,1385.0,131.65824381510203,37.0,168.53500363042804,16.0,2.4552520196713434,1.6962286009704466,15.0,18.0,476.0,718.0,1.4102251623111823,0.5446
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC004/ses-01/anat/sub-HC004_ses-01_run-2_T1w.nii.gz,,sub-HC004,ses-01,224,320,320,0.8,0.8,0.8,19.723910331726074,,,,22937600,18960388,0.8266073172433036,0.0,1261.0,130.15567366026477,39.0,151.22003176663856,17.0,0.7639498404063247,1.3057378815407248,16.0,19.0,436.0,539.0,1.5365131235165277,0.5757
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC002/ses-01/anat/sub-HC002_ses-01_run-2_T1w.nii.gz,,sub-HC002,ses-01,224,320,320,0.8,0.8,0.8,19.83215045928955,,,,22937600,19029960,0.8296404157366072,0.0,1292.0,138.04218521741507,36.0,169.01086713613384,16.0,1.178108645144528,1.3909889677593192,15.0,18.0,477.0,640.0,1.5035073387046187,0.5576
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC003/ses-01/anat/sub-HC003_ses-01_run-2_T1w.nii.gz,,sub-HC003,ses-01,224,320,320,0.8,0.8,0.8,20.707674026489258,,,,22937600,18757451,0.8177599661690849,0.0,2030.0,167.34766616210274,42.0,205.19887893416006,20.0,2.722180107939751,1.610175552280693,15.0,19.0,547.0,862.0,1.0002509307072767,0.5531
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC003/ses-01/anat/sub-HC003_ses-01_run-1_T1w.nii.gz,,sub-HC003,ses-01,224,320,320,0.8,0.8,0.8,21.140182495117188,,,,22937600,18629577,0.8121851021902902,0.0,2070.0,171.75596472211902,45.0,201.43836804425248,23.0,2.3848586985916223,1.5137595467942193,16.0,20.0,540.0,843.0,0.9968155644594447,0.5664
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC001/ses-01/anat/sub-HC001_ses-01_run-1_T1w.nii.gz,,sub-HC001,ses-01,224,320,320,0.8,0.8,0.8,21.207825660705566,,,,22937600,18540938,0.8083207484654018,0.0,1961.0,173.8539606248616,45.0,191.814981212209,27.0,1.2622104952804483,1.2337371790333231,13.0,17.0,519.0,766.0,1.0573366030553297,0.5845
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC007/ses-01/anat/sub-HC007_ses-01_run-1_T1w.nii.gz,,sub-HC007,ses-01,224,320,320,0.8,0.8,0.8,20.29895782470703,,,,22937600,18864102,0.8224095807756696,0.0,1250.0,140.69036654912065,42.0,172.03626604327383,18.0,2.2699540512313714,1.6526282202830584,18.0,21.0,487.0,737.0,1.5892632223599252,0.5576
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC006/ses-01/anat/sub-HC006_ses-01_run-2_T1w.nii.gz,,sub-HC006,ses-01,224,320,320,0.8,0.8,0.8,19.85816478729248,,,,22937600,18387984,0.8016524832589286,0.0,1526.0,154.37851849338134,38.0,185.31019862521413,17.0,1.797219322245228,1.4538113768384904,14.0,18.0,495.0,775.0,1.3048166383706388,0.5538
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC008/ses-01/anat/sub-HC008_ses-01_run-1_T1w.nii.gz,,sub-HC008,ses-01,224,320,320,0.8,0.8,0.8,20.022926330566406,,,,22937600,18973667,0.8271862357003348,0.0,1377.0,133.5151801177917,40.0,168.28093129667465,16.0,2.3875007280277245,1.6827871864108703,18.0,21.0,475.0,712.0,1.4106019244253685,0.5487
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC006/ses-01/anat/sub-HC006_ses-01_run-1_T1w.nii.gz,,sub-HC006,ses-01,224,320,320,0.8,0.8,0.8,19.841350555419922,,,,22937600,18277008,0.7968143136160715,0.0,1502.0,153.12420282356936,39.0,180.27358241707935,19.0,1.7202262999634108,1.42076141876356,14.0,18.0,484.0,750.0,1.3271594432707263,0.5586
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC009/ses-01/anat/sub-HC009_ses-01_run-1_T1w.nii.gz,,sub-HC009,ses-01,224,320,320,0.8,0.8,0.8,19.37528705596924,,,,22937600,18844941,0.8215742274693081,0.0,1215.0,130.36013299272201,40.0,155.03094685625334,16.0,1.157870138257385,1.4143085632202856,15.0,19.0,450.0,576.0,1.5947048725001438,0.5662
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC007/ses-01/anat/sub-HC007_ses-01_run-2_T1w.nii.gz,,sub-HC007,ses-01,224,320,320,0.8,0.8,0.8,20.193655014038086,,,,22937600,18909594,0.8243928745814733,0.0,1210.0,141.18397846088075,41.0,174.95105155467857,17.0,2.317147665046451,1.6725906946682245,17.0,21.0,496.0,751.0,1.637217510887099,0.5537
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC008/ses-01/anat/sub-HC008_ses-01_run-2_T1w.nii.gz,,sub-HC008,ses-01,224,320,320,0.8,0.8,0.8,19.872796058654785,,,,22937600,18984315,0.8276504516601563,0.0,1446.0,133.25229090435974,39.0,171.603241346409,15.0,2.535805180994915,1.7247668135014513,18.0,21.0,484.0,729.0,1.3318178966303624,0.5412
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC009/ses-01/anat/sub-HC009_ses-01_run-2_T1w.nii.gz,,sub-HC009,ses-01,224,320,320,0.8,0.8,0.8,19.371073722839355,,,,22937600,18866831,0.822528555733817,0.0,1237.0,131.42370337657658,40.0,157.65222240102742,16.0,1.200003443473375,1.424941510332549,15.0,19.0,456.0,588.0,1.5686335104089844,0.5634
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC010/ses-01/anat/sub-HC010_ses-01_run-1_T1w.nii.gz,,sub-HC010,ses-01,224,320,320,0.8,0.8,0.8,19.941597938537598,,,,22937600,18347077,0.7998690795898438,0.0,1204.0,138.66044389523194,37.0,156.94710055701955,19.0,0.9524298939477203,1.2480509419240773,13.0,17.0,434.0,598.0,1.643330143142623,0.573
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC010/ses-01/anat/sub-HC010_ses-01_run-2_T1w.nii.gz,,sub-HC010,ses-01,224,320,320,0.8,0.8,0.8,19.97318935394287,,,,22937600,18510733,0.807003914969308,0.0,1194.0,139.16591865919085,36.0,160.67913041996943,18.0,1.0423956226731868,1.2831266135807275,13.0,16.0,443.0,619.0,1.6493616608750428,0.5689
mica-mics,/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC011/ses-01/anat/sub-HC011_ses-01_run-2_T1w.nii.gz,,sub-HC011,ses-01,224,320,320,0.8,0.8,0.8,19.559288024902344,,,,22937600,19052435,0.8306202479771205,0.0,1354.0,125.27507633538706,40.0,156.20412189785978,15.0,2.5246904797012233,1.7096937703354271,18.0,21.0,454.0,631.0,1.4233518994840393,0.5544
