path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-021/anat/021_T1_DEFACED_T1w.nii.gz,21,,file_size_mb,4.944829940795898,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-032/anat/032_T1_DEFACED_T1w.nii.gz,32,,file_size_mb,7.905126571655273,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-035/anat/035_T1_DEFACED_T1w.nii.gz,35,,file_size_mb,8.665966987609863,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-047/anat/047_T1_DEFACED_T1w.nii.gz,47,,file_size_mb,5.160678863525391,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-041/anat/041_T1_DEFACED_T1w.nii.gz,41,,max,1547.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-043/anat/043_T1_DEFACED_T1w.nii.gz,43,,max,1544.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,max,271.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-131/anat/131_T1_DEFACED_T1w.nii.gz,131,,max,511.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-019/anat/019_T1_DEFACED_T1w.nii.gz,19,,median,16.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,median,3.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-091/anat/091_T1_DEFACED_T1w.nii.gz,91,,median,103.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-111/anat/111_T1_DEFACED_T1w.nii.gz,111,,median,103.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-031/anat/031_T1_DEFACED_T1w.nii.gz,31,,mean,115.06492027711596,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED_T1w.nii.gz,89,,mean,56.55373688012445,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,mean,19.51434646796245,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-111/anat/111_T1_DEFACED_T1w.nii.gz,111,,mean,106.79115177555944,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-031/anat/031_T1_DEFACED_T1w.nii.gz,31,,std,115.06789778620484,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-032/anat/032_T1_DEFACED_T1w.nii.gz,32,,std,101.89967287249698,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED_T1w.nii.gz,89,,std,56.8759568992726,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,std,28.31447990034899,"('AGE-ILITY', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-019/anat/019_T1_DEFACED_T1w.nii.gz,19,,mad,15.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,mad,2.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,True,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-091/anat/091_T1_DEFACED_T1w.nii.gz,91,,mad,95.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-111/anat/111_T1_DEFACED_T1w.nii.gz,111,,mad,95.0,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-041/anat/041_T1_DEFACED_T1w.nii.gz,41,,entropy,1.1928045117130692,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-043/anat/043_T1_DEFACED_T1w.nii.gz,43,,entropy,1.1640932511809954,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-086/anat/086_T1_DEFACED_T1w.nii.gz,86,,entropy,4.143931141979318,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-131/anat/131_T1_DEFACED_T1w.nii.gz,131,,entropy,3.521926299838537,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-011/anat/011_T1_DEFACED_T1w.nii.gz,11,,nonzero_frac,0.758889349572428,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-058/anat/058_T1_DEFACED_T1w.nii.gz,58,,nonzero_frac,0.7592807561896232,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-089/anat/089_T1_DEFACED_T1w.nii.gz,89,,nonzero_frac,0.8783479026854313,"('AGE-ILITY', np.float64(nan), np.float64(nan))",False,False,False,True,False
