path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0009/anat/sub-0009_T1w.nii.gz,sub-0009,,file_size_mb,5.559335708618164,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0059/anat/sub-0059_T1w.nii.gz,sub-0059,,file_size_mb,12.9636812210083,"('AOMIC_PIOP1', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0085/anat/sub-0085_T1w.nii.gz,sub-0085,,file_size_mb,5.480717658996582,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0136/anat/sub-0136_T1w.nii.gz,sub-0136,,file_size_mb,13.02692699432373,"('AOMIC_PIOP1', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0196/anat/sub-0196_T1w.nii.gz,sub-0196,,file_size_mb,13.0553617477417,"('AOMIC_PIOP1', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0215/anat/sub-0215_T1w.nii.gz,sub-0215,,file_size_mb,5.308291435241699,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0043/anat/sub-0043_T1w.nii.gz,sub-0043,,max,117860.125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0047/anat/sub-0047_T1w.nii.gz,sub-0047,,max,43668.51171875,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0068/anat/sub-0068_T1w.nii.gz,sub-0068,,max,135087.78125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0200/anat/sub-0200_T1w.nii.gz,sub-0200,,max,45870.4765625,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0205/anat/sub-0205_T1w.nii.gz,sub-0205,,max,123068.3203125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0210/anat/sub-0210_T1w.nii.gz,sub-0210,,max,43326.91796875,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0007/anat/sub-0007_T1w.nii.gz,sub-0007,,median,6876.7734375,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0004/anat/sub-0004_T1w.nii.gz,sub-0004,,median,10481.5361328125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0119/anat/sub-0119_T1w.nii.gz,sub-0119,,median,7034.07080078125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0120/anat/sub-0120_T1w.nii.gz,sub-0120,,median,6632.24609375,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0185/anat/sub-0185_T1w.nii.gz,sub-0185,,median,10095.71875,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0205/anat/sub-0205_T1w.nii.gz,sub-0205,,median,9931.830078125,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0007/anat/sub-0007_T1w.nii.gz,sub-0007,,mean,7624.905130217005,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0004/anat/sub-0004_T1w.nii.gz,sub-0004,,mean,11142.333989522422,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0119/anat/sub-0119_T1w.nii.gz,sub-0119,,mean,7954.829319381902,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0120/anat/sub-0120_T1w.nii.gz,sub-0120,,mean,7631.093950463304,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,mean,10997.312133244955,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0205/anat/sub-0205_T1w.nii.gz,sub-0205,,mean,11340.094746163051,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0007/anat/sub-0007_T1w.nii.gz,sub-0007,,std,6207.0480271157785,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0093/anat/sub-0093_T1w.nii.gz,sub-0093,,std,6358.312565397902,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0120/anat/sub-0120_T1w.nii.gz,sub-0120,,std,6351.283005822332,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,std,9039.30849889504,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0149/anat/sub-0149_T1w.nii.gz,sub-0149,,std,9090.97211811438,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0205/anat/sub-0205_T1w.nii.gz,sub-0205,,std,9672.575644656426,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0007/anat/sub-0007_T1w.nii.gz,sub-0007,,mad,4839.2109375,"('AOMIC_PIOP1', nan, nan)",False,False,False,True,False
