path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-005/anat/sub-005_T1w.nii.gz,sub-005,,file_size_mb,6.714844703674316,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-050/anat/sub-050_T1w.nii.gz,sub-050,,file_size_mb,8.045766830444336,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-065/anat/sub-065_T1w.nii.gz,sub-065,,file_size_mb,8.049905776977539,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-092/anat/sub-092_T1w.nii.gz,sub-092,,file_size_mb,6.892492294311523,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-044/anat/sub-044_T1w.nii.gz,sub-044,,max,1633.0,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-050/anat/sub-050_T1w.nii.gz,sub-050,,max,1561.0,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-066/anat/sub-066_T1w.nii.gz,sub-066,,max,553.0,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-151/anat/sub-151_T1w.nii.gz,sub-151,,max,608.0,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-005/anat/sub-005_T1w.nii.gz,sub-005,,median,6.0,"('BOLD', np.int64(3), 'TrioTim')",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-004/anat/sub-004_T1w.nii.gz,sub-004,,median,28.0,"('BOLD', np.int64(3), 'TrioTim')",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-051/anat/sub-051_T1w.nii.gz,sub-051,,median,17.0,"('BOLD', np.int64(3), 'TrioTim')",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-070/anat/sub-070_T1w.nii.gz,sub-070,,median,17.0,"('BOLD', np.int64(3), 'TrioTim')",False,True,True,False,False
