path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1006/anat/sub-1006_T1w.nii.gz,sub-1006,,file_size_mb,6.904221534729004,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,True,False,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1010/anat/sub-1010_T1w.nii.gz,sub-1010,,file_size_mb,6.729869842529297,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1032/anat/sub-1032_T1w.nii.gz,sub-1032,,file_size_mb,8.342634201049805,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1009/anat/sub-1009_T1w.nii.gz,sub-1009,,max,1133.0000455118716,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1029/anat/sub-1029_T1w.nii.gz,sub-1029,,max,698.0000303545967,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1005/anat/sub-1005_T1w.nii.gz,sub-1005,,median,24.993942581117157,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1009/anat/sub-1009_T1w.nii.gz,sub-1009,,median,81.99922508373857,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1026/anat/sub-1026_T1w.nii.gz,sub-1026,,median,72.0017533712089,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1005/anat/sub-1005_T1w.nii.gz,sub-1005,,mean,81.32027720766023,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1009/anat/sub-1009_T1w.nii.gz,sub-1009,,mean,141.71092039148817,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1026/anat/sub-1026_T1w.nii.gz,sub-1026,,std,99.01897818730424,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1035/anat/sub-1035_T1w.nii.gz,sub-1035,,std,139.6139959799599,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development Adults/sub-1007/anat/sub-1007_T1w.nii.gz,sub-1007,,mad,35.00471626315266,"('Brain Correlates of Math Development Adults', np.float64(nan), np.float64(nan))",False,False,True,False,False
