path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-025/ses-T1/anat/sub-025_ses-T1_T1w.nii.gz,sub-025,ses-T1,file_size_mb,12.332064628601074,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-073/ses-T1/anat/sub-073_ses-T1_T1w.nii.gz,sub-073,ses-T1,file_size_mb,6.173711776733398,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-071/ses-T1/anat/sub-071_ses-T1_T1w.nii.gz,sub-071,ses-T1,file_size_mb,12.349040031433104,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-075/ses-T2/anat/sub-075_ses-T2_T1w.nii.gz,sub-075,ses-T2,file_size_mb,6.228329658508301,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-008/ses-T1/anat/sub-008_ses-T1_T1w.nii.gz,sub-008,ses-T1,max,1439.000014923513,"('Brain Correlates of Math Development', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-074/ses-T1/anat/sub-074_ses-T1_T1w.nii.gz,sub-074,ses-T1,max,1378.9999539032578,"('Brain Correlates of Math Development', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-087/ses-T1/anat/sub-087_ses-T1_T1w.nii.gz,sub-087,ses-T1,max,1367.0,"('Brain Correlates of Math Development', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-088/ses-T1/anat/sub-088_ses-T1_T1w.nii.gz,sub-088,ses-T1,max,1388.000060711056,"('Brain Correlates of Math Development', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-116/ses-T1/anat/sub-116_ses-T1_T1w.nii.gz,sub-116,ses-T1,max,535.9999998752028,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-131/ses-T1/anat/sub-131_ses-T1_T1w.nii.gz,sub-131,ses-T1,max,530.0,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-045/ses-T2/anat/sub-045_ses-T2_T1w.nii.gz,sub-045,ses-T2,median,14.0,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-070/ses-T1/anat/sub-070_ses-T1_T1w.nii.gz,sub-070,ses-T1,median,49.0,"('Brain Correlates of Math Development', nan, nan)",False,False,False,True,False
