path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0412h/anat/sub-0412h_T1w.nii.gz,sub-0412h,,file_size_mb,13.607836723327637,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1412b/anat/sub-1412b_T1w.nii.gz,sub-1412b,,file_size_mb,9.564491271972656,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1612e/anat/sub-1612e_T1w.nii.gz,sub-1612e,,file_size_mb,13.505626678466797,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-2012d/anat/sub-2012d_T1w.nii.gz,sub-2012d,,file_size_mb,9.623764038085938,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212g/anat/sub-0212g_T1w.nii.gz,sub-0212g,,max,769.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0512g/anat/sub-0512g_T1w.nii.gz,sub-0512g,,max,1434.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0512f/anat/sub-0512f_T1w.nii.gz,sub-0512f,,max,773.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0612f/anat/sub-0612f_T1w.nii.gz,sub-0612f,,max,1425.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1012f/anat/sub-1012f_T1w.nii.gz,sub-1012f,,max,1433.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1412b/anat/sub-1412b_T1w.nii.gz,sub-1412b,,max,1490.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1412e/anat/sub-1412e_T1w.nii.gz,sub-1412e,,max,1540.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1512h/anat/sub-1512h_T1w.nii.gz,sub-1512h,,max,1400.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1612e/anat/sub-1612e_T1w.nii.gz,sub-1612e,,max,1462.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-2711a/anat/sub-2711a_T1w.nii.gz,sub-2711a,,max,1441.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-3011f/anat/sub-3011f_T1w.nii.gz,sub-3011f,,max,1453.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0712i/anat/sub-0712i_T1w.nii.gz,sub-0712i,,median,26.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1412d/anat/sub-1412d_T1w.nii.gz,sub-1412d,,median,29.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1612e/anat/sub-1612e_T1w.nii.gz,sub-1612e,,median,40.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-2911e/anat/sub-2911e_T1w.nii.gz,sub-2911e,,median,26.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1412d/anat/sub-1412d_T1w.nii.gz,sub-1412d,,mean,112.84835790298833,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1612e/anat/sub-1612e_T1w.nii.gz,sub-1612e,,mean,121.75101967351252,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1712e/anat/sub-1712e_T1w.nii.gz,sub-1712e,,mean,62.76775882443292,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-2811d/anat/sub-2811d_T1w.nii.gz,sub-2811d,,mean,54.60044068307677,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0412a/anat/sub-0412a_T1w.nii.gz,sub-0412a,,std,156.19449384475803,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0612f/anat/sub-0612f_T1w.nii.gz,sub-0612f,,std,160.46648082240895,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-1912a/anat/sub-1912a_T1w.nii.gz,sub-1912a,,std,102.62842904661836,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-2811d/anat/sub-2811d_T1w.nii.gz,sub-2811d,,std,101.73413305353576,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0712i/anat/sub-0712i_T1w.nii.gz,sub-0712i,,mad,25.0,"('CLIMATE_BRAIN', np.float64(nan), np.float64(nan))",False,True,True,False,False
