path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-01755/ses-01/anat/sub-01755_ses-01_acq-default_T1w.nii.gz,sub-01755,ses-01,file_size_mb,7.734540939331055,"('EDBPD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-21785/ses-01/anat/sub-21785_ses-01_acq-alternate_T1w.nii.gz,sub-21785,ses-01,file_size_mb,7.646917343139648,"('EDBPD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-22196/ses-01/anat/sub-22196_ses-01_acq-default_T1w.nii.gz,sub-22196,ses-01,file_size_mb,3.644834518432617,"('EDBPD', np.float64(nan), np.float64(nan))",False,False,False,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-23146/ses-01/anat/sub-23146_ses-01_acq-default_T1w.nii.gz,sub-23146,ses-01,file_size_mb,4.556866645812988,"('EDBPD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-01755/ses-01/anat/sub-01755_ses-01_acq-default_T1w.nii.gz,sub-01755,ses-01,max,6103.0,"('EDBPD', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-21068/ses-01/anat/sub-21068_ses-01_acq-alternate_T1w.nii.gz,sub-21068,ses-01,max,6521.0,"('EDBPD', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-21785/ses-01/anat/sub-21785_ses-01_acq-alternate_T1w.nii.gz,sub-21785,ses-01,max,6051.0,"('EDBPD', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-22196/ses-01/anat/sub-22196_ses-01_acq-default_T1w.nii.gz,sub-22196,ses-01,max,652.0,"('EDBPD', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-23460/ses-01/anat/sub-23460_ses-01_acq-default_T1w.nii.gz,sub-23460,ses-01,max,1379.0,"('EDBPD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/EDBPD/sub-21068/ses-01/anat/sub-21068_ses-01_acq-alternate_T1w.nii.gz,sub-21068,ses-01,median,412.0,"('EDBPD', np.float64(nan), np.float64(nan))",False,True,True,True,False
