path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-18698/anat/sub-18698_T1w.nii.gz,sub-18698,,file_size_mb,3.621082305908203,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-04111/anat/sub-04111_T1w.nii.gz,sub-04111,,file_size_mb,3.733457565307617,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-16960/anat/sub-16960_T1w.nii.gz,sub-16960,,file_size_mb,3.326105117797852,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-13636/anat/sub-13636_T1w.nii.gz,sub-13636,,file_size_mb,3.601327896118164,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-04619/anat/sub-04619_T1w.nii.gz,sub-04619,,file_size_mb,3.410140037536621,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-13959/anat/sub-13959_T1w.nii.gz,sub-13959,,file_size_mb,3.802845001220703,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-20317/anat/sub-20317_T1w.nii.gz,sub-20317,,file_size_mb,4.364934921264648,"('AnnArbor_a', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-28433/anat/sub-28433_T1w.nii.gz,sub-28433,,file_size_mb,3.547297477722168,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-38614/anat/sub-38614_T1w.nii.gz,sub-38614,,file_size_mb,3.5502309799194336,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-46727/anat/sub-46727_T1w.nii.gz,sub-46727,,file_size_mb,3.1793127059936523,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-30421/anat/sub-30421_T1w.nii.gz,sub-30421,,file_size_mb,3.8696985244750977,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-34781/anat/sub-34781_T1w.nii.gz,sub-34781,,file_size_mb,3.560480117797852,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-47191/anat/sub-47191_T1w.nii.gz,sub-47191,,file_size_mb,2.947978973388672,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-49687/anat/sub-49687_T1w.nii.gz,sub-49687,,file_size_mb,3.027429580688477,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-47659/anat/sub-47659_T1w.nii.gz,sub-47659,,file_size_mb,3.532855987548828,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-56028/anat/sub-56028_T1w.nii.gz,sub-56028,,file_size_mb,3.077678680419922,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-56686/anat/sub-56686_T1w.nii.gz,sub-56686,,file_size_mb,3.451737403869629,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-75922/anat/sub-75922_T1w.nii.gz,sub-75922,,file_size_mb,3.844004631042481,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-82334/anat/sub-82334_T1w.nii.gz,sub-82334,,file_size_mb,3.837945938110352,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-86367/anat/sub-86367_T1w.nii.gz,sub-86367,,file_size_mb,3.543111801147461,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-96621/anat/sub-96621_T1w.nii.gz,sub-96621,,file_size_mb,2.7101736068725586,"('AnnArbor_a', nan, nan)",False,False,False,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-87745/anat/sub-87745_T1w.nii.gz,sub-87745,,file_size_mb,3.917952537536621,"('AnnArbor_a', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-30421/anat/sub-30421_T1w.nii.gz,sub-30421,,max,2270.0,"('AnnArbor_a', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-86367/anat/sub-86367_T1w.nii.gz,sub-86367,,max,11241.0,"('AnnArbor_a', nan, nan)",False,False,False,True,False
