path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-022/anat/sub-022_T1w.nii.gz,sub-022,,file_size_mb,13.623929977416992,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-083/anat/sub-083_T1w.nii.gz,sub-083,,file_size_mb,13.796984672546388,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-160/anat/sub-160_T1w.nii.gz,sub-160,,file_size_mb,9.194393157958984,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-163/anat/sub-163_T1w.nii.gz,sub-163,,file_size_mb,13.639936447143556,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-201/anat/sub-201_T1w.nii.gz,sub-201,,file_size_mb,9.685133934020996,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-207/anat/sub-207_T1w.nii.gz,sub-207,,file_size_mb,9.533528327941896,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-005/anat/sub-005_T1w.nii.gz,sub-005,,max,3242.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-012/anat/sub-012_T1w.nii.gz,sub-012,,max,681.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-010/anat/sub-010_T1w.nii.gz,sub-010,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-017/anat/sub-017_T1w.nii.gz,sub-017,,max,3141.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-025/anat/sub-025_T1w.nii.gz,sub-025,,max,2960.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-055/anat/sub-055_T1w.nii.gz,sub-055,,max,2984.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-081/anat/sub-081_T1w.nii.gz,sub-081,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-102/anat/sub-102_T1w.nii.gz,sub-102,,max,3712.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-119/anat/sub-119_T1w.nii.gz,sub-119,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-129/anat/sub-129_T1w.nii.gz,sub-129,,max,3142.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-146/anat/sub-146_T1w.nii.gz,sub-146,,max,3206.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-152/anat/sub-152_T1w.nii.gz,sub-152,,max,2948.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-156/anat/sub-156_T1w.nii.gz,sub-156,,max,3848.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-163/anat/sub-163_T1w.nii.gz,sub-163,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-174/anat/sub-174_T1w.nii.gz,sub-174,,max,3914.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-181/anat/sub-181_T1w.nii.gz,sub-181,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-185/anat/sub-185_T1w.nii.gz,sub-185,,max,3438.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-187/anat/sub-187_T1w.nii.gz,sub-187,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-195/anat/sub-195_T1w.nii.gz,sub-195,,max,4095.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-205/anat/sub-205_T1w.nii.gz,sub-205,,max,3992.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-210/anat/sub-210_T1w.nii.gz,sub-210,,max,681.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-216/anat/sub-216_T1w.nii.gz,sub-216,,max,689.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-050/anat/sub-050_T1w.nii.gz,sub-050,,median,54.0,"('HVA', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-100/anat/sub-100_T1w.nii.gz,sub-100,,median,3.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-117/anat/sub-117_T1w.nii.gz,sub-117,,median,20.0,"('HVA', np.float64(nan), np.float64(nan))",False,True,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-177/anat/sub-177_T1w.nii.gz,sub-177,,median,3.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-201/anat/sub-201_T1w.nii.gz,sub-201,,median,3.0,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-018/anat/sub-018_T1w.nii.gz,sub-018,,mean,49.28799469682476,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-022/anat/sub-022_T1w.nii.gz,sub-022,,mean,128.75767879646327,"('HVA', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-050/anat/sub-050_T1w.nii.gz,sub-050,,mean,155.29623799346504,"('HVA', np.float64(nan), np.float64(nan))",False,True,True,True,False
