path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-112/anat/sub-112_T1w.nii.gz,sub-112,,file_size_mb,3.897336006164551,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-108/anat/sub-108_T1w.nii.gz,sub-108,,file_size_mb,23.65279197692871,"('IDEAS', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-122/anat/sub-122_T1w.nii.gz,sub-122,,file_size_mb,2.768291473388672,"('IDEAS', nan, nan)",False,False,False,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-124/anat/sub-124_T1w.nii.gz,sub-124,,file_size_mb,3.489779472351074,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-123/anat/sub-123_T1w.nii.gz,sub-123,,file_size_mb,18.85332679748535,"('IDEAS', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-148/anat/sub-148_T1w.nii.gz,sub-148,,file_size_mb,3.530388832092285,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-15/anat/sub-15_T1w.nii.gz,sub-15,,file_size_mb,3.067140579223633,"('IDEAS', nan, nan)",False,False,False,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-172/anat/sub-172_T1w.nii.gz,sub-172,,file_size_mb,3.4775333404541016,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-174/anat/sub-174_T1w.nii.gz,sub-174,,file_size_mb,3.2508487701416016,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-171/anat/sub-171_T1w.nii.gz,sub-171,,file_size_mb,15.986001968383787,"('IDEAS', nan, nan)",True,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-188/anat/sub-188_T1w.nii.gz,sub-188,,file_size_mb,3.2835206985473637,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-187/anat/sub-187_T1w.nii.gz,sub-187,,file_size_mb,3.763333320617676,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-192/anat/sub-192_T1w.nii.gz,sub-192,,file_size_mb,3.9374265670776367,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-2/anat/sub-2_T1w.nii.gz,sub-2,,file_size_mb,3.0389833450317383,"('IDEAS', nan, nan)",False,False,False,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-205/anat/sub-205_T1w.nii.gz,sub-205,,file_size_mb,3.192119598388672,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-196/anat/sub-196_T1w.nii.gz,sub-196,,file_size_mb,16.533865928649902,"('IDEAS', nan, nan)",True,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-208/anat/sub-208_T1w.nii.gz,sub-208,,file_size_mb,18.302165031433105,"('IDEAS', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-220/anat/sub-220_T1w.nii.gz,sub-220,,file_size_mb,3.661892890930176,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-225/anat/sub-225_T1w.nii.gz,sub-225,,file_size_mb,3.9419355392456055,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-228/anat/sub-228_T1w.nii.gz,sub-228,,file_size_mb,3.4380455017089844,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-231/anat/sub-231_T1w.nii.gz,sub-231,,file_size_mb,3.588210105895996,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-230/anat/sub-230_T1w.nii.gz,sub-230,,file_size_mb,3.317323684692383,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-23/anat/sub-23_T1w.nii.gz,sub-23,,file_size_mb,3.439577102661133,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-237/anat/sub-237_T1w.nii.gz,sub-237,,file_size_mb,3.440438270568848,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-238/anat/sub-238_T1w.nii.gz,sub-238,,file_size_mb,3.1737966537475586,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-234/anat/sub-234_T1w.nii.gz,sub-234,,file_size_mb,3.5003347396850586,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-244/anat/sub-244_T1w.nii.gz,sub-244,,file_size_mb,3.9340686798095694,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-269/anat/sub-269_T1w.nii.gz,sub-269,,file_size_mb,3.547304153442383,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-295/anat/sub-295_T1w.nii.gz,sub-295,,file_size_mb,3.698667526245117,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-303/anat/sub-303_T1w.nii.gz,sub-303,,file_size_mb,3.962080955505371,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-310/anat/sub-310_T1w.nii.gz,sub-310,,file_size_mb,3.166834831237793,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-34/anat/sub-34_T1w.nii.gz,sub-34,,file_size_mb,3.880775451660156,"('IDEAS', nan, nan)",False,False,False,False,True
/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-352/anat/sub-352_T1w.nii.gz,sub-352,,file_size_mb,2.953756332397461,"('IDEAS', nan, nan)",False,False,False,True,True
