path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0014/anat/sub-0014_T1w.nii.gz,sub-0014,,file_size_mb,20.807950019836422,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0016/anat/sub-0016_T1w.nii.gz,sub-0016,,file_size_mb,18.89346408843994,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,file_size_mb,20.74793243408203,"('ISYB', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0156/anat/sub-0156_T1w.nii.gz,sub-0156,,file_size_mb,18.62911319732666,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0236/anat/sub-0236_T1w.nii.gz,sub-0236,,file_size_mb,18.80474090576172,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0243/anat/sub-0243_T1w.nii.gz,sub-0243,,file_size_mb,20.780089378356934,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0002/anat/sub-0002_T1w.nii.gz,sub-0002,,max,10903.0,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0029/anat/sub-0029_T1w.nii.gz,sub-0029,,max,6076.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0052/anat/sub-0052_T1w.nii.gz,sub-0052,,max,5584.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0105/anat/sub-0105_T1w.nii.gz,sub-0105,,max,10133.0,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0143/anat/sub-0143_T1w.nii.gz,sub-0143,,max,5673.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0243/anat/sub-0243_T1w.nii.gz,sub-0243,,max,11281.0,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0014/anat/sub-0014_T1w.nii.gz,sub-0014,,median,228.0,"('ISYB', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0136/anat/sub-0136_T1w.nii.gz,sub-0136,,median,142.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,median,223.0,"('ISYB', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0156/anat/sub-0156_T1w.nii.gz,sub-0156,,median,138.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0236/anat/sub-0236_T1w.nii.gz,sub-0236,,median,139.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0243/anat/sub-0243_T1w.nii.gz,sub-0243,,median,235.0,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0014/anat/sub-0014_T1w.nii.gz,sub-0014,,mean,917.4660393436376,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0027/anat/sub-0027_T1w.nii.gz,sub-0027,,mean,882.204303546478,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0086/anat/sub-0086_T1w.nii.gz,sub-0086,,mean,523.3586308462935,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,mean,842.8840338130299,"('ISYB', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0143/anat/sub-0143_T1w.nii.gz,sub-0143,,mean,497.9815190055788,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0156/anat/sub-0156_T1w.nii.gz,sub-0156,,mean,502.81391764333785,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0218/anat/sub-0218_T1w.nii.gz,sub-0218,,mean,824.289516850238,"('ISYB', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0223/anat/sub-0223_T1w.nii.gz,sub-0223,,mean,833.4388868145464,"('ISYB', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0243/anat/sub-0243_T1w.nii.gz,sub-0243,,mean,895.6723617767306,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0014/anat/sub-0014_T1w.nii.gz,sub-0014,,std,1150.9404269083875,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0027/anat/sub-0027_T1w.nii.gz,sub-0027,,std,1179.931174269731,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0052/anat/sub-0052_T1w.nii.gz,sub-0052,,std,703.6398624191197,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0089/anat/sub-0089_T1w.nii.gz,sub-0089,,std,726.2323074334872,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0143/anat/sub-0143_T1w.nii.gz,sub-0143,,std,664.1894777902055,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0243/anat/sub-0243_T1w.nii.gz,sub-0243,,std,1146.0470925661596,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0014/anat/sub-0014_T1w.nii.gz,sub-0014,,mad,112.0,"('ISYB', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0105/anat/sub-0105_T1w.nii.gz,sub-0105,,mad,102.0,"('ISYB', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0136/anat/sub-0136_T1w.nii.gz,sub-0136,,mad,39.0,"('ISYB', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0137/anat/sub-0137_T1w.nii.gz,sub-0137,,mad,99.0,"('ISYB', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0156/anat/sub-0156_T1w.nii.gz,sub-0156,,mad,36.0,"('ISYB', nan, nan)",False,False,False,True,False
