path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032371/ses-01/anat/sub-032371_ses-01_acq-mp2rage_T1w.nii.gz,sub-032371,ses-01,file_size_mb,15.269287109375,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032373/ses-01/anat/sub-032373_ses-01_acq-mp2rage_T1w.nii.gz,sub-032373,ses-01,file_size_mb,15.132370948791504,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032376/ses-01/anat/sub-032376_ses-01_acq-mp2rage_T1w.nii.gz,sub-032376,ses-01,file_size_mb,15.007412910461426,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032485/ses-01/anat/sub-032485_ses-01_acq-mp2rage_T1w.nii.gz,sub-032485,ses-01,file_size_mb,18.42125415802002,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032494/ses-01/anat/sub-032494_ses-01_acq-mp2rage_T1w.nii.gz,sub-032494,ses-01,file_size_mb,18.52186584472656,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032526/ses-01/anat/sub-032526_ses-01_acq-mp2rage_T1w.nii.gz,sub-032526,ses-01,file_size_mb,18.460623741149902,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032304/ses-01/anat/sub-032304_ses-01_acq-mp2rage_T1w.nii.gz,sub-032304,ses-01,max,4092.0,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032387/ses-01/anat/sub-032387_ses-01_acq-mp2rage_T1w.nii.gz,sub-032387,ses-01,max,4074.0,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032392/ses-01/anat/sub-032392_ses-01_acq-mp2rage_T1w.nii.gz,sub-032392,ses-01,max,4074.0,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032401/ses-01/anat/sub-032401_ses-01_acq-mp2rage_T1w.nii.gz,sub-032401,ses-01,max,4092.0,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB_LEMON/sub-032463/ses-01/anat/sub-032463_ses-01_acq-mp2rage_T1w.nii.gz,sub-032463,ses-01,max,4092.0,"('MPILMBB_LEMON', nan, nan)",False,False,False,True,False
