path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-460834/anat/sub-460834_acq-standard_T1w.nii.gz,sub-460834,,file_size_mb,11.975732803344728,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-549056/anat/sub-549056_acq-standard_T1w.nii.gz,sub-549056,,file_size_mb,7.156319618225098,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-664050/anat/sub-664050_acq-standard_T1w.nii.gz,sub-664050,,file_size_mb,7.205905914306641,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-754006/anat/sub-754006_acq-standard_T1w.nii.gz,sub-754006,,file_size_mb,12.27334213256836,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-153486/anat/sub-153486_acq-standard_T1w.nii.gz,sub-153486,,max,2044.000060558319,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-196711/anat/sub-196711_acq-standard_T1w.nii.gz,sub-196711,,max,2077.0000452920794,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-549056/anat/sub-549056_acq-standard_T1w.nii.gz,sub-549056,,max,671.9999998435378,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-946200/anat/sub-946200_acq-standard_T1w.nii.gz,sub-946200,,max,691.0000150976703,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000183/anat/sub-000183_acq-standard_T1w.nii.gz,sub-000183,,median,42.99745128303766,"('MR-ART', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-107738/anat/sub-107738_acq-standard_T1w.nii.gz,sub-107738,,median,30.00534065067768,"('MR-ART', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-171967/anat/sub-171967_acq-standard_T1w.nii.gz,sub-171967,,median,45.99313342943788,"('MR-ART', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-599619/anat/sub-599619_acq-standard_T1w.nii.gz,sub-599619,,median,4.99244662374258,"('MR-ART', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-607974/anat/sub-607974_acq-standard_T1w.nii.gz,sub-607974,,median,4.995926052331924,"('MR-ART', nan, nan)",False,False,False,True,False
