path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-050/anat/sub-050_T1w.nii.gz,sub-050,,file_size_mb,9.057392120361328,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-079/anat/sub-079_T1w.nii.gz,sub-079,,file_size_mb,6.64775276184082,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-089/anat/sub-089_T1w.nii.gz,sub-089,,file_size_mb,9.436458587646484,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-103/anat/sub-103_T1w.nii.gz,sub-103,,file_size_mb,7.072423934936523,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-015/anat/sub-015_T1w.nii.gz,sub-015,,max,1069.0000455267727,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-046/anat/sub-046_T1w.nii.gz,sub-046,,max,1069.0000455267727,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-069/anat/sub-069_T1w.nii.gz,sub-069,,max,2100.9999232180417,"('NARPS', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-100/anat/sub-100_T1w.nii.gz,sub-100,,max,3864.000121168792,"('NARPS', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-010/anat/sub-010_T1w.nii.gz,sub-010,,median,6.996627580374479,"('NARPS', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-020/anat/sub-020_T1w.nii.gz,sub-020,,median,61.01212985627353,"('NARPS', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NARPS/sub-033/anat/sub-033_T1w.nii.gz,sub-033,,median,49.99313570559025,"('NARPS', nan, nan)",False,False,True,False,False
