path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,file_size_mb,32.29662036895752,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-18/anat/sub-18_T1w.nii.gz,sub-18,,file_size_mb,27.401058197021484,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,max,2494.0,"('NPC', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-13/anat/sub-13_T1w.nii.gz,sub-13,,max,1024.0,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-21/anat/sub-21_T1w.nii.gz,sub-21,,max,2763.0,"('NPC', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-45/anat/sub-45_T1w.nii.gz,sub-45,,max,2894.0,"('NPC', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-64/anat/sub-64_T1w.nii.gz,sub-64,,max,2400.0,"('NPC', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,median,188.0,"('NPC', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-06/anat/sub-06_T1w.nii.gz,sub-06,,median,132.0,"('NPC', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-61/anat/sub-61_T1w.nii.gz,sub-61,,median,121.0,"('NPC', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-63/anat/sub-63_T1w.nii.gz,sub-63,,median,125.0,"('NPC', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-07/anat/sub-07_T1w.nii.gz,sub-07,,mean,99.11476071640593,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,mean,220.67387542808348,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,std,235.32704348904565,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-13/anat/sub-13_T1w.nii.gz,sub-13,,std,123.47034142209016,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,sub-02,,mad,178.0,"('NPC', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-06/anat/sub-06_T1w.nii.gz,sub-06,,mad,128.0,"('NPC', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-13/anat/sub-13_T1w.nii.gz,sub-13,,entropy,1.870243206888612,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-21/anat/sub-21_T1w.nii.gz,sub-21,,entropy,0.6963155975632292,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-07/anat/sub-07_T1w.nii.gz,sub-07,,efc,0.5228,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-61/anat/sub-61_T1w.nii.gz,sub-61,,efc,0.6297,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-06/anat/sub-06_T1w.nii.gz,sub-06,,nonzero_frac,0.8544446182250977,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-41/anat/sub-41_T1w.nii.gz,sub-41,,nonzero_frac,0.844118995666504,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-06/anat/sub-06_T1w.nii.gz,sub-06,,n_nonzero,22398753.0,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-41/anat/sub-41_T1w.nii.gz,sub-41,,n_nonzero,22128073.0,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-21/anat/sub-21_T1w.nii.gz,sub-21,,kurtosis,4.775214644208622,"('NPC', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-61/anat/sub-61_T1w.nii.gz,sub-61,,kurtosis,-0.1116395237899121,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-07/anat/sub-07_T1w.nii.gz,sub-07,,skewness,1.7267909640813424,"('NPC', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-61/anat/sub-61_T1w.nii.gz,sub-61,,skewness,0.7267516465783104,"('NPC', nan, nan)",False,False,False,True,False
