path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-007/anat/sub-007_T1w.nii.gz,sub-007,,file_size_mb,15.535432815551758,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-068/anat/sub-068_T1w.nii.gz,sub-068,,file_size_mb,8.763422012329102,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-078/anat/sub-078_T1w.nii.gz,sub-078,,file_size_mb,8.76692008972168,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-106/anat/sub-106_T1w.nii.gz,sub-106,,file_size_mb,16.379735946655273,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-115/anat/sub-115_run-2_T1w.nii.gz,sub-115,,file_size_mb,9.253469467163086,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-137/anat/sub-137_T1w.nii.gz,sub-137,,file_size_mb,9.188706398010254,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-151/anat/sub-151_T1w.nii.gz,sub-151,,file_size_mb,16.037549018859863,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-169/anat/sub-169_T1w.nii.gz,sub-169,,file_size_mb,15.486008644104004,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-137/anat/sub-137_T1w.nii.gz,sub-137,,max,1085.0000455230474,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-154/anat/sub-154_T1w.nii.gz,sub-154,,max,1085.0000455230474,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-165/anat/sub-165_T1w.nii.gz,sub-165,,max,1230.0000302307308,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-265/anat/sub-265_T1w.nii.gz,sub-265,,max,1185.9999692067504,"('Narratives', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-007/anat/sub-007_T1w.nii.gz,sub-007,,median,122.99235939979552,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-002/anat/sub-002_T1w.nii.gz,sub-002,,median,123.00727546960115,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-015/anat/sub-015_T1w.nii.gz,sub-015,,median,121.01058672741055,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-022/anat/sub-022_T1w.nii.gz,sub-022,,median,131.01102885603905,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-034/anat/sub-034_run-2_T1w.nii.gz,sub-034,,median,114.01170277036726,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-033/anat/sub-033_T1w.nii.gz,sub-033,,median,121.9847714677453,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-037/anat/sub-037_T1w.nii.gz,sub-037,,median,104.99091805517672,"('Narratives', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-041/anat/sub-041_T1w.nii.gz,sub-041,,median,156.99647057801485,"('Narratives', nan, nan)",False,True,True,False,False
