path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-129/ses-1/anat/sub-129_ses-1_T1w.nii.gz,sub-129,ses-1,file_size_mb,7.260672569274902,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-134/ses-1/anat/sub-134_ses-1_T1w.nii.gz,sub-134,ses-1,file_size_mb,6.151091575622559,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-245/ses-1/anat/sub-245_ses-1_T1w.nii.gz,sub-245,ses-1,file_size_mb,6.9625396728515625,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-50/ses-1/anat/sub-50_ses-1_T1w.nii.gz,sub-50,ses-1,file_size_mb,10.736712455749512,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-62/ses-1/anat/sub-62_ses-1_T1w.nii.gz,sub-62,ses-1,file_size_mb,10.814535140991213,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-79/ses-1/anat/sub-79_ses-1_T1w.nii.gz,sub-79,ses-1,file_size_mb,10.242103576660156,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-04/ses-1/anat/sub-04_ses-1_T1w.nii.gz,sub-04,ses-1,max,10879.0,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-190/ses-1/anat/sub-190_ses-1_T1w.nii.gz,sub-190,ses-1,max,11069.0,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-258/ses-1/anat/sub-258_ses-1_T1w.nii.gz,sub-258,ses-1,max,696.0,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-262/ses-1/anat/sub-262_ses-1_T1w.nii.gz,sub-262,ses-1,max,642.0,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Neurocognitive_aging_data/sub-301/ses-1/anat/sub-301_ses-1_T1w.nii.gz,sub-301,ses-1,max,779.0,"('Neurocognitive_aging_data', np.float64(nan), np.float64(nan))",False,False,False,True,False
