path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP07/anat/sub-ODP07_T1w.nii.gz,sub-ODP07,,file_size_mb,11.995529174804688,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP12/anat/sub-ODP12_T1w.nii.gz,sub-ODP12,,file_size_mb,8.670743942260742,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP03/anat/sub-ODP03_T1w.nii.gz,sub-ODP03,,max,2491.0,"('OpenNeuro_Japan_PD', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP14/anat/sub-ODP14_T1w.nii.gz,sub-ODP14,,max,963.0,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP10/anat/sub-ODP10_T1w.nii.gz,sub-ODP10,,median,8.004364274442196,"('OpenNeuro_Japan_PD', nan, nan)",False,True,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODN02/anat/sub-ODN02_T1w.nii.gz,sub-ODN02,,mean,64.75921529914255,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP03/anat/sub-ODP03_T1w.nii.gz,sub-ODP03,,mean,122.21522454121109,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-CTL09/anat/sub-CTL09_T1w.nii.gz,sub-CTL09,,std,109.00149392900086,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP03/anat/sub-ODP03_T1w.nii.gz,sub-ODP03,,std,191.3038698290224,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP10/anat/sub-ODP10_T1w.nii.gz,sub-ODP10,,mad,6.996688961982727,"('OpenNeuro_Japan_PD', nan, nan)",False,True,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP03/anat/sub-ODP03_T1w.nii.gz,sub-ODP03,,entropy,0.7140636560429435,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP12/anat/sub-ODP12_T1w.nii.gz,sub-ODP12,,entropy,1.6959732450270315,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-CTL12/anat/sub-CTL12_T1w.nii.gz,sub-CTL12,,nonzero_frac,0.6475383440653483,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODN01/anat/sub-ODN01_T1w.nii.gz,sub-ODN01,,nonzero_frac,0.6478176116943359,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP07/anat/sub-ODP07_T1w.nii.gz,sub-ODP07,,nonzero_frac,0.8134035269419352,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP12/anat/sub-ODP12_T1w.nii.gz,sub-ODP12,,nonzero_frac,0.6196327209472656,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-CTL12/anat/sub-CTL12_T1w.nii.gz,sub-CTL12,,n_nonzero,8147918.0,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODN01/anat/sub-ODN01_T1w.nii.gz,sub-ODN01,,n_nonzero,8151432.0,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP07/anat/sub-ODP07_T1w.nii.gz,sub-ODP07,,n_nonzero,10234985.0,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODP12/anat/sub-ODP12_T1w.nii.gz,sub-ODP12,,n_nonzero,7796784.0,"('OpenNeuro_Japan_PD', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/OpenNeuro_Japan_PD/sub-ODN02/anat/sub-ODN02_T1w.nii.gz,sub-ODN02,,kurtosis,5.006731973439658,"('OpenNeuro_Japan_PD', nan, nan)",False,False,False,True,False
