path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-138950/ses-1/anat/sub-138950_ses-1_rec-normrefaced_run-01_T1w.nii.gz,sub-138950,ses-1,file_size_mb,8.046850204467773,"('PENN_LEAD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-20983/ses-1/anat/sub-20983_ses-1_rec-normsimplerefaced_run-01_T1w.nii.gz,sub-20983,ses-1,file_size_mb,11.681649208068848,"('PENN_LEAD', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-21161/ses-2/anat/sub-21161_ses-2_rec-normrefaced_run-01_T1w.nii.gz,sub-21161,ses-2,file_size_mb,5.305285453796387,"('PENN_LEAD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-21161/ses-3/anat/sub-21161_ses-3_rec-normrefaced_run-01_T1w.nii.gz,sub-21161,ses-3,file_size_mb,5.452450752258301,"('PENN_LEAD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-21568/ses-1/anat/sub-21568_ses-1_rec-normsimplerefaced_run-01_T1w.nii.gz,sub-21568,ses-1,file_size_mb,11.153646469116213,"('PENN_LEAD', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-22064/ses-1/anat/sub-22064_ses-1_rec-normrefaced_run-01_T1w.nii.gz,sub-22064,ses-1,file_size_mb,5.411257743835449,"('PENN_LEAD', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-20149/ses-1/anat/sub-20149_ses-1_rec-normrefaced_run-01_T1w.nii.gz,sub-20149,ses-1,max,1166.0,"('PENN_LEAD', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-21141/ses-2/anat/sub-21141_ses-2_rec-normrefaced_run-01_T1w.nii.gz,sub-21141,ses-2,max,1116.0,"('PENN_LEAD', nan, nan)",False,False,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-21161/ses-2/anat/sub-21161_ses-2_rec-normrefaced_run-01_T1w.nii.gz,sub-21161,ses-2,max,2062.0,"('PENN_LEAD', nan, nan)",False,False,True,False,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/PENN_LEAD/sub-22520/ses-1/anat/sub-22520_ses-1_rec-normrefaced_run-01_T1w.nii.gz,sub-22520,ses-1,max,1885.0,"('PENN_LEAD', nan, nan)",False,False,True,False,False
