path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-CN016/anat/sub-CN016_T1w.nii.gz,sub-CN016,,file_size_mb,6.60997200012207,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-CN034/anat/sub-CN034_T1w.nii.gz,sub-CN034,,file_size_mb,6.628610610961914,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN068/anat/sub-EN068_T1w.nii.gz,sub-EN068,,file_size_mb,11.295551300048828,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN089/anat/sub-EN089_T1w.nii.gz,sub-EN089,,file_size_mb,10.921515464782717,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN093/anat/sub-EN093_T1w.nii.gz,sub-EN093,,max,8591.99975386262,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN096/anat/sub-EN096_T1w.nii.gz,sub-EN096,,max,10408.000363782048,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-FR005/anat/sub-FR005_T1w.nii.gz,sub-FR005,,max,1071.9999997504056,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-FR015/anat/sub-FR015_T1w.nii.gz,sub-FR015,,max,1127.000014996156,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN114/anat/sub-EN114_T1w.nii.gz,sub-EN114,,median,690.9959410130978,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/Petit_Prince/sub-EN115/anat/sub-EN115_T1w.nii.gz,sub-EN115,,median,653.0233882665634,"('Petit_Prince', np.float64(nan), np.float64(nan))",False,True,True,True,False
