path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00037122/ses-MRI1/anat/sub-A00037122_ses-MRI1_T1w.nii.gz,sub-A00037122,ses-MRI1,file_size_mb,6.837080955505371,"('RocklandSample2', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00053577/ses-MRI1/anat/sub-A00053577_ses-MRI1_T1w.nii.gz,sub-A00053577,ses-MRI1,file_size_mb,4.613991737365723,"('RocklandSample2', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00054917/ses-MRI1/anat/sub-A00054917_ses-MRI1_T1w.nii.gz,sub-A00054917,ses-MRI1,file_size_mb,6.534733772277832,"('RocklandSample2', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00059344/ses-MRI1/anat/sub-A00059344_ses-MRI1_T1w.nii.gz,sub-A00059344,ses-MRI1,file_size_mb,11.83525562286377,"('RocklandSample2', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00075657/ses-MRI1/anat/sub-A00075657_ses-MRI1_T1w.nii.gz,sub-A00075657,ses-MRI1,file_size_mb,7.429492950439453,"('RocklandSample2', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00080811/ses-MRI1/anat/sub-A00080811_ses-MRI1_T1w.nii.gz,sub-A00080811,ses-MRI1,file_size_mb,2.591653823852539,"('RocklandSample2', nan, nan)",True,True,True,True,True
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00081103/ses-MRI1/anat/sub-A00081103_ses-MRI1_T1w.nii.gz,sub-A00081103,ses-MRI1,file_size_mb,12.362685203552246,"('RocklandSample2', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00084956/ses-MRI1/anat/sub-A00084956_ses-MRI1_T1w.nii.gz,sub-A00084956,ses-MRI1,file_size_mb,5.470232963562012,"('RocklandSample2', nan, nan)",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00085951/ses-MRI2/anat/sub-A00085951_ses-MRI2_T1w.nii.gz,sub-A00085951,ses-MRI2,file_size_mb,11.797736167907717,"('RocklandSample2', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample2/sub-A00038189/ses-MRI1/anat/sub-A00038189_ses-MRI1_T1w.nii.gz,sub-A00038189,ses-MRI1,max,897.0,"('RocklandSample2', nan, nan)",False,False,False,True,False
