path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031288/anat/sub-031288_T1w.nii.gz,sub-031288,,file_size_mb,8.014985084533691,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031433/anat/sub-031433_T1w.nii.gz,sub-031433,,file_size_mb,11.667191505432127,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031502/anat/sub-031502_T1w.nii.gz,sub-031502,,file_size_mb,8.307059288024902,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031557/anat/sub-031557_T1w.nii.gz,sub-031557,,file_size_mb,11.771240234375,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031571/anat/sub-031571_T1w.nii.gz,sub-031571,,file_size_mb,8.70847225189209,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031595/anat/sub-031595_T1w.nii.gz,sub-031595,,file_size_mb,8.799263954162598,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031633/anat/sub-031633_T1w.nii.gz,sub-031633,,file_size_mb,11.952303886413574,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031656/anat/sub-031656_T1w.nii.gz,sub-031656,,file_size_mb,11.813626289367676,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031663/anat/sub-031663_T1w.nii.gz,sub-031663,,file_size_mb,11.850603103637695,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031675/anat/sub-031675_T1w.nii.gz,sub-031675,,file_size_mb,8.789044380187988,"('SALD', np.float64(nan), np.float64(nan))",False,False,False,True,False
