path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10541/anat/sub-10541_T1w.nii.gz,sub-10541,,file_size_mb,10.996785163879396,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10638/anat/sub-10638_T1w.nii.gz,sub-10638,,file_size_mb,7.649120330810547,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10691/anat/sub-10691_T1w.nii.gz,sub-10691,,file_size_mb,7.565921783447266,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10857/anat/sub-10857_T1w.nii.gz,sub-10857,,file_size_mb,10.905500411987305,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10584/anat/sub-10584_T1w.nii.gz,sub-10584,,max,676.9999845838174,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10644/anat/sub-10644_T1w.nii.gz,sub-10644,,max,754.0000303415582,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10770/anat/sub-10770_T1w.nii.gz,sub-10770,,max,2009.999969014898,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10800/anat/sub-10800_T1w.nii.gz,sub-10800,,max,1950.0000300630927,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10402/anat/sub-10402_T1w.nii.gz,sub-10402,,median,38.997481763362885,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10462/anat/sub-10462_T1w.nii.gz,sub-10462,,median,23.99668920133263,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10541/anat/sub-10541_T1w.nii.gz,sub-10541,,median,72.99535881727934,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10638/anat/sub-10638_T1w.nii.gz,sub-10638,,median,6.993896262720227,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10674/anat/sub-10674_T1w.nii.gz,sub-10674,,median,78.00412309169769,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10800/anat/sub-10800_T1w.nii.gz,sub-10800,,median,6.992446891963482,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10807/anat/sub-10807_T1w.nii.gz,sub-10807,,median,49.99826045986265,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10857/anat/sub-10857_T1w.nii.gz,sub-10857,,median,73.99600037932396,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10584/anat/sub-10584_T1w.nii.gz,sub-10584,,mean,91.87167254369052,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10674/anat/sub-10674_T1w.nii.gz,sub-10674,,mean,158.25686128158566,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10770/anat/sub-10770_T1w.nii.gz,sub-10770,,mean,160.88364473433865,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10810/anat/sub-10810_T1w.nii.gz,sub-10810,,mean,91.670444809581,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10584/anat/sub-10584_T1w.nii.gz,sub-10584,,std,116.2855910312536,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10770/anat/sub-10770_T1w.nii.gz,sub-10770,,std,193.10464301017865,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10810/anat/sub-10810_T1w.nii.gz,sub-10810,,std,120.23849904751438,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10887/anat/sub-10887_T1w.nii.gz,sub-10887,,std,197.61859242450015,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10402/anat/sub-10402_T1w.nii.gz,sub-10402,,mad,36.991896986961365,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10462/anat/sub-10462_T1w.nii.gz,sub-10462,,mad,22.002579149790108,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10541/anat/sub-10541_T1w.nii.gz,sub-10541,,mad,68.99734262377024,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10638/anat/sub-10638_T1w.nii.gz,sub-10638,,mad,3.9910123627632856,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10674/anat/sub-10674_T1w.nii.gz,sub-10674,,mad,75.00572516769171,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10691/anat/sub-10691_T1w.nii.gz,sub-10691,,mad,3.998107880353928,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10807/anat/sub-10807_T1w.nii.gz,sub-10807,,mad,47.99774165358394,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10857/anat/sub-10857_T1w.nii.gz,sub-10857,,mad,71.00526267662644,"('SRNRPAAL', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10584/anat/sub-10584_T1w.nii.gz,sub-10584,,entropy,2.6528854405442543,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10644/anat/sub-10644_T1w.nii.gz,sub-10644,,entropy,2.325990924177141,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10770/anat/sub-10770_T1w.nii.gz,sub-10770,,entropy,0.965503762644269,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10800/anat/sub-10800_T1w.nii.gz,sub-10800,,entropy,0.881773982998991,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10402/anat/sub-10402_T1w.nii.gz,sub-10402,,nonzero_frac,0.909889065489477,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRNRPAAL/sub-10486/anat/sub-10486_T1w.nii.gz,sub-10486,,nonzero_frac,0.7162958261918049,"('SRNRPAAL', np.float64(nan), np.float64(nan))",False,False,False,True,False
