path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0428/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.695819854736328,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0430/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,20.166114807128903,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0432/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,20.03422737121582,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0436/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.47074031829834,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0438/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,20.289447784423828,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0440/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.501839637756348,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0442/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,18.894268035888672,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0446/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,18.93048858642578,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0448/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,18.9829683303833,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0454/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.416542053222656,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0460/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.53319358825684,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0462/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.806854248046875,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0464/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,19.67814540863037,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0470/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,20.05387592315674,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0472/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,18.955127716064453,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1357/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.377397537231445,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1359/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.493411064147949,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1364/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.5913591384887695,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1370/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.7689361572265625,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1377/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.907279014587402,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1380/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.660843849182129,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1385/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.35090446472168,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1386/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.537466049194336,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1389/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,6.029820442199707,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1391/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.317661285400391,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1393/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.507981300354004,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1396/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,6.115735054016113,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1402/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,5.029776573181152,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1407/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,4.57404899597168,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-1408/anat/defaced_mprage_T1w.nii.gz,defaced,,file_size_mb,6.078886032104492,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0236/anat/defaced_mprage_T1w.nii.gz,defaced,,max,12133.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0237/anat/defaced_mprage_T1w.nii.gz,defaced,,max,16067.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0238/anat/defaced_mprage_T1w.nii.gz,defaced,,max,13694.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0239/anat/defaced_mprage_T1w.nii.gz,defaced,,max,11518.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0243/anat/defaced_mprage_T1w.nii.gz,defaced,,max,14216.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0241/anat/defaced_mprage_T1w.nii.gz,defaced,,max,12585.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0240/anat/defaced_mprage_T1w.nii.gz,defaced,,max,15089.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0245/anat/defaced_mprage_T1w.nii.gz,defaced,,max,10399.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0242/anat/defaced_mprage_T1w.nii.gz,defaced,,max,14322.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0244/anat/defaced_mprage_T1w.nii.gz,defaced,,max,13576.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0248/anat/defaced_mprage_T1w.nii.gz,defaced,,max,13840.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0247/anat/defaced_mprage_T1w.nii.gz,defaced,,max,13138.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0251/anat/defaced_mprage_T1w.nii.gz,defaced,,max,10802.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0249/anat/defaced_mprage_T1w.nii.gz,defaced,,max,11894.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SRPBS_OPEN/sub-0250/anat/defaced_mprage_T1w.nii.gz,defaced,,max,12621.0,"('SRPBS_OPEN', np.float64(nan), np.float64(nan))",False,False,True,False,False
