path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-003/anat/sub-003_T1w.nii.gz,sub-003,,file_size_mb,8.06391429901123,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-004/anat/sub-004_T1w.nii.gz,sub-004,,file_size_mb,9.224688529968262,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-005/anat/sub-005_T1w.nii.gz,sub-005,,file_size_mb,9.217615127563477,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-002/anat/sub-002_T1w.nii.gz,sub-002,,file_size_mb,9.34035873413086,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-001/anat/sub-001_T1w.nii.gz,sub-001,,file_size_mb,11.253809928894045,"('SUDMEX', np.float64(nan), np.float64(nan))",True,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-052/anat/sub-052_T1w.nii.gz,sub-052,,file_size_mb,4.251625061035156,"('SUDMEX', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-066/anat/sub-066_T1w.nii.gz,sub-066,,file_size_mb,4.006011962890625,"('SUDMEX', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-004/anat/sub-004_T1w.nii.gz,sub-004,,max,27899.543030261997,"('SUDMEX', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-002/anat/sub-002_T1w.nii.gz,sub-002,,max,24756.893718391657,"('SUDMEX', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-017/anat/sub-017_T1w.nii.gz,sub-017,,max,88483.3217060566,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-039/anat/sub-039_T1w.nii.gz,sub-039,,max,100064.32467877863,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-003/anat/sub-003_T1w.nii.gz,sub-003,,median,7088.596787452698,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-004/anat/sub-004_T1w.nii.gz,sub-004,,median,6119.721233844757,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/SUDMEX/sub-005/anat/sub-005_T1w.nii.gz,sub-005,,median,6952.082514166832,"('SUDMEX', np.float64(nan), np.float64(nan))",False,True,True,False,False
