path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-038/anat/sub-038_T1w.nii.gz,sub-038,,file_size_mb,13.595158576965332,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-106/anat/sub-106_T1w.nii.gz,sub-106,,file_size_mb,14.568346977233888,"('VTI', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-120/anat/sub-120_T1w.nii.gz,sub-120,,file_size_mb,8.700241088867188,"('VTI', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-123/anat/sub-123_T1w.nii.gz,sub-123,,file_size_mb,8.743518829345703,"('VTI', nan, nan)",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-003/anat/sub-003_T1w.nii.gz,sub-003,,max,8878.0,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-106/anat/sub-106_T1w.nii.gz,sub-106,,max,10413.0,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-120/anat/sub-120_T1w.nii.gz,sub-120,,max,3937.0,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-121/anat/sub-121_T1w.nii.gz,sub-121,,max,4661.0,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-060/anat/sub-060_T1w.nii.gz,sub-060,,median,121.979248046875,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-101/anat/sub-101_T1w.nii.gz,sub-101,,median,109.97021484375,"('VTI', nan, nan)",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-120/anat/sub-120_T1w.nii.gz,sub-120,,median,548.0020751953125,"('VTI', nan, nan)",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/VTI/sub-121/anat/sub-121_T1w.nii.gz,sub-121,,median,725.020751953125,"('VTI', nan, nan)",True,True,True,True,False
