path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-139726/ses-MRI01Anonymized/anat/sub-139726_ses-MRI01Anonymized_run-002_T1w.nii.gz,sub-139726,ses-MRI01Anonymized,file_size_mb,14.1901273727417,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-888615/ses-MRI01Anonymized/anat/sub-888615_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-888615,ses-MRI01Anonymized,file_size_mb,11.142091751098633,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-744171/ses-MRI01Anonymized/anat/sub-744171_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-744171,ses-MRI01Anonymized,max,1639.0,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-749164/ses-MRI01Anonymized/anat/sub-749164_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-749164,ses-MRI01Anonymized,max,516.0,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-888615/ses-MRI01Anonymized/anat/sub-888615_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-888615,ses-MRI01Anonymized,max,1166.0,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-981685/ses-MRI01Anonymized/anat/sub-981685_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-981685,ses-MRI01Anonymized,max,1471.0,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,True,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-744171/ses-MRI01Anonymized/anat/sub-744171_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-744171,ses-MRI01Anonymized,median,18.80717086791992,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-888615/ses-MRI01Anonymized/anat/sub-888615_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-888615,ses-MRI01Anonymized,median,7.970824718475342,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-139726/ses-MRI01Anonymized/anat/sub-139726_ses-MRI01Anonymized_run-002_T1w.nii.gz,sub-139726,ses-MRI01Anonymized,mean,80.6841896428291,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-749164/ses-MRI01Anonymized/anat/sub-749164_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-749164,ses-MRI01Anonymized,mean,42.40501080296014,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-139726/ses-MRI01Anonymized/anat/sub-139726_ses-MRI01Anonymized_run-002_T1w.nii.gz,sub-139726,ses-MRI01Anonymized,std,110.10698932513608,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-744171/ses-MRI01Anonymized/anat/sub-744171_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-744171,ses-MRI01Anonymized,std,104.50786619135206,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,True,False,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-749164/ses-MRI01Anonymized/anat/sub-749164_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-749164,ses-MRI01Anonymized,std,61.47333654878513,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-744171/ses-MRI01Anonymized/anat/sub-744171_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-744171,ses-MRI01Anonymized,mad,14.00533962249756,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,True,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-888615/ses-MRI01Anonymized/anat/sub-888615_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-888615,ses-MRI01Anonymized,mad,4.8394293785095215,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements/BIDS_datasets_selection/cbig_anat_bids/sub-491818/ses-MRI01Anonymized/anat/sub-491818_ses-MRI01Anonymized_run-001_T1w.nii.gz,sub-491818,ses-MRI01Anonymized,entropy,3.065395518245132,"('cbig_anat_bids', np.float64(nan), np.float64(nan))",False,False,False,True,False
