path,subject,session,metric,value,group,z_sigma,iqr,mad,percentile,threshold_rule
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC015/ses-01/anat/sub-HC015_ses-01_run-2_T1w.nii.gz,sub-HC015,ses-01,file_size_mb,19.217853546142575,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC035/ses-01/anat/sub-HC035_ses-01_run-1_T1w.nii.gz,sub-HC035,ses-01,file_size_mb,21.858174324035645,"('mica-mics', np.float64(nan), np.float64(nan))",False,True,True,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC003/ses-01/anat/sub-HC003_ses-01_run-1_T1w.nii.gz,sub-HC003,ses-01,max,2070.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC028/ses-01/anat/sub-HC028_ses-01_run-1_T1w.nii.gz,sub-HC028,ses-01,max,1132.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC014/ses-01/anat/sub-HC014_ses-01_run-1_T1w.nii.gz,sub-HC014,ses-01,median,49.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC001/ses-01/anat/sub-HC001_ses-01_run-2_T1w.nii.gz,sub-HC001,ses-01,mean,177.273912021866,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC041/ses-01/anat/sub-HC041_ses-01_run-2_T1w.nii.gz,sub-HC041,ses-01,mean,115.4446193780986,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC028/ses-01/anat/sub-HC028_ses-01_run-1_T1w.nii.gz,sub-HC028,ses-01,std,143.02360198457384,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC037/ses-01/anat/sub-HC037_ses-01_run-1_T1w.nii.gz,sub-HC037,ses-01,std,214.49511026018615,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC014/ses-01/anat/sub-HC014_ses-01_run-1_T1w.nii.gz,sub-HC014,ses-01,mad,29.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC003/ses-01/anat/sub-HC003_ses-01_run-1_T1w.nii.gz,sub-HC003,ses-01,entropy,0.9968155644594447,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC028/ses-01/anat/sub-HC028_ses-01_run-1_T1w.nii.gz,sub-HC028,ses-01,entropy,1.6877112318829777,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC001/ses-01/anat/sub-HC001_ses-01_run-1_T1w.nii.gz,sub-HC001,ses-01,efc,0.5845,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC047/ses-01/anat/sub-HC047_ses-01_run-2_T1w.nii.gz,sub-HC047,ses-01,efc,0.5353,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC006/ses-01/anat/sub-HC006_ses-01_run-1_T1w.nii.gz,sub-HC006,ses-01,nonzero_frac,0.7968143136160715,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC036/ses-01/anat/sub-HC036_ses-01_run-2_T1w.nii.gz,sub-HC036,ses-01,nonzero_frac,0.848223876953125,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC006/ses-01/anat/sub-HC006_ses-01_run-1_T1w.nii.gz,sub-HC006,ses-01,n_nonzero,18277008.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
/run/media/falconnier/Elements1/BIDS_datasets_selection/mica-mics/sub-HC036/ses-01/anat/sub-HC036_ses-01_run-2_T1w.nii.gz,sub-HC036,ses-01,n_nonzero,19456220.0,"('mica-mics', np.float64(nan), np.float64(nan))",False,False,False,True,False
