dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20110128/anat/sub-1S5000_ses-20110128_acq-t1mprageS3DIS3D_T1w.nii.gz,,sub-1S5000,ses-20110128,160,240,256,1.0,1.0,1.0,9.61644172668457,3,Siemens,TrioTim,9830400,9667647,0.9834439086914063,0.0,1259.0,114.18109287606384,20.0,148.89210495490954,17.0,2.0185141533679616,1.5204885210288674,1.0,3.0,430.0,601.0,1.5240299934231485,0.583
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20120619/anat/sub-1S5000_ses-20120619_acq-T1mprageshortS46DIS3D_T1w.nii.gz,,sub-1S5000,ses-20120619,160,240,256,1.0,1.0,1.0,10.803298950195312,3,Siemens,TrioTim,9830400,9632028,0.979820556640625,0.0,1750.0,147.72641721971738,91.0,160.56862279084578,85.0,1.5003849933437818,1.289807313108937,2.0,3.0,478.0,652.0,1.2171992550438333,0.6545
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20120619/anat/sub-1S5000_ses-20120619_acq-T1mprage_T1w.nii.gz,,sub-1S5000,ses-20120619,160,240,256,1.0,1.0,1.0,10.981950759887695,3,Siemens,TrioTim,9830400,9713691,0.9881277465820313,0.0,1140.0,141.85312503764018,72.0,159.5601099078183,66.0,1.2497759433869629,1.3139706991946458,2.0,4.0,482.0,644.0,1.8533162615109486,0.6448
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20120619/anat/sub-1S5000_ses-20120619_acq-T1mprageS3DIS3D_T1w.nii.gz,,sub-1S5000,ses-20120619,160,240,256,1.0,1.0,1.0,10.755117416381836,3,Siemens,TrioTim,9830400,9600625,0.9766260782877604,0.0,1090.0,140.8607251090424,76.0,154.76970275348685,69.0,1.1025788332589057,1.263849475794091,2.0,5.0,467.0,624.0,1.937769627491485,0.6496
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5001/ses-20110809/anat/sub-1S5001_ses-20110809_acq-t1mprage_T1w.nii.gz,,sub-1S5001,ses-20110809,160,240,256,1.0,1.0,1.0,10.266030311584473,3,Siemens,TrioTim,9830400,9672158,0.9839027913411459,0.0,1214.0,105.4333915967874,34.0,134.84552070826047,30.0,2.2452152427548686,1.588415197959883,1.0,3.0,402.0,533.0,1.6280806134862202,0.5932
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5001/ses-20110208/anat/sub-1S5001_ses-20110208_acq-t1mprageS5DIS3D_T1w.nii.gz,,sub-1S5001,ses-20110208,160,240,256,1.0,1.0,1.0,8.875696182250977,3,Siemens,TrioTim,9830400,9579223,0.9744489542643229,0.0,633.0,71.31771919288235,16.0,98.56967998991593,13.0,2.0265273840259654,1.6329037860036175,1.0,2.0,289.0,396.0,2.814448030522075,0.5586
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5001/ses-20110809/anat/sub-1S5001_ses-20110809_acq-t1mprageS3DIS3D_T1w.nii.gz,,sub-1S5001,ses-20110809,160,240,256,1.0,1.0,1.0,10.071867942810059,3,Siemens,TrioTim,9830400,9680359,0.984737040201823,0.0,1055.0,103.87011473438123,34.0,130.9949594701176,30.0,1.831828608768336,1.5167355291033848,1.0,3.0,392.0,513.0,1.867361159782349,0.5989
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5001/ses-20110208/anat/sub-1S5001_ses-20110208_acq-t1mprage_T1w.nii.gz,,sub-1S5001,ses-20110208,160,240,256,1.0,1.0,1.0,9.111302375793457,3,Siemens,TrioTim,9830400,9591341,0.975681660970052,0.0,704.0,71.63853834411684,16.0,99.86245620087311,14.0,2.3411819533772844,1.684544594012625,1.0,2.0,288.0,408.0,2.534941441376139,0.5557
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20110128/anat/sub-1S5000_ses-20110128_acq-t1mprage_T1w.nii.gz,,sub-1S5000,ses-20110128,160,240,256,1.0,1.0,1.0,9.857965469360352,3,Siemens,TrioTim,9830400,9652413,0.9818942260742187,0.0,1297.0,115.14218765815346,22.0,150.5508208661985,20.0,2.185599201830075,1.5513205078709777,1.0,2.0,433.0,614.0,1.4830818068467249,0.5815
4RTNI_bids,/run/media/falconnier/Elements1/BIDS_datasets_selection/4RTNI_bids/sub-1S5000/ses-20120619/anat/sub-1S5000_ses-20120619_acq-T1mprageshort_T1w.nii.gz,,sub-1S5000,ses-20120619,160,240,256,1.0,1.0,1.0,11.010262489318848,3,Siemens,TrioTim,9830400,9683230,0.9850290934244792,0.0,2620.0,151.98854369874516,87.0,171.42557591331735,81.0,3.979626322670784,1.564198805433281,1.0,3.0,504.0,688.0,0.8156283457144325,0.6429
