dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-002/anat/002_T1_DEFACED_T1w.nii.gz,,,,,002,,175,205,173,1.0,1.0,0.99999994,6.251203536987305,6206375,5143782,0.8287900747215564,0.0,661.0,84.4642125191153,69.0,81.60181088960505,67.0,-1.0020536259090123,0.4706514804581316,1.0,1.0,225.0,251.0,2.640119448650099,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-005/anat/005_T1_DEFACED_T1w.nii.gz,,,,,005,,176,221,167,1.0,0.99999994,1.0,6.304182052612305,6495632,5219232,0.8034987203708585,0.0,614.0,79.84325950637948,54.0,81.1379123229658,53.0,-0.9440787363399128,0.5698683356611212,1.0,1.0,221.0,255.0,2.801783973454298,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-003/anat/003_T1_DEFACED_T1w.nii.gz,,,,,003,,166,214,187,1.0,1.0,1.0,6.573176383972168,6642988,5330475,0.8024212899376004,0.0,683.0,92.6566005843757,58.0,97.67249593485734,57.0,-0.3981536407552624,0.7536845684989968,1.0,1.0,262.0,354.0,2.6033668583172584,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-001/anat/001_T1_DEFACED_T1w.nii.gz,,,,,001,,171,188,193,1.0,1.0,1.0,6.218358993530273,6204564,5165711,0.8325663173109343,0.0,619.0,70.10823853676676,41.0,72.42567243759761,40.0,-0.8160924465313171,0.6494784851274361,1.0,1.0,199.0,233.0,2.786090992307454,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-004/anat/004_T1_DEFACED_T1w.nii.gz,,,,,004,,176,205,195,1.0,1.0,1.0,6.797440528869629,7035600,5659007,0.8043389334242993,0.0,644.0,76.04355198712425,48.0,79.51065904544626,47.0,-0.5754694875551465,0.7139301581715659,1.0,1.0,215.0,278.0,2.6658763261054546,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-006/anat/006_T1_DEFACED_T1w.nii.gz,,,,,006,,176,225,193,1.0,0.99999994,1.0,6.9624223709106445,7642800,5836048,0.7636007745852306,0.0,859.0,75.67964862523407,42.0,80.0360065335425,41.0,-0.3348713453834873,0.7118842959426592,1.0,1.0,217.0,255.0,1.9862045880411772,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-007/anat/007_T1_DEFACED_T1w.nii.gz,,,,,007,,176,213,198,1.0,1.0,0.99999994,7.111716270446777,7422624,5952401,0.8019267849213432,0.0,632.0,80.91662137681921,56.0,81.12731546450821,55.0,-1.0278484737188756,0.5151320594483367,1.0,1.0,223.0,248.0,2.7153919325000975,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-010/anat/010_T1_DEFACED_T1w.nii.gz,,,,,010,,160,198,193,1.0,1.0,1.0,6.267009735107422,6114240,4972041,0.8131903556288271,0.0,936.0,97.22031153805851,78.0,95.09425798944919,76.0,-0.6105024845722338,0.5848475763947241,1.0,1.0,260.0,316.0,1.9637503583761522,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-013/anat/013_T1_DEFACED_T1w.nii.gz,,,,,013,,176,192,196,1.0,1.0,1.0,6.151516914367676,6623232,5157366,0.7786781438427643,0.0,916.0,74.44238493060217,37.0,80.17331517666571,36.0,-0.4369217692544769,0.7377836327784726,1.0,1.0,217.0,260.0,1.8645297085155688,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-012/anat/012_T1_DEFACED_T1w.nii.gz,,,,,012,,174,209,189,0.99999994,1.0,1.0,6.609408378601074,6873174,5640218,0.8206133003471177,0.0,618.0,66.42119595377342,33.0,71.8447043978606,32.0,-0.6673375277954876,0.733009289588658,1.0,1.0,199.0,230.0,2.6835115367674387,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-008/anat/008_T1_DEFACED_T1w.nii.gz,,,,,008,,176,233,200,1.0,1.0,1.0,7.795381546020508,8201600,6416078,0.7822958934841983,0.0,666.0,82.82776378342034,51.0,86.5105431913854,50.0,-0.743004606335504,0.6504757242485779,1.0,1.0,238.0,277.0,2.5954237227890813,
AGE-ILITY,/run/media/falconnier/Elements/BIDS_datasets_selection/AGE-ILITY/sub-011/anat/011_T1_DEFACED_T1w.nii.gz,,,,,011,,170,227,200,1.0,1.0,1.0,7.2270050048828125,7718000,5857108,0.758889349572428,0.0,885.0,89.15621395405377,58.0,92.1732468612301,57.0,-0.5424948287727811,0.6602565970667894,1.0,1.0,249.0,300.0,1.9984311816669416,
