dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0004/ses-01/anat/sub-0004_ses-01_T1w.nii.gz,,sub-0004,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.589471817016602,,,,5308416,5251632,0.9893030237268519,0.0,776.0,74.83841670551173,11.0,101.53706312680377,8.0,0.587894905846917,1.3227554148263123,2.0,3.0,298.0,361.0,2.2139907778069396,0.5671
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0002/ses-01/anat/sub-0002_ses-01_T1w.nii.gz,,sub-0002,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.540620803833008,,,,5308416,5252087,0.9893887366777585,0.0,939.0,65.90440847609722,12.0,89.6615759229277,9.0,0.8884359810918121,1.3957048474324518,2.0,3.0,259.0,326.0,1.8298017208161856,0.5675
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0003/ses-01/anat/sub-0003_ses-01_T1w.nii.gz,,sub-0003,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.975393295288086,,,,5308416,5253707,0.9896939124590085,0.0,1052.0,85.51653356382455,30.0,95.90215220951542,27.0,0.16237907710370436,0.9970581127588664,2.0,3.0,269.0,337.0,1.770108275732946,0.643
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0008/ses-01/anat/sub-0008_ses-01_T1w.nii.gz,,sub-0008,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.9629106521606445,,,,5308416,5253579,0.9896697998046875,0.0,807.0,82.11764037430483,35.0,88.42764902772227,32.0,-0.3531765605301538,0.870448935527453,2.0,3.0,249.0,312.0,2.294118983755569,0.6583
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0005/ses-01/anat/sub-0005_ses-01_T1w.nii.gz,,sub-0005,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.294304847717285,,,,5308416,5031341,0.9478045805000964,0.0,513.0,67.47437452559865,13.0,84.03268023929837,12.0,0.003684659308755389,1.0955980527802922,1.0,1.0,243.0,291.0,3.307953234612043,0.5849
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0006/ses-01/anat/sub-0006_ses-01_T1w.nii.gz,,sub-0006,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.839029312133789,,,,5308416,5253642,0.9896816677517362,0.0,684.0,78.43634568171946,24.0,88.28304863413486,21.0,-0.1863793388834889,0.9488807232923768,2.0,3.0,247.0,313.0,2.6350561307066838,0.6412
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0001/ses-01/anat/sub-0001_ses-01_T1w.nii.gz,,sub-0001,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.669188499450684,,,,5308416,5251782,0.9893312807436343,0.0,1088.0,73.50887622525079,13.0,99.10340332463419,10.0,0.817512195146624,1.3518482768632054,2.0,3.0,287.0,356.0,1.605771240384334,0.5703
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0010/ses-01/anat/sub-0010_ses-01_T1w.nii.gz,,sub-0010,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.943931579589844,,,,5308416,5252765,0.989516458393615,0.0,712.0,88.56089050243062,24.0,101.5787838425868,21.0,-0.2929024075834148,0.9505132911062854,2.0,3.0,287.0,353.0,2.579846790824174,0.6333
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0009/ses-01/anat/sub-0009_ses-01_T1w.nii.gz,,sub-0009,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.873023986816406,,,,5308416,5252485,0.9894637119622878,0.0,878.0,79.69150602048364,24.0,90.88071733066032,21.0,-0.1301470604028898,0.9808667943094533,2.0,3.0,258.0,322.0,2.0744272327719697,0.636
BGSP,/run/media/falconnier/Elements1/BIDS_datasets_selection/BGSP/sub-0007/ses-01/anat/sub-0007_ses-01_T1w.nii.gz,,sub-0007,ses-01,192,192,144,1.1979166,1.1979166,1.2,4.719846725463867,,,,5308416,5251056,0.9891945167824074,0.0,694.0,70.80233994838372,19.0,84.85931455323903,16.0,0.11008716811914931,1.1013190744211416,1.0,2.0,242.0,303.0,2.5480375949137595,0.6168
