dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-003/anat/sub-003_T1w.nii.gz,,sub-003,,192,256,160,1.0,1.0,1.0,7.8948516845703125,3,Siemens,TrioTim,7864320,6962008,0.8852650960286458,0.0,919.0,121.424720138213,14.0,150.34006226315924,13.0,-0.5993772817398475,0.9146034962211593,1.0,2.0,408.0,462.0,1.9830082437445866,0.5633
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-010/anat/sub-010_T1w.nii.gz,,sub-010,,192,256,160,1.0,1.0,1.0,7.70635986328125,3,Siemens,TrioTim,7864320,6899076,0.8772628784179688,0.0,999.0,114.50440508265164,10.0,160.34503467454036,8.0,0.531733186024812,1.2663565773328773,1.0,2.0,436.0,540.0,1.7745509294961583,0.515
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-002/anat/sub-002_T1w.nii.gz,,sub-002,,192,256,160,1.0,1.0,1.0,7.487700462341309,3,Siemens,TrioTim,7864320,6844019,0.8702620188395183,0.0,867.0,94.22325887756887,10.0,132.4897164597436,8.0,1.071986648285585,1.3826661570767083,1.0,1.0,357.0,491.0,2.003159515242402,0.5124
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-006/anat/sub-006_T1w.nii.gz,,sub-006,,192,256,160,1.0,1.0,1.0,7.2585906982421875,3,Siemens,TrioTim,7864320,6721831,0.8547250111897786,0.0,808.0,86.76985586218993,9.0,115.82487966168569,8.0,1.0275504081580156,1.3081905924784591,1.0,1.0,305.0,448.0,2.0998540776071435,0.5262
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-005/anat/sub-005_T1w.nii.gz,,sub-005,,192,256,160,1.0,1.0,1.0,6.714844703674316,3,Siemens,TrioTim,7864320,6625139,0.8424299875895183,0.0,620.0,65.38841539777505,6.0,95.15250488493548,5.0,1.3386939683325547,1.4532379457320965,1.0,1.0,255.0,361.0,2.5079648685791294,0.4903
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-009/anat/sub-009_T1w.nii.gz,,sub-009,,192,256,160,1.0,1.0,1.0,7.372758865356445,3,Siemens,TrioTim,7864320,6828635,0.8683058420817057,0.0,999.0,96.2686741933051,8.0,143.56227934380618,6.0,1.182152082719484,1.455813657696901,1.0,1.0,400.0,490.0,1.702815077330828,0.4893
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-001/anat/sub-001_T1w.nii.gz,,sub-001,,192,256,160,1.0,1.0,1.0,7.9018049240112305,3,Siemens,TrioTim,7864320,6898909,0.8772416432698568,0.0,1139.0,122.57623792399639,12.0,168.52907610711102,10.0,0.6662664243547938,1.2752718974958275,1.0,2.0,456.0,591.0,1.6055775340031455,0.5225
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-007/anat/sub-007_T1w.nii.gz,,sub-007,,192,256,160,1.0,1.0,1.0,7.795246124267578,3,Siemens,TrioTim,7864320,6843513,0.8701976776123047,0.0,1145.0,122.84030964798343,10.0,168.92397956604648,8.0,0.7162104465415102,1.2759994065677827,1.0,2.0,448.0,625.0,1.5725603578049872,0.5195
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-008/anat/sub-008_T1w.nii.gz,,sub-008,,192,256,160,1.0,1.0,1.0,7.196030616760254,3,Siemens,TrioTim,7864320,6721167,0.8546405792236328,0.0,764.0,84.69141430349819,9.0,111.93703183129115,8.0,0.820733160844711,1.245060398300499,1.0,1.0,295.0,413.0,2.2280824105018224,0.5294
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-004/anat/sub-004_T1w.nii.gz,,sub-004,,192,256,160,1.0,1.0,1.0,7.939435958862305,3,Siemens,TrioTim,7864320,6849103,0.8709084828694661,0.0,932.0,105.59723908371652,28.0,127.76801758305311,27.0,1.1055675223227803,1.2221572603523285,1.0,2.0,334.0,501.0,2.0047210810324647,0.5696
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-011/anat/sub-011_T1w.nii.gz,,sub-011,,192,256,160,1.0,1.0,1.0,7.736428260803223,3,Siemens,TrioTim,7864320,6902597,0.8777105967203777,0.0,1014.0,117.12725587195659,10.0,167.8998220400154,8.0,0.7573820089050978,1.3326302030069257,1.0,2.0,450.0,607.0,1.7549541457618956,0.5065
BOLD,/run/media/falconnier/Elements1/BIDS_datasets_selection/BOLD/sub-012/anat/sub-012_T1w.nii.gz,,sub-012,,192,256,160,1.0,1.0,1.0,7.562380790710449,3,Siemens,TrioTim,7864320,6810825,0.8660411834716797,0.0,1294.0,111.79895093472524,10.0,156.6471375312705,8.0,0.19791423878460668,1.2095308015557407,1.0,2.0,430.0,505.0,1.3462720823727274,0.5107
