dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-001/ses-T1/anat/sub-001_ses-T1_T1w.nii.gz,,sub-001,ses-T1,256,256,160,1.0,1.0,1.0,8.374300956726074,,,,10485760,6335713,0.6042206764221192,0.0,756.999984565191,102.86901008141456,40.994780578650534,110.14300835269415,16.99163770955056,0.9676020444894813,1.4273640240002674,15.004852063022554,19.994918338023126,347.9993672845885,423.0005254410207,2.531310674351991,0.5079
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-002/ses-T1/anat/sub-002_ses-T1_T1w.nii.gz,,sub-002,ses-T1,256,256,160,1.0,1.0,1.0,7.697340965270996,,,,10485760,6289631,0.5998259544372558,0.0,943.9999997802079,95.12242656933435,35.00297550112009,112.21055763021569,12.992874033749104,2.0010061168810864,1.6694661198165943,12.992874033749104,18.00564583390951,352.9970854446292,435.0019988305867,1.9630577757429137,0.4782
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-006/ses-T2/anat/sub-006_ses-T2_T1w.nii.gz,,sub-006,ses-T2,256,256,160,1.0,1.0,1.0,7.996525764465332,,,,10485760,6393315,0.6097140312194824,0.0,718.0000303499401,87.72732526066773,26.995530247688293,104.76499200730396,15.995728150010109,0.8750347799265592,1.3962230011183343,7.000870060175657,10.002808082848787,323.0041488483548,389.9999554492533,2.6075255847256646,0.4759
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-005/ses-T2/anat/sub-005_ses-T2_T1w.nii.gz,,sub-005,ses-T2,256,256,160,1.0,1.0,1.0,12.23687744140625,,,,10485760,10030615,0.9565939903259277,0.0,811.0,85.5874249983675,35.0,106.141371521987,10.0,2.858598600443684,1.9487209099158478,15.0,19.0,350.0,433.0,2.1996506575032395,0.6055
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-001/ses-T2/anat/sub-001_ses-T2_T1w.nii.gz,,sub-001,ses-T2,256,256,160,1.0,1.0,1.0,11.628347396850586,,,,10485760,9787452,0.9334041595458984,0.0,832.0,76.24456222109697,32.0,98.28457570498361,9.0,3.3010574281205534,2.056960201184555,13.0,18.0,320.0,405.0,2.066111422549218,0.5831
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-004/ses-T1/anat/sub-004_ses-T1_T1w.nii.gz,,sub-004,ses-T1,256,256,160,1.0,1.0,1.0,11.503170013427734,,,,10485760,9800962,0.9346925735473632,0.0,951.0,72.95121376860762,30.0,98.53207443736656,8.0,4.613996094451724,2.26524933175098,13.0,17.0,312.0,415.0,1.7792174424783667,0.5664
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-003/ses-T1/anat/sub-003_ses-T1_T1w.nii.gz,,sub-003,ses-T1,256,256,160,1.0,1.0,1.0,12.284270286560059,,,,10485760,9760318,0.9308164596557618,0.0,1108.0,92.87953312586741,37.0,118.3800637385675,11.0,4.237282637815554,2.116877185232856,15.0,20.0,370.0,511.0,1.6439653149385391,0.586
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-006/ses-T1/anat/sub-006_ses-T1_T1w.nii.gz,,sub-006,ses-T1,256,256,160,1.0,1.0,1.0,11.688676834106445,,,,10485760,9906649,0.944771671295166,0.0,825.0,75.97873357580349,31.0,102.21088847520531,8.0,4.16230127318149,2.1984564510990623,13.0,17.0,327.0,423.0,2.068916931860892,0.571
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-005/ses-T1/anat/sub-005_ses-T1_T1w.nii.gz,,sub-005,ses-T1,256,256,160,1.0,1.0,1.0,11.939204216003418,,,,10485760,9881520,0.9423751831054688,0.0,793.0,79.0506050688558,33.0,99.53604391868349,10.0,3.234776184518747,2.015030304719889,13.0,18.0,323.0,411.0,2.2250149562805803,0.5949
Brain Correlates of Math Development,/run/media/falconnier/Elements1/BIDS_datasets_selection/Brain Correlates of Math Development/sub-002/ses-T2/anat/sub-002_ses-T2_T1w.nii.gz,,sub-002,ses-T2,256,256,160,1.0,1.0,1.0,11.62972640991211,,,,10485760,9936637,0.947631549835205,0.0,955.0,73.88893827962116,31.0,101.25062739426338,8.0,4.27665947840169,2.2609742840823808,13.0,17.0,327.0,436.0,1.7681769912381229,0.5654
