dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-18698/anat/sub-18698_T1w.nii.gz,,,,,sub-18698,,106,256,256,1.4,1.0,1.0,3.621082305908203,6946816,2338446,0.33662126649100826,0.0,5583.0,373.6640794784229,356.0,182.8930450460309,99.0,9.108813233246543,1.8295000789825304,56.45000000000073,129.0,667.0,1040.0,0.43041756629416217,0.4849
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-04111/anat/sub-04111_T1w.nii.gz,,,,,sub-04111,,106,256,256,1.4,1.0,1.0,3.733457565307617,6946816,2382458,0.34295683087043044,0.0,5879.0,437.20838184765483,412.0,227.7799081009334,127.0,7.01883128613623,1.7206809047054084,65.0,140.0,839.0,1281.0,0.4224163897748839,0.4838
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-16960/anat/sub-16960_T1w.nii.gz,,,,,sub-16960,,256,256,124,1.0,1.0,1.2,3.3261051177978516,8126464,2045219,0.2516739137711064,0.0,10547.0,676.3149281323907,668.0,351.628101207906,232.0,6.540969761288373,0.9177691595886709,46.0,126.0,1200.0,1677.0,0.25229543091668993,0.4053
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-13636/anat/sub-13636_T1w.nii.gz,,,,,sub-13636,,106,256,256,1.4,1.0,1.0,3.601327896118164,6946816,2313864,0.33308266693691035,0.0,2826.0,392.6562853305121,371.0,201.81732731759703,111.0,6.563420628677989,1.7296780980422426,42.0,131.0,735.0,1151.0,0.860946125715532,0.4772
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-04619/anat/sub-04619_T1w.nii.gz,,,,,sub-04619,,106,256,256,1.4,1.0,1.0,3.410140037536621,6946816,2234161,0.3216093531194723,0.0,3467.0,344.2524661382953,331.0,167.61354593167354,96.0,6.500244369570099,1.5911833578631203,50.0,112.0,594.0,963.3999999999069,0.6860260518859339,0.4729
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-13959/anat/sub-13959_T1w.nii.gz,,,,,sub-13959,,106,256,256,1.4,1.0,1.0,3.802845001220703,6946816,2523447,0.36325231588111734,0.0,4096.0,359.971038028538,347.0,164.52150498453912,99.0,5.736146844119492,1.3555076434304991,64.0,126.0,619.0,932.0,0.5821819272417559,0.5126
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-20317/anat/sub-20317_T1w.nii.gz,,,,,sub-20317,,110,256,256,1.4,1.0,1.0,4.364934921264648,7208960,2648580,0.367401123046875,0.0,6330.0,715.4004281539542,652.0,395.6536464144396,230.0,2.915791027026918,1.2671762419513368,78.0,202.0,1531.0,1955.0,0.42585416868112097,0.4961
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-28433/anat/sub-28433_T1w.nii.gz,,,,,sub-28433,,106,256,256,1.4,1.0,1.0,3.547297477722168,6946816,2327333,0.33502154080372937,0.0,5131.0,358.5870689755183,339.0,180.46842688795206,102.0,7.877215435597996,1.7918803359470294,69.0,123.0,655.0,1021.0,0.46778915993319076,0.481
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-38614/anat/sub-38614_T1w.nii.gz,,,,,sub-38614,,106,256,256,1.4,1.0,1.0,3.5502309799194336,6946816,2323949,0.3345344111604511,0.0,3164.0,361.8128844479806,346.0,174.12197778572875,98.0,7.381926199226518,1.6645291197744712,61.0,119.0,623.0,1001.0,0.7565405364837723,0.4847
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-46727/anat/sub-46727_T1w.nii.gz,,,,,sub-46727,,106,256,256,1.4,1.0,1.0,3.1793127059936523,6946816,1997479,0.28753878035635316,0.0,4924.0,435.04828235991465,410.0,218.3898941116466,118.0,9.56260821262803,1.954924341455437,59.0,145.0,774.0,1269.0,0.5005228253662055,0.4412
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-45660/anat/sub-45660_T1w.nii.gz,,,,,sub-45660,,106,256,256,1.4,1.0,1.0,4.143703460693359,6946816,2530866,0.36432028716465215,0.0,8199.0,660.47448699378,633.0,336.9113304698045,196.0,6.884563885148523,1.494035797473205,77.0,186.0,1188.0,1821.0,0.3209518961300419,0.5026
AnnArbor_a,/run/media/falconnier/Elements/BIDS_datasets_selection/FCON1000/AnnArbor_a/sub-30421/anat/sub-30421_T1w.nii.gz,,,,,sub-30421,,106,256,256,1.4,1.0,1.0,3.8696985244750977,6946816,2554071,0.3676606664117777,0.0,2270.0,294.9423528163469,290.0,130.1714359582667,76.0,5.230237950690237,1.1321992217544126,40.0,97.0,482.0,726.0,1.0125564820991582,0.5189
