dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA075AMK/ses-HBNsiteSI/anat/sub-NDARAA075AMK_ses-HBNsiteSI_T1w.nii.gz,,,,,sub-NDARAA075AMK,ses-HBNsiteSI,176,256,256,1.0000015,1.0,1.0,7.847431182861328,11534336,9937314,0.8615419214422052,0.0,353.0,37.159148437897805,13.0,47.87067142122314,9.0,2.7400271062347548,1.7887655290731788,2.0,3.0,147.0,190.0,4.470626641228253,0.5524
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA536PTU/ses-HBNsiteSI/anat/sub-NDARAA536PTU_ses-HBNsiteSI_T1w.nii.gz,,,,,sub-NDARAA536PTU,ses-HBNsiteSI,176,256,256,0.99999493,1.0,0.99999994,9.417336463928223,11534336,10163720,0.8811707930131392,0.0,640.0,76.15021498034184,21.0,95.45259416305687,17.0,1.306434721591649,1.3994334381168327,2.0,3.0,267.0,382.0,2.8607935737844996,0.5648
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA504CRN/ses-HBNsiteCBIC/anat/sub-NDARAA504CRN_ses-HBNsiteCBIC_acq-VNavNorm_T1w.nii.gz,,,,,sub-NDARAA504CRN,ses-HBNsiteCBIC,176,256,256,1.0,1.0,1.0,10.647266387939453,11534336,10022922,0.8689639351584695,0.0,3707.0,139.06223324894677,30.0,201.107187204527,27.0,9.118577103004734,2.221062130561582,1.0,2.0,560.0,729.0,0.545410702652534,0.5073
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA947ZG5/ses-HBNsiteCBIC/anat/sub-NDARAA947ZG5_ses-HBNsiteCBIC_acq-VNavNorm_T1w.nii.gz,,,,,sub-NDARAA947ZG5,ses-HBNsiteCBIC,176,256,256,0.999998,1.0,1.0,10.904138565063477,11534336,9975415,0.8648451891812411,0.0,1785.0,144.3476804724415,38.0,181.2428649749536,35.0,0.4685237907395785,1.2129928688769605,1.0,2.0,520.0,653.0,1.1437255696597635,0.5552
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAB348EWR/ses-HBNsiteCBIC/anat/sub-NDARAB348EWR_ses-HBNsiteCBIC_acq-VNavNorm_T1w.nii.gz,,,,,sub-NDARAB348EWR,ses-HBNsiteCBIC,176,256,256,1.0000023,1.0,1.0,10.639080047607422,11534336,9889509,0.8573973395607688,0.0,1593.0,131.7494311396046,31.0,176.79760341458567,28.0,1.7867205190004585,1.516185760012414,1.0,2.0,517.0,658.0,1.257154525771358,0.5294
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA306NT2/ses-HBNsiteRU/anat/sub-NDARAA306NT2_ses-HBNsiteRU_acq-HCP_T1w.nii.gz,,,,,sub-NDARAA306NT2,ses-HBNsiteRU,224,320,320,0.79999834,0.8,0.8,18.02227210998535,22937600,19193647,0.8367766026088169,0.0,1187.0,101.79009830700753,11.0,141.8042056522296,10.0,0.8557680563031971,1.3212385551888821,1.0,1.0,387.0,515.0,1.4696125763772687,0.5052
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAA948VFH/ses-HBNsiteRU/anat/sub-NDARAA948VFH_ses-HBNsiteRU_acq-HCP_T1w.nii.gz,,,,,sub-NDARAA948VFH,ses-HBNsiteRU,224,320,320,0.8000011,0.8,0.8,17.33563232421875,22937600,18595856,0.8107149832589285,0.0,1456.0,91.00650290043114,11.0,126.36696439193751,10.0,1.1499167475629246,1.3276175800963377,1.0,1.0,336.0,444.0,1.1863851093505409,0.4978
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAB514MAJ/ses-HBNsiteCBIC/anat/sub-NDARAB514MAJ_ses-HBNsiteCBIC_acq-VNavNorm_T1w.nii.gz,,,,,sub-NDARAB514MAJ,ses-HBNsiteCBIC,176,256,256,1.0000019,1.0,1.0,9.91254997253418,11534336,9857409,0.8546143445101652,0.0,2249.0,118.86214622929819,13.0,172.929916724947,10.0,2.143549331150351,1.5849215891740396,1.0,2.0,500.0,633.0,0.8285009873182726,0.4967
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAB458VK9/ses-HBNsiteCBIC/anat/sub-NDARAB458VK9_ses-HBNsiteCBIC_acq-VNavNorm_T1w.nii.gz,,,,,sub-NDARAB458VK9,ses-HBNsiteCBIC,176,256,256,0.99999994,1.0,0.99999994,10.207599639892578,11534336,9962069,0.863688122142445,0.0,1701.0,136.5979732724196,17.0,190.75991293863672,15.0,0.6754382108064285,1.3254766229844135,1.0,2.0,543.0,679.0,1.121102292863642,0.5135
HBN,/run/media/falconnier/Elements/BIDS_datasets_selection/HBN/sub-NDARAB055BPR/ses-HBNsiteRU/anat/sub-NDARAB055BPR_ses-HBNsiteRU_acq-HCP_T1w.nii.gz,,,,,sub-NDARAB055BPR,ses-HBNsiteRU,224,320,320,0.7999988,0.8,0.8,18.47750759124756,22937600,19095986,0.8325189208984375,0.0,1391.0,93.85776230669629,23.0,114.74749985849857,22.0,1.6173504510744738,1.2448367071229662,1.0,1.0,299.0,431.0,1.3015565395403903,0.5525
