dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-004/anat/sub-004_T1w.nii.gz,,,,,sub-004,,256,256,192,1.0,0.99999994,0.99999994,12.023578643798828,12582912,10225518,0.8126511573791504,0.0,1222.0,107.04148034358748,8.0,159.7737189449098,7.0,0.7249028492874268,1.3272017340260132,1.0,1.0,421.0,560.0,1.3552737060731865,0.4694
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-005/anat/sub-005_T1w.nii.gz,,,,,sub-005,,256,256,192,1.0,1.0,0.99999994,12.663049697875977,12582912,10735260,0.8531618118286133,0.0,3242.0,84.13567812982639,9.0,142.04239624528,6.0,4.3085497164735,2.023872430510866,1.0,2.0,386.0,598.0,0.5225797325907756,0.4432
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-006/anat/sub-006_T1w.nii.gz,,,,,sub-006,,256,256,192,0.99999994,1.0,1.0,12.966952323913574,12582912,10462250,0.831464926401774,0.0,1392.0,109.2831692035652,12.0,150.87286743573253,10.0,1.7276384276351342,1.4182716160298912,1.0,2.0,391.0,595.0,1.2847292943469804,0.5068
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-003/anat/sub-003_T1w.nii.gz,,,,,sub-003,,256,256,192,1.0,1.0,1.0,12.620325088500977,12582912,10965721,0.871477206548055,0.0,1133.0,89.25854405743134,7.0,135.52988074653265,5.0,0.8739666862191173,1.3929303083073656,1.0,1.0,370.0,457.0,1.4242491155542096,0.4833
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-001/anat/sub-001_T1w.nii.gz,,,,,sub-001,,256,256,192,0.99999994,0.99999994,0.99999994,13.214494705200195,12582912,11007140,0.8747688929239908,0.0,1969.0,107.96573024418696,10.0,172.91565424621584,7.0,2.5341199142529742,1.7187543005815162,1.0,1.0,454.0,716.0,0.8747845506425312,0.4662
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-002/anat/sub-002_T1w.nii.gz,,,,,sub-002,,256,256,192,0.99999994,1.0,0.99999994,12.794925689697266,12582912,11139986,0.8853265444437662,0.0,1706.0,86.23015262317206,8.0,156.51373181307525,5.0,4.5300721582109995,2.1398628141778806,1.0,1.0,424.0,682.0,0.9502754355144721,0.4253
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-007/anat/sub-007_T1w.nii.gz,,,,,sub-007,,256,256,192,0.99999994,0.99999994,0.99999994,12.531655311584473,12582912,10820411,0.8599290053049723,0.0,1275.0,93.30157579042053,8.0,159.0179280111776,5.0,2.840088065321398,1.8290968109390748,1.0,1.0,440.0,625.0,1.286789480564828,0.4391
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-008/anat/sub-008_T1w.nii.gz,,,,,sub-008,,256,256,176,1.015625,1.015625,1.0,11.539385795593262,11534336,9839313,0.8530454635620117,0.0,1315.0,83.42580056148229,9.0,138.03091748423014,7.0,3.646965603063757,1.9454911116282048,1.0,1.0,360.0,580.0,1.2624115277574905,0.4498
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-009/anat/sub-009_T1w.nii.gz,,,,,sub-009,,256,256,192,1.0,0.99999994,1.0,12.33980655670166,12582912,11070735,0.8798229694366455,0.0,1100.0,76.74647853100991,6.0,141.0718872859145,4.0,3.635644902191765,2.042037079578471,1.0,1.0,398.0,592.0,1.3839986104564193,0.4182
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-012/anat/sub-012_T1w.nii.gz,,,,,sub-012,,256,256,192,0.99999994,1.0,1.0,11.387040138244629,12582912,10467890,0.831913153330485,0.0,681.0,61.08018693356541,5.0,94.76188164851128,4.0,2.2651164791213967,1.654967520282353,1.0,1.0,247.0,385.0,2.1676220194215747,0.4643
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-011/anat/sub-011_T1w.nii.gz,,,,,sub-011,,256,256,192,1.0,1.0,1.0,12.947076797485352,12582912,10906239,0.8667500019073486,0.0,1649.0,94.2133531091699,9.0,160.30198463567032,6.0,3.9371727878084215,2.0045290331061643,1.0,2.0,421.0,687.0,1.020756445879296,0.4434
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-010/anat/sub-010_T1w.nii.gz,,,,,sub-010,,256,256,192,1.0,1.0,1.0,12.978689193725586,12582912,10464902,0.8316756884256998,0.0,4095.0,100.37160252432369,13.0,159.13902834302172,10.0,6.1090611742377,2.017784393031622,1.0,2.0,417.0,662.0,0.4416228682422348,0.4595
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-013/anat/sub-013_T1w.nii.gz,,,,,sub-013,,256,256,192,0.99999994,1.0,1.0,13.312718391418457,12582912,11211139,0.8909812768300375,0.0,2738.0,90.16388878953333,10.0,149.39528317368138,7.0,3.3976012738853187,1.8763947027519134,1.0,2.0,412.0,599.0,0.6229533409376693,0.4602
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-014/anat/sub-014_T1w.nii.gz,,,,,sub-014,,256,256,192,1.0,0.99999994,0.99999994,12.759978294372559,12582912,10939696,0.869408925374349,0.0,1562.0,84.61922579932751,8.0,145.0947397636569,5.0,3.596045116650301,1.9668784807210458,1.0,1.0,401.0,614.0,1.042982024641751,0.4413
HVA,/run/media/falconnier/Elements/BIDS_datasets_selection/HVA/sub-015/anat/sub-015_T1w.nii.gz,,,,,sub-015,,256,256,192,0.99999994,1.0,1.0,12.11733627319336,12582912,10795086,0.8579163551330566,0.0,767.0,66.31590503308635,7.0,101.82821491306922,5.0,2.622986010670404,1.7095491552226316,1.0,1.0,267.0,424.0,2.0682016988642933,0.4774
