dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0008/anat/sub-0008_T1w.nii.gz,,,,,sub-0008,,188,256,256,1.0,1.0,1.0,19.498297691345215,12320768,12172306,0.9879502641393784,0.0,7878.0,643.800391725282,159.0,916.4622731634697,50.0,3.7904928101259525,1.9901546504508179,44.0,90.0,2730.0,3802.0,0.315471051729604,0.5574
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0006/anat/sub-0006_T1w.nii.gz,,,,,sub-0006,,188,256,256,1.0,1.0,1.0,19.058332443237305,12320768,12185500,0.9890211389419881,0.0,7228.0,563.497903491855,145.0,830.541216893615,42.0,5.095346922077365,2.198993881472424,42.0,84.0,2461.0,3566.0,0.3352266186365974,0.5451
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0004/anat/sub-0004_T1w.nii.gz,,,,,sub-0004,,188,256,256,1.0,1.0,1.0,19.84681224822998,12320768,12171798,0.9879090329434009,0.0,7116.0,683.7241274460848,183.0,843.6426201603031,74.0,1.972612983466572,1.5818721652886425,47.0,97.0,2500.0,3210.0,0.3608894082298552,0.6131
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0007/anat/sub-0007_T1w.nii.gz,,,,,sub-0007,,188,256,256,1.0,1.0,1.0,19.561253547668457,12320768,12172518,0.9879674708589594,0.0,6913.0,607.7680671328644,163.0,841.1163168690769,56.0,3.6506938382368315,1.974119854653606,45.0,90.0,2521.0,3553.0,0.36124507032110376,0.5694
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0002/anat/sub-0002_T1w.nii.gz,,,,,sub-0002,,188,256,256,1.0,1.0,1.0,19.531699180603027,12320768,12120336,0.9837321829288563,0.0,10903.0,657.4375472759172,159.0,943.137503061515,51.0,4.304566216573922,2.0410204928645364,45.0,90.0,2752.0,3977.0,0.22907223192545992,0.5529
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0005/anat/sub-0005_T1w.nii.gz,,,,,sub-0005,,188,256,256,1.0,1.0,1.0,19.49465274810791,12320768,12158909,0.9868629130911319,0.0,6715.0,578.7376395365735,170.0,732.5184711447876,61.0,2.1124260980579477,1.693054319785275,46.0,94.0,2274.0,2798.0,0.37230320530554906,0.6041
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0009/anat/sub-0009_T1w.nii.gz,,,,,sub-0009,,188,256,256,1.0,1.0,1.0,19.246638298034668,12320768,12154415,0.9864981631015209,0.0,7765.0,622.518956198221,159.0,889.5654207069808,47.0,2.971750833421636,1.8879905282677485,48.0,91.0,2684.0,3475.0,0.31574209651897406,0.5552
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0010/anat/sub-0010_T1w.nii.gz,,,,,sub-0010,,188,256,256,1.0,1.0,1.0,19.117194175720215,12320768,12178234,0.9884314029774768,0.0,6853.0,567.8648791770629,147.0,827.5162140746049,43.0,4.068242871890224,2.0637428798451216,41.0,85.0,2491.0,3361.0,0.35460969352193633,0.5489
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0011/anat/sub-0011_T1w.nii.gz,,,,,sub-0011,,188,256,256,1.0,1.0,1.0,19.260510444641113,12320768,12185695,0.9890369658774518,0.0,7508.0,581.2874009237881,149.0,828.3897544217326,46.0,3.2944578652558603,1.941773935573133,42.0,85.0,2505.0,3306.0,0.3259381690160315,0.5575
ISYB,/run/media/falconnier/Elements/BIDS_datasets_selection/ISYB/sub-0013/anat/sub-0013_T1w.nii.gz,,,,,sub-0013,,188,256,256,1.0,1.0,1.0,19.261122703552246,12320768,12185833,0.9890481664779338,0.0,7621.0,582.756474916405,151.0,843.0175459400358,46.0,3.51199929918905,1.989925806595238,43.0,86.0,2591.0,3289.0,0.3210273480303409,0.5518
