dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22498/anat/sub-22498_T1w.nii.gz,,,,,sub-22498,,172,256,256,1.0,1.0,1.0,4.503395080566406,11272192,3868256,0.34316803688226744,0.0,1838.0,198.64301457814582,165.0,191.05544261242247,156.0,-0.3313436157255687,0.7015544758332238,1.0,1.0,552.0,632.0,1.183030117399463,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-21376/anat/sub-21376_T1w.nii.gz,,,,,sub-21376,,176,256,256,1.0,1.0,1.0,4.067431449890137,11534336,3687442,0.31969261169433594,0.0,1177.0,163.80509334112915,126.0,160.4363266421806,123.0,-0.6095434164195108,0.6434766389706903,1.0,1.0,455.0,516.0,1.7453278679862934,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-20950/anat/sub-20950_T1w.nii.gz,,,,,sub-20950,,172,256,256,1.0,1.0,1.0,4.44345760345459,11272192,3788060,0.3360535377679869,0.0,1884.0,213.01344936458239,189.0,198.9127529691577,168.0,-0.22385731460289104,0.6942833986337126,1.0,1.0,566.0,699.0,1.1725603774429858,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22485/anat/sub-22485_T1w.nii.gz,,,,,sub-22485,,176,256,256,1.0,1.0,1.0,5.03432559967041,11534336,4324864,0.37495561079545453,0.0,1752.0,215.07948550520894,199.0,199.15163459819456,177.0,-0.3266650039691803,0.6551137539898234,1.0,1.0,547.0,756.0,1.2523966173242425,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22434/anat/sub-22434_T1w.nii.gz,,,,,sub-22434,,172,256,256,1.0,1.0,1.0,5.315773010253906,11272192,4489192,0.3982536848201308,0.0,2235.0,226.5399637618529,203.0,214.978809363436,179.0,0.6190305797566742,0.8965180868248306,1.0,1.0,592.0,869.0,1.005001614713092,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22686/anat/sub-22686_T1w.nii.gz,,,,,sub-22686,,176,256,256,1.0,1.0,1.0,5.204926490783691,11534336,4404008,0.3818172108043324,0.0,1542.0,204.83486156246764,182.0,188.72813627401754,159.0,0.07918427630498659,0.7693613354248011,1.0,1.0,519.0,752.0,1.4282397226923573,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22705/anat/sub-22705_T1w.nii.gz,,,,,sub-22705,,172,256,256,1.0,1.0,1.0,4.567353248596191,11272192,3910086,0.3468789388967115,0.0,1819.0,183.81673497718464,159.0,173.38180876382648,144.0,-0.20225601808510563,0.7328635157237867,1.0,1.0,518.0,588.0,1.1861251290895585,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22818/anat/sub-22818_acq-ABCD_T1w.nii.gz,,,,,sub-22818,,208,256,256,1.0,1.0,1.0,4.9652814865112305,13631488,4169240,0.30585362361027646,0.0,2420.0,334.9728391745258,193.0,368.91075645234935,192.0,0.5860662045585632,1.0164335178515287,1.0,1.0,944.0,1484.0,0.9406005661027873,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-23069/anat/sub-23069_T1w.nii.gz,,,,,sub-23069,,172,256,256,1.0,1.0,1.0,4.533698081970215,11272192,4078912,0.3618561500726744,0.0,1637.0,165.62501103235374,113.0,170.86799262371494,110.0,-0.059120592471447075,0.8613116723737501,1.0,1.0,487.0,611.0,1.2803545265297773,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22881/anat/sub-22881_T1w.nii.gz,,,,,sub-22881,,176,256,256,1.0,1.0,1.0,5.695590019226074,11534336,4269212,0.37013071233575995,0.0,2890.0,317.2470322392048,250.0,316.0023559638409,233.0,2.334045982258707,1.2515583857955217,1.0,2.0,874.0,1334.0,0.8297122920732517,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22857/anat/sub-22857_T1w.nii.gz,,,,,sub-22857,,176,256,256,1.0,1.0,1.0,5.294673919677734,11534336,4142219,0.35912071574818005,0.0,2911.0,270.90457047297593,183.0,299.76146197718043,178.0,3.0414348790558865,1.4076331467498648,1.0,2.0,804.0,1246.0,0.7813420557868702,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-22862/anat/sub-22862_T1w.nii.gz,,,,,sub-22862,,172,256,256,1.0,1.0,1.0,5.516295433044434,11272192,4771660,0.4233125198719113,0.0,1652.0,171.61270857521282,147.0,157.58476731088075,131.0,-0.4913243623816821,0.6500420354288796,1.0,1.0,462.0,522.0,1.304952535977022,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-23072/anat/sub-23072_T1w.nii.gz,,,,,sub-23072,,172,256,256,1.0,1.0,1.0,4.685146331787109,11272192,4135974,0.3669183420580487,0.0,1702.0,171.04607064744604,126.0,171.42316175849493,121.0,0.33846058858209815,0.9203511647656503,1.0,1.0,474.0,673.0,1.2578675504984145,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-23159/anat/sub-23159_T1w.nii.gz,,,,,sub-23159,,176,256,256,1.0,1.0,1.0,5.51619815826416,11534336,4194810,0.36368023265491833,0.0,3604.0,307.44445445681686,244.0,324.5682939166346,232.0,4.1418549605258566,1.4871105247951326,1.0,2.0,859.0,1367.0,0.6518723408890389,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-23294/anat/sub-23294_T1w.nii.gz,,,,,sub-23294,,176,256,256,1.0,1.0,1.0,4.708370208740234,11534336,4079903,0.3537180640480735,0.0,1426.0,202.32017280803,192.0,181.06672179852464,169.0,-0.8592706916168922,0.4686504783614324,1.0,1.0,528.0,582.0,1.5055900205591652,
MAICY,/run/media/falconnier/Elements/BIDS_datasets_selection/MAICY/sub-23517/anat/sub-23517_T1w.nii.gz,,,,,sub-23517,,172,256,256,1.0,1.0,1.0,4.100823402404785,11272192,3513678,0.3117120432299237,0.0,1945.0,199.48288687808045,166.0,194.5117655169435,157.0,-0.11812383744277577,0.7720591418973051,1.0,1.0,566.0,655.0,1.1175387231964033,
