dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010004/ses-01/anat/sub-010004_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010004,ses-01,176,240,256,0.99999934,1.0,1.0,15.55923080444336,10813440,7966736,0.7367439038825757,0.0,4086.0,2348.256117059734,2258.0,846.5251537817416,530.0,-0.16189234311014378,-0.023807116337493533,142.0,1047.0,3822.0,3957.0,0.7290354218193239,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010001/ses-02/anat/sub-010001_ses-02_acq-mp2rage_T1w.nii.gz,,,,,sub-010001,ses-02,176,240,256,1.0000007,1.0,1.0,15.63402271270752,10813440,7996553,0.7395013057824337,0.0,4085.0,2294.6248376019016,2189.0,778.7430774322693,462.0,0.022629140781927237,0.18248011971085804,245.0,1180.0,3786.0,3938.0,0.7235201792660864,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010003/ses-01/anat/sub-010003_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010003,ses-01,176,240,256,0.9999992,1.0,1.0,17.19384479522705,10813440,8909632,0.8239405776515152,0.0,4086.0,2122.739391929992,2081.0,656.847562745747,369.0,1.0139900417442487,0.21606314133601137,261.0,1165.0,3403.0,3880.0,0.709889050385775,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010005/ses-01/anat/sub-010005_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010005,ses-01,176,240,256,1.0000007,1.0,1.0,17.14540195465088,10813440,8859656,0.8193189216382576,0.0,4092.0,2167.6204572728334,2109.0,686.0153844303716,399.0,0.5598954177885038,0.188990177216459,298.0,1162.0,3519.0,3865.0,0.7136411599681646,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010002/ses-01/anat/sub-010002_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010002,ses-01,176,240,256,1.000001,1.0,1.0,15.923412322998047,10813440,8159295,0.7545512806285511,0.0,4081.0,2220.4606151634425,2152.0,786.6299187204096,445.0,0.3193053109685997,0.05692969579030771,125.0,1018.0,3748.0,3911.0,0.7233228562286681,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010006/ses-01/anat/sub-010006_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010006,ses-01,176,240,256,0.9999997,1.0,1.0,16.11087131500244,10813440,8263968,0.7642311789772728,0.0,4087.0,2213.6251034611946,2144.0,723.5387706578554,413.0,0.45019598784125403,0.2180771539229255,252.0,1169.0,3673.0,3911.0,0.7173362712639038,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010007/ses-01/anat/sub-010007_ses-01_acq-mp2rage_T1w.nii.gz,,,,,sub-010007,ses-01,176,240,256,0.9999986,1.0,1.0,15.8212251663208,10813440,8100828,0.7491443980823863,0.0,4086.0,2237.8894511770895,2172.0,751.3975598609045,447.0,0.26771781814200235,0.09260164471029696,206.0,1103.0,3682.0,3927.0,0.7226383055492808,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010007/ses-02/anat/sub-010007_ses-02_acq-mp2rage_T1w.nii.gz,,,,,sub-010007,ses-02,176,240,256,0.9799998,1.0,1.0,17.712665557861328,10813440,9210109,0.8517279422644413,0.0,4087.0,2142.1964020186947,2093.0,703.2627560164461,384.0,0.8393366475223383,0.14040791055431628,171.0,1088.0,3588.0,3875.0,0.7142197543214083,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010009/ses-02/anat/sub-010009_ses-02_acq-mp2rage_T1w.nii.gz,,,,,sub-010009,ses-02,176,240,256,1.0000001,1.0,1.0,16.53632926940918,10813440,8517953,0.7877190792199337,0.0,4083.0,2144.011004756659,2099.0,704.9984208679114,391.0,0.747950968049317,0.04051425626171256,160.0,1052.0,3497.0,3874.0,0.7165714534199676,
MPILMBB,/run/media/falconnier/Elements/BIDS_datasets_selection/MPILMBB/sub-010008/ses-02/anat/sub-010008_ses-02_acq-mp2rage_T1w.nii.gz,,,,,sub-010008,ses-02,176,240,256,1.0000008,1.0,1.0,17.35508441925049,10813440,9001847,0.8324683911872632,0.0,4087.0,2140.8777981896383,2095.0,649.3272622700044,376.0,0.8304166047301931,0.24104689296236573,385.0,1194.0,3389.0,3860.0,0.7098978887476003,
