dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000148/anat/sub-000148_acq-standard_T1w.nii.gz,,,,,sub-000148,,192,256,256,1.0,1.0,1.0,8.424724578857422,12582912,6960516,0.5531721115112305,0.0,1101.0000455193222,124.7732334734936,9.004898518323898,165.20972646677654,7.996887490153313,0.42428544569758575,1.1596515357676884,1.0080110281705856,1.0080110281705856,447.99370128661394,596.9945314340293,1.619340784790087,0.4126
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000159/anat/sub-000159_acq-standard_T1w.nii.gz,,,,,sub-000159,,192,256,256,1.0,1.0,1.0,9.4876708984375,12582912,8113598,0.6448108355204264,0.0,1294.0000302158296,130.2791477962043,7.009537052363157,182.0743090469929,6.002533137798309,0.5260298638921634,1.2324031596442286,1.007003914564848,1.007003914564848,491.0032616369426,661.9964753650129,1.3369125267217785,0.4322
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000103/anat/sub-000103_acq-standard_T1w.nii.gz,,,,,sub-000103,,192,256,256,1.0,1.0,1.0,10.574841499328613,12582912,8556569,0.6800150076548258,0.0,1228.000060748309,136.87891546378063,10.99925285205245,173.51697046827218,10.006134621798992,0.4028080594270511,1.07482541577943,0.993118230253458,0.993118230253458,452.9930795542896,637.9941415786743,1.47157814024171,0.4772
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000179/anat/sub-000179_acq-standard_T1w.nii.gz,,,,,sub-000179,,192,256,256,1.0,1.0,1.0,10.390986442565918,12582912,8658563,0.6881207625071207,0.0,1113.9999692235142,122.62036534946414,8.992232909426093,167.58009158693076,7.989318463951349,0.9025324649180342,1.2919393416742737,1.0029144454747438,1.0029144454747438,446.99386878311634,638.9924901667982,1.5885414715938537,0.4569
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000149/anat/sub-000149_acq-standard_T1w.nii.gz,,,,,sub-000149,,192,256,256,1.0,1.0,1.0,9.800992965698242,12582912,8431459,0.6700721581776937,0.0,1159.0000149887055,122.57775670815452,5.995285039767623,174.60715017015224,4.987228263169527,1.0117430193679393,1.3402988446200566,1.008056776598096,1.008056776598096,466.00519409403205,661.0022821426392,1.4861409281351274,0.4361
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-009673/anat/sub-009673_acq-standard_T1w.nii.gz,,,,,sub-009673,,192,256,256,1.0,1.0,1.0,9.527777671813965,12582912,8191642,0.6510132153828939,0.0,1144.9999844748527,121.28634532604622,5.992751883342862,170.70064753912004,4.996871832758188,0.7093799895219428,1.2691767497582713,0.9958800505846739,0.9958800505846739,463.99274567328393,623.0015937499702,1.4906873400024028,0.4324
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-010769/anat/sub-010769_acq-standard_T1w.nii.gz,,,,,sub-010769,,192,256,256,1.0,1.0,1.0,11.14919376373291,12582912,9315733,0.7403479417165121,0.0,1160.9999844711274,132.32158803658075,9.991668440401554,175.57739141472408,8.999587886035442,1.0769694787090591,1.2757158801096042,0.9920805543661118,0.9920805543661118,463.00045157782733,677.9984802883118,1.5545155372305266,0.4862
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-003617/anat/sub-003617_acq-standard_T1w.nii.gz,,,,,sub-003617,,192,256,256,1.0,1.0,1.0,9.550498008728027,12582912,8434058,0.6702787081400553,0.0,832.9999845474958,95.56480194332357,7.995071187615395,127.11348006150335,6.990920752286911,1.1474181114198636,1.3120739727151993,1.0041504353284836,1.0041504353284836,332.0051819086075,506.0028440505266,2.0381628363043816,0.4595
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000183/anat/sub-000183_acq-standard_T1w.nii.gz,,,,,sub-000183,,192,256,256,1.0,1.0,1.0,11.061634063720703,12582912,8613767,0.6845606962839762,0.0,1456.9999844022095,164.0681478685773,42.99745128303766,194.2812908973482,41.99699352309108,0.6332438328441579,1.0825026761416272,1.0004577599465847,1.0004577599465847,525.9962253905833,745.0075452402234,1.3303782242093074,0.5024
MR-ART,/run/media/falconnier/Elements1/BIDS_datasets_selection/MR-ART/sub-000175/anat/sub-000175_acq-standard_T1w.nii.gz,,,,,sub-000175,,192,256,256,1.0,1.0,1.0,11.769237518310547,12582912,9397828,0.7468722661336263,0.0,1413.000045446679,155.90580069106394,18.995239796116948,200.8826754229408,18.003433858975768,1.34726268849185,1.3032800039269103,0.99180593714118,0.99180593714118,526.0021226629615,802.0044661704451,1.3373178123581233,0.4993
