dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON01016/ses-01/anat/sub-ON01016_ses-01_acq-FSPGR_rec-SCIC_T1w.nii.gz,,,,,sub-ON01016,ses-01,196,256,256,1.2000046,1.0547,1.0547,6.184709548950195,12845056,5007663,0.38985139496472415,0.0,2539.0,274.844235324941,66.0,342.8018122224535,65.0,1.7572890983309426,1.3218904856703522,1.0,1.0,869.0,1425.0,0.843361632443507,0.3536
sourcedata,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sourcedata/sub-ON84478/ses-01/anat/sub-ON84478_ses-01_acq-HighResHippo_T1w.nii.gz,,,,,sub-ON84478,ses-01,512,512,30,0.3418,0.3418,2.0,11.546406745910645,7864320,7322850,0.9311485290527344,0.0,5213.0,542.8122575226859,588.0,419.5375584548803,354.0,-0.4007929323881272,0.37666354188226536,3.0,10.0,1181.0,1677.0,0.4961859587220918,0.7485
sourcedata,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sourcedata/sub-ON48555/ses-01/anat/sub-ON48555_ses-01_acq-HighResHippo_T1w.nii.gz,,,,,sub-ON48555,ses-01,512,512,30,0.3418,0.3418,2.0,11.305047035217285,7864320,7120033,0.9053590138753255,0.0,4557.0,555.8380642336911,609.0,414.4633318536655,300.0,-0.30263863439662586,0.3852260295438876,2.0,10.0,1272.0,1659.0,0.5688634895119681,0.7474
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON02693/ses-01/anat/sub-ON02693_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON02693,ses-01,208,256,256,1.0,1.0,1.0,12.995390892028809,13631488,11501689,0.8437588765070989,0.0,5069.0,251.363230652472,71.0,383.7524770766907,19.0,7.026245842557559,2.4534439125736833,17.0,44.0,1110.0,1652.0,0.4182233749511869,0.4874
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON00400/ses-01/anat/sub-ON00400_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON00400,ses-01,208,256,256,1.0,1.0,1.0,11.028783798217773,13631488,9758351,0.7158683630136343,0.0,4212.0,270.5145447217465,68.0,426.2804521098699,19.0,8.247864859632163,2.6074927999356157,24.0,43.0,1133.0,1999.0,0.5052628388061413,0.4334
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON05258/ses-01/anat/sub-ON05258_ses-01_acq-FSPGR_rec-SCIC_T1w.nii.gz,,,,,sub-ON05258,ses-01,196,256,256,1.2000046,1.0547,1.0547,6.836427688598633,12845056,5617634,0.43733822569555164,0.0,2858.0,218.93406832841015,54.0,304.6612848236431,53.0,5.511085011711021,2.037745877475156,1.0,1.0,774.0,1408.0,0.7399311918492557,0.3526
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON01802/ses-01/anat/sub-ON01802_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON01802,ses-01,208,256,256,1.0,1.0,1.0,13.023983001708984,13631488,11480614,0.8422128237210788,0.0,4789.0,246.91128192272643,71.0,364.4961314646971,21.0,5.44150575512143,2.2447150282113015,17.0,42.0,1066.0,1521.0,0.4454463160358559,0.4984
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON04111/ses-01/anat/sub-ON04111_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON04111,ses-01,208,256,256,1.0,1.0,1.0,12.049007415771484,13631488,9259088,0.6792426476111779,0.0,4749.0,266.99313398900625,71.0,425.5472326902938,20.0,10.967710672276239,2.8681826711599925,25.0,45.0,1124.0,1991.0,0.4503826433223697,0.4182
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON02811/ses-01/anat/sub-ON02811_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON02811,ses-01,208,256,256,1.0,1.0,1.0,12.104414939880371,13631488,11389418,0.835522725031926,0.0,3810.0,186.5767611654959,60.0,309.18216382483524,13.0,11.047234609031282,2.98091237997862,15.0,40.0,920.0,1367.0,0.5189841241405343,0.4584
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON03748/ses-01/anat/sub-ON03748_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON03748,ses-01,208,256,256,1.0,1.0,1.0,12.7736234664917,13631488,11111824,0.8151585505558894,0.0,5195.0,265.33990828148467,72.0,396.1664608638612,21.0,5.638561674031232,2.285573187807519,16.0,44.0,1156.0,1700.0,0.41536643543500334,0.4852
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON02747/ses-01/anat/sub-ON02747_ses-01_acq-MPRAGE_T1w.nii.gz,,,,,sub-ON02747,ses-01,208,256,256,1.0,1.0,1.0,12.790812492370605,13631488,11403903,0.8365853382990911,0.0,3933.0,242.5277968428879,67.0,405.3998605933729,17.0,9.850251959268553,2.895811114620216,17.0,43.0,1104.0,1997.0,0.5315723609330802,0.4541
NIMH,/run/media/falconnier/Elements1/BIDS_datasets_selection/NIMH/sub-ON05311/ses-01/anat/sub-ON05311_ses-01_acq-FSPGR_rec-SCIC_T1w.nii.gz,,,,,sub-ON05311,ses-01,196,256,256,1.2000046,1.0547,1.0547,6.850644111633301,12845056,5755176,0.44804600306919645,0.0,2391.0,233.30758920317987,41.0,312.1132073636297,40.0,3.054837514746618,1.635593723353301,1.0,1.0,772.0,1386.0,0.8673538066160298,0.3657
