dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-07/anat/sub-07_T1w.nii.gz,,,,,sub-07,,320,320,256,0.7,0.7,0.7,27.611342430114746,26214400,22278878,0.8498717498779297,0.0,1141.0,99.11476071640591,18.0,134.77676864296342,16.0,3.4003111352372875,1.7267909640813424,1.0,2.0,335.0,596.0,1.6151847961257313,0.5228
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-04/anat/sub-04_T1w.nii.gz,,,,,sub-04,,320,320,256,0.7,0.7,0.7,30.627540588378906,26214400,22351907,0.852657585144043,0.0,1570.0,164.49771623512927,93.0,183.7192960752591,91.0,2.058184659105687,1.2811090106387213,1.0,2.0,482.0,784.0,1.3062606694451464,0.594
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-05/anat/sub-05_T1w.nii.gz,,,,,sub-05,,320,320,256,0.7,0.7,0.7,28.772507667541504,26214400,22366162,0.8532013702392578,0.0,1304.0,120.48920641815972,21.0,161.6164661248415,19.0,1.7476935216302598,1.4617146698920551,1.0,2.0,417.0,669.0,1.464683706009719,0.5279
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-01/anat/sub-01_T1w.nii.gz,,,,,sub-01,,320,320,256,0.7,0.7,0.7,28.366111755371094,26214400,22204204,0.8470231628417969,0.0,1346.0,115.31983159585455,24.0,140.92317210190316,23.0,1.3090144116301046,1.2584386091391957,1.0,2.0,356.0,581.0,1.4013412118241162,0.5587
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-02/anat/sub-02_T1w.nii.gz,,,,,sub-02,,320,320,256,0.7,0.7,0.7,32.29662036895752,26214400,22393121,0.8542297744750976,0.0,2494.0,220.67387542808348,188.0,235.32704348904565,178.0,1.49787936311811,1.1948667121855558,1.0,2.0,700.0,958.0,0.8728193875410339,0.6111
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-03/anat/sub-03_T1w.nii.gz,,,,,sub-03,,320,320,256,0.7,0.7,0.7,29.8241548538208,26214400,22305854,0.8509008026123047,0.0,1449.0,156.0710919653648,52.0,175.0239108066629,51.0,0.7328257279358765,1.011668711664918,1.0,2.0,444.0,685.0,1.379213664109816,0.59
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-10/anat/sub-10_T1w.nii.gz,,,,,sub-10,,320,320,256,0.7,0.7,0.7,30.093868255615234,26214400,22387016,0.8539968872070313,0.0,1330.0,143.1794128346538,93.0,150.5595922610686,90.0,0.5657577983635722,0.9486639292868425,1.0,2.0,396.0,603.0,1.509411052287383,0.6148
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-06/anat/sub-06_T1w.nii.gz,,,,,sub-06,,320,320,256,0.7,0.7,0.7,31.340055465698242,26214400,22398753,0.8544446182250977,0.0,1552.0,192.3699985441154,132.0,208.71185679363046,128.0,1.0026080808059845,1.1256326068435707,1.0,2.0,615.0,845.0,1.3626260387501599,0.6048
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-08/anat/sub-08_T1w.nii.gz,,,,,sub-08,,320,320,256,0.7,0.7,0.7,29.496814727783203,26214400,22191214,0.8465276336669922,0.0,1716.0,156.15540826202658,33.0,197.46139903103565,32.0,2.092352764838691,1.4640529887430265,1.0,2.0,577.0,800.0,1.1643698454332694,0.5468
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-09/anat/sub-09_T1w.nii.gz,,,,,sub-09,,320,320,256,0.7,0.7,0.7,29.256699562072754,26214400,22249939,0.8487678146362305,0.0,1802.0,139.4304607756453,29.0,175.22499669922357,27.0,2.4651290762753115,1.464939997371736,1.0,2.0,455.0,730.0,1.0842146391081122,0.5498
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-11/anat/sub-11_T1w.nii.gz,,,,,sub-11,,320,320,256,0.7,0.7,0.7,30.20503330230713,26214400,22268363,0.8494706344604492,0.0,1503.0,161.8429723370326,71.0,182.8570110651092,69.0,1.3974822129990523,1.177793948046002,1.0,2.0,477.0,762.0,1.353319225001448,0.5878
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-12/anat/sub-12_T1w.nii.gz,,,,,sub-12,,320,320,256,0.7,0.7,0.7,29.539284706115723,26214400,22331026,0.8518610382080078,0.0,1342.0,146.60113718017254,30.0,187.04815624571503,28.0,1.8009928183857644,1.4406408648567992,1.0,2.0,534.0,765.0,1.4778914034245676,0.5457
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-13/anat/sub-13_T1w.nii.gz,,,,,sub-13,,320,320,256,0.7,0.7,0.7,28.40971851348877,26214400,22315855,0.8512823104858398,0.0,1024.0,106.94524516313625,41.0,123.47034142209016,39.0,1.296137932765097,1.2157600098354953,1.0,2.0,324.0,509.0,1.8702432068886121,0.5817
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-14/anat/sub-14_T1w.nii.gz,,,,,sub-14,,320,320,256,0.7,0.7,0.7,28.80875015258789,26214400,22344244,0.8523652648925781,0.0,1870.0,125.01396050812907,32.0,145.16684901102232,31.0,1.0661162720847406,1.1265704935961882,1.0,2.0,371.0,587.0,1.018256066582972,0.5786
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-16/anat/sub-16_T1w.nii.gz,,,,,sub-16,,320,320,256,0.7,0.7,0.7,28.427358627319336,26214400,22263147,0.8492716598510742,0.0,1403.0,122.6298457266621,19.0,163.38523206783282,17.0,2.756277616811265,1.603586145912128,1.0,2.0,432.0,696.0,1.3511174750412565,0.529
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-20/anat/sub-20_T1w.nii.gz,,,,,sub-20,,320,320,256,0.7,0.7,0.7,29.164548873901367,26214400,22306898,0.8509406280517579,0.0,1144.0,128.56502262215034,34.0,147.91406760470855,32.0,0.22447779247380373,0.9753560764195135,1.0,2.0,382.0,551.0,1.6997102673368616,0.5811
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-18/anat/sub-18_T1w.nii.gz,,,,,sub-18,,320,320,256,0.7,0.7,0.7,27.401058197021484,26214400,22163695,0.8454778671264649,0.0,1092.0,102.02135059158682,25.0,131.19074833510302,24.0,2.3959922239574585,1.5717155883919074,1.0,1.0,396.0,540.0,1.6959936545460075,0.5415
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-15/anat/sub-15_T1w.nii.gz,,,,,sub-15,,320,320,256,0.7,0.7,0.7,28.40749740600586,26214400,22312835,0.851167106628418,0.0,1383.0,119.76589761005269,21.0,155.16558423098203,19.0,2.026523296653597,1.4617586687177315,1.0,2.0,421.0,639.0,1.3700752266465202,0.5396
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-19/anat/sub-19_T1w.nii.gz,,,,,sub-19,,320,320,256,0.7,0.7,0.7,29.143258094787598,26214400,22276850,0.8497943878173828,0.0,1469.0,137.5176903377273,31.0,172.6982572502928,29.0,2.3249975412272432,1.4839145585024884,1.0,2.0,465.0,728.0,1.3366241421852962,0.5509
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-17/anat/sub-17_T1w.nii.gz,,,,,sub-17,,320,320,256,0.7,0.7,0.7,29.43145179748535,26214400,22322347,0.8515299606323242,0.0,2091.0,135.7211620713539,47.0,160.35927955104574,45.0,1.9672583457238737,1.334522347131553,1.0,2.0,428.0,669.0,0.9399345181759436,0.5732
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-21/anat/sub-21_T1w.nii.gz,,,,,sub-21,,320,320,256,0.7,0.7,0.7,28.377535820007324,26214400,22194829,0.8466655349731446,0.0,2763.0,119.68214244858567,38.0,143.662556811996,37.0,4.775214644208622,1.5303123976471849,1.0,1.0,410.0,568.0,0.6963155975632292,0.5659
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-23/anat/sub-23_T1w.nii.gz,,,,,sub-23,,320,320,256,0.7,0.7,0.7,29.79305362701416,26214400,22390807,0.8541415023803711,0.0,1311.0,146.71656474909545,69.0,162.00669315050288,67.0,1.2555042072084044,1.10725755886664,1.0,2.0,414.0,663.0,1.5216430666763296,0.5978
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-22/anat/sub-22_T1w.nii.gz,,,,,sub-22,,320,320,256,0.7,0.7,0.7,30.382134437561035,26214400,22319705,0.8514291763305664,0.0,2023.0,160.12303482505706,83.0,176.8846845921269,81.0,1.2233760023279805,1.120770373063602,1.0,2.0,461.0,731.0,1.0090080396166647,0.5966
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-25/anat/sub-25_T1w.nii.gz,,,,,sub-25,,320,320,256,0.7,0.7,0.7,29.887267112731934,26214400,22371407,0.8534014511108399,0.0,1581.0,147.85878787150043,40.0,176.6795672771513,38.0,1.605766696943868,1.280010406601831,1.0,2.0,452.0,732.0,1.2601188610582854,0.5695
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-24/anat/sub-24_T1w.nii.gz,,,,,sub-24,,320,320,256,0.7,0.7,0.7,29.097925186157227,26214400,22247874,0.8486890411376953,0.0,1325.0,142.8241056651076,29.0,184.08069797237806,27.0,2.5160728990205605,1.5677939991278216,1.0,2.0,522.0,784.0,1.4849671982626254,0.5413
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-29/anat/sub-29_T1w.nii.gz,,,,,sub-29,,320,320,256,0.7,0.7,0.7,29.13996696472168,26214400,22266670,0.8494060516357422,0.0,1167.0,134.05645541071027,38.0,162.23599644840445,37.0,1.7212013544924858,1.3597746879552086,1.0,2.0,455.0,677.0,1.6708015721666294,0.5639
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-30/anat/sub-30_T1w.nii.gz,,,,,sub-30,,320,320,256,0.7,0.7,0.7,30.887885093688965,26214400,22353377,0.8527136611938476,0.0,1366.0,175.39884823666688,99.0,194.865269371743,96.0,1.3011915622225656,1.17947318612248,1.0,2.0,531.0,813.0,1.5254003047502767,0.5956
NPC,/run/media/falconnier/Elements1/BIDS_datasets_selection/NPC/sub-28/anat/sub-28_T1w.nii.gz,,,,,sub-28,,320,320,256,0.7,0.7,0.7,30.375826835632324,26214400,22348652,0.8525334167480468,0.0,1561.0,161.66446356585624,59.0,179.43962067146495,57.0,0.6502790263640956,0.9900228831722,1.0,2.0,459.0,696.0,1.2969426967946636,0.5946
