dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-010/anat/sub-010_T1w.nii.gz,,,,,sub-010,,192,256,256,0.90000004,0.859375,0.859375,12.943641662597656,12582912,10435079,0.8293055693308512,0.0,2924.000060353428,138.6512391553432,22.97795118764043,168.23765852612283,20.97016904503107,0.9743549269230916,1.0913622402397007,0.9815823808312416,2.9893645234405994,453.98185113444924,571.0132413581014,0.6715091225680475,0.5527
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-007/anat/sub-007_T1w.nii.gz,,,,,sub-007,,192,256,256,0.90000254,0.859375,0.859375,15.535432815551758,12582912,11387745,0.9050166606903076,0.0,1788.0000606179237,172.65870502264167,122.99235939979553,178.11357894792405,115.98059445619583,-0.0820883151233005,0.8319636957548944,1.0094758868217468,3.001144528388977,502.99182295799255,651.0028144717216,1.184509603951764,0.6414
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-003/anat/sub-003_T1w.nii.gz,,,,,sub-003,,192,256,256,0.90000004,0.859375,0.859375,13.396903991699219,12582912,10492693,0.8338843186696371,0.0,1424.99998440966,129.98099216028632,30.006866231560707,152.48027486367786,27.984664376825094,0.4216328663799631,1.0665123157252827,1.000228874385357,3.0006866231560707,417.00846419483423,559.9977050200105,1.386468808198133,0.5676
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-008/anat/sub-008_T1w.nii.gz,,,,,sub-008,,192,256,256,0.8999987,0.859375,0.859375,14.598573684692383,12582912,11198079,0.8899433612823486,0.0,1757.0000453665853,150.18613758014317,74.98785575479269,158.57642569299176,71.98512431234121,0.008957665034644346,0.8129667145168936,0.9919737800955772,3.002731442451477,427.0044971778989,541.9930253624916,1.1603362338316274,0.6263
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-005/anat/sub-005_T1w.nii.gz,,,,,sub-005,,192,256,256,0.90000004,0.859375,0.859375,13.964010238647461,12582912,10735547,0.8531846205393473,0.0,1972.000060575083,141.0188675305993,56.99196024611592,151.7528232384348,53.98288103565574,0.2579336653408233,0.86990904916061,0.9929961394518614,3.009079210460186,413.9891177751124,506.99975617043674,1.0272262908701737,0.6053
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-009/anat/sub-009_T1w.nii.gz,,,,,sub-009,,192,256,256,0.90000004,0.859375,0.859375,14.453929901123047,12582912,10959248,0.8709627787272135,0.0,1628.0000606551766,152.69676110255065,83.98974906653166,159.05607144020266,79.99023720622063,0.149291717775633,0.8109121919220341,0.9936675429344177,3.0058443173766136,431.0032967478037,538.9901169762015,1.261080623062229,0.6238
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-001/anat/sub-001_T1w.nii.gz,,,,,sub-001,,256,256,192,0.859375,0.859375,0.90000004,13.047460556030273,12582912,10072033,0.800453265508016,0.0,1462.000030176714,116.91467644133374,30.00518868677318,136.42017909184108,27.01582416333258,0.39681635640863844,1.0728248632570494,1.003891071304679,2.9893645234405994,374.0051957871765,503.9979351758957,1.340608860883484,0.5571
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-006/anat/sub-006_T1w.nii.gz,,,,,sub-006,,192,256,256,0.8999989,0.859375,0.859375,14.16133975982666,12582912,10872960,0.864105224609375,0.0,1399.999999674037,142.99028333890982,44.98970014974475,163.74162992679067,42.020294489338994,0.24633842270771256,1.026840219882388,1.0040436405688524,2.990768291056156,450.0038146506995,615.0087737943977,1.444723814542762,0.5878
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-004/anat/sub-004_T1w.nii.gz,,,,,sub-004,,192,256,256,0.90000004,0.859375,0.859375,13.54616928100586,12582912,10736636,0.8532711664835612,0.0,1910.000030072406,140.9886708159803,57.998017240315676,154.0972506311231,54.99610981531441,0.6118329781570413,0.965093040251723,0.9909208975732327,3.0019074250012636,414.9918429572135,562.988793483004,1.0586112722030137,0.6001
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-002/anat/sub-002_T1w.nii.gz,,,,,sub-002,,192,256,256,0.90000004,0.859375,0.859375,14.229145050048828,12582912,11267398,0.8954523404439291,0.0,1842.9999537952244,159.9872879170976,123.00727546960115,158.93713012063736,116.00480368360877,-0.016572243701825418,0.7511416603259484,1.0124055594205856,3.009094301611185,438.00601633265615,560.0008862428367,1.1349800455396302,0.6506
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-012/anat/sub-012_T1w.nii.gz,,,,,sub-012,,192,256,256,0.90000004,0.859375,0.859375,12.064240455627441,12582912,9526111,0.7570672829945883,0.0,1573.000045409426,115.74967943372886,22.99433956667781,144.02957774662164,19.994034299626946,1.12789401665135,1.261046230775219,1.0081025697290897,3.0003052670508623,392.00788497179747,543.0072484519333,1.2341879801330298,0.5183
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-011/anat/sub-011_T1w.nii.gz,,,,,sub-011,,192,256,256,0.90000004,0.859375,0.859375,13.249417304992676,12582912,10248012,0.8144388198852539,0.0,1634.9999538436532,125.74343653190967,35.002745635807514,146.68313909385293,32.00892562419176,0.8178223431513314,1.1364506742146379,0.9979400038719177,2.993820011615753,400.99724205583334,546.9958646222949,1.218315959056201,0.5629
Narratives,/run/media/falconnier/Elements1/BIDS_datasets_selection/Narratives/sub-016/anat/sub-016_run-2_T1w.nii.gz,,,,,sub-016,,192,239,232,0.90000004,0.859375,0.859375,12.10964298248291,10646016,9025321,0.847765117016544,0.0,1727.0000148564577,160.82205045838677,74.99873414635658,175.14579747379156,71.99456840753555,0.38638352411909427,0.9777340277712774,1.0013885796070099,3.0041657388210297,479.0063213557005,654.0121518075466,1.2082188954359971,0.5994
