dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0001/ses-03/anat/sub-0001_ses-03_run-1_T1w.nii.gz,,,,,sub-0001,ses-03,208,256,256,1.0,1.0,1.0,11.485296249389648,13631488,13469899,0.9881459016066331,0.0,677.0,52.468195270061045,12.0,68.27568889749357,6.0,2.4911285784199118,1.5977044072034865,4.0,5.0,191.0,250.0,2.3358165063771126,0.5901
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0002/ses-01/anat/sub-0002_ses-01_run-1_T1w.nii.gz,,,,,sub-0002,ses-01,192,256,256,1.0,1.0,1.0,28.008663177490234,12582912,12454809,0.9898192882537842,0.0,163.8000030517578,14.929069468152274,4.002796173095703,20.096574736405945,2.793516516685486,3.2964067858219437,1.8095250903235016,0.6069353222846985,0.9919413924217224,54.79497146606445,86.79048156738281,7.469461736348129,0.5779
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0010/ses-02/anat/sub-0010_ses-02_run-1_T1w.nii.gz,,,,,sub-0010,ses-02,256,256,176,1.0,1.0,1.0,12.111908912658691,11534336,11403732,0.9886769381436434,0.0,1038.0,101.05572710758197,40.0,120.98060556151694,13.0,4.7973750828271875,2.089803865894695,17.0,21.0,367.0,539.0,1.8258601029269093,0.6307
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0007/ses-01/anat/sub-0007_ses-01_run-1_T1w.nii.gz,,,,,sub-0007,ses-01,176,256,256,1.0,1.0,1.0,9.449037551879883,11534336,11307172,0.9803054115988992,0.0,430.0,40.41465726354919,9.0,55.01683987990024,6.0,0.5977154236748525,1.358606444375314,1.0,2.0,158.0,185.0,3.481036280576881,0.5663
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0009/ses-01/anat/sub-0009_ses-01_run-1_T1w.nii.gz,,,,,sub-0009,ses-01,176,256,256,1.0,1.0,1.0,9.041980743408203,11534336,11362236,0.9850793318314985,0.0,678.0,56.95151192071702,14.0,82.1486767965809,8.0,3.270814105371664,1.8944731316698187,4.0,5.0,241.0,324.0,2.433669217320009,0.5497
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0006/ses-01/anat/sub-0006_ses-01_run-1_T1w.nii.gz,,,,,sub-0006,ses-01,192,256,256,1.0,1.0,1.0,10.035658836364746,12582912,12422126,0.987221876780192,0.0,470.0,44.01085176563174,10.0,57.350833401052334,4.0,1.1093288433167574,1.4613627749288072,4.0,5.0,169.0,206.0,3.1625046071402743,0.5894
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0003/ses-01/anat/sub-0003_ses-01_run-1_T1w.nii.gz,,,,,sub-0003,ses-01,192,256,256,1.0,1.0,1.0,10.294830322265625,12582912,12449976,0.9894351959228516,0.0,817.0,66.1563342772709,20.0,94.4896733877458,11.0,3.8196426178961644,2.009671110081772,4.0,6.0,282.0,374.0,2.1497406499529177,0.557
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0005/ses-02/anat/sub-0005_ses-02_run-1_T1w.nii.gz,,,,,sub-0005,ses-02,256,256,176,1.0,1.0,1.0,27.932655334472656,11534336,11218011,0.9725753610784357,-34.60974884033203,672.4583129882812,54.41173512095366,12.661344528198242,82.83574031477053,5.581895351409912,2.868765175277942,1.9279688672529294,4.272613525390625,5.511857986450195,256.6230163574219,320.57647705078125,2.3749385556925517,
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0004/ses-01/anat/sub-0004_ses-01_run-1_T1w.nii.gz,,,,,sub-0004,ses-01,192,256,256,1.0,1.0,1.0,10.664960861206055,12582912,12313991,0.9786280790964762,0.0,751.0,75.09180240589748,23.0,106.1950080478732,14.0,3.927250517846301,2.014139065019228,5.0,6.0,298.0,477.0,2.4055812854719685,0.5572
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0008/ses-01/anat/sub-0008_ses-01_run-1_T1w.nii.gz,,,,,sub-0008,ses-01,192,256,256,1.0,1.0,1.0,28.048757553100586,12582912,12456930,0.989987850189209,0.0,114.91966247558594,11.239572397363826,4.1866841316223145,14.232777200206959,2.517320394515991,1.9372565775690367,1.6438610134163332,0.833229660987854,1.1634451150894165,43.231685638427734,54.097740173339844,9.901371401205619,0.6042
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0011/ses-01/anat/sub-0011_ses-01_run-1_T1w.nii.gz,,,,,sub-0011,ses-01,192,224,256,1.0,1.0,1.0,10.063770294189453,11010048,10783329,0.9794079916817802,0.0,933.0,94.93800198435937,14.0,117.70016566914272,13.0,0.026167000621729386,1.028024992217192,1.0,1.0,320.0,395.0,1.8763293916758639,0.5971
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0012/ses-01/anat/sub-0012_ses-01_run-1_T1w.nii.gz,,,,,sub-0012,ses-01,176,240,256,1.0,1.0,1.0,9.146819114685059,10813440,10701206,0.989620879202178,0.0,573.0,53.481725237323715,12.0,65.64105289679155,6.0,0.882423966888791,1.3267519849853828,4.0,6.0,188.0,234.0,2.798167412966872,0.6128
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0014/ses-01/anat/sub-0014_ses-01_run-1_T1w.nii.gz,,,,,sub-0014,ses-01,176,240,256,1.0,1.0,1.0,8.751016616821289,10813440,10700166,0.9895247025923295,0.0,930.0,80.24232904424099,19.0,102.74672859310428,14.0,1.4236161164278691,1.4203814565669592,3.0,4.0,291.0,369.0,1.965004654493941,0.5946
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0015/ses-01/anat/sub-0015_ses-01_run-1_T1w.nii.gz,,,,,sub-0015,ses-01,192,240,256,1.0,1.0,1.0,10.007279396057129,11796480,11669856,0.9892659505208333,0.0,584.0,52.24664143242213,12.0,64.35323325745057,6.0,0.977225269794717,1.349122482212262,4.0,6.0,185.0,234.0,2.723231394203829,0.6115
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0016/ses-01/anat/sub-0016_ses-01_run-1_T1w.nii.gz,,,,,sub-0016,ses-01,176,240,256,1.0,1.0,1.0,27.56101131439209,10813440,10635247,0.9835211551550663,0.0,189.72210693359375,18.706790026936268,5.0455427169799805,25.21621581834059,3.915829300880432,2.0945639151898208,1.6276152946824327,0.2168455272912979,0.6632027626037598,72.80943298339844,100.7991920471191,7.032375817812265,0.5732
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0013/ses-01/anat/sub-0013_ses-01_run-1_T1w.nii.gz,,,,,sub-0013,ses-01,192,256,256,0.9000001,0.9375,0.9375,12.486865997314453,12582912,12347481,0.9812896251678467,0.0,1170.0,112.0957425243254,15.0,154.79517454339887,13.0,2.185043869665872,1.5848571657898838,1.0,2.0,437.0,634.0,1.5912690474336355,0.5587
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0020/ses-04/anat/sub-0020_ses-04_run-1_T1w.nii.gz,,,,,sub-0020,ses-04,160,240,256,1.0999999,1.0,1.0,10.299771308898926,9830400,9650473,0.9816968790690104,0.0,1213.0,119.1288940966935,25.0,146.58458311627018,23.0,1.2575718528514344,1.2657236617785441,1.0,2.0,391.0,572.0,1.5953867303566918,0.6039
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0019/ses-01/anat/sub-0019_ses-01_run-1_T1w.nii.gz,,,,,sub-0019,ses-01,176,256,256,1.0,1.0,1.0,11.620786666870117,11534336,11403338,0.9886427792635831,0.0,1225.0,102.62787527651992,17.0,152.5452779863759,10.0,2.5651029194225217,1.7302397277276107,2.0,4.0,442.0,573.0,1.496558060208457,0.5339
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0018/ses-01/anat/sub-0018_ses-01_run-1_T1w.nii.gz,,,,,sub-0018,ses-01,192,240,256,1.0,1.0,1.0,9.8781099319458,11796480,11665742,0.9889172024197048,0.0,544.0,49.892993776135285,12.0,62.07468843846783,6.0,1.1377414758776174,1.396494881049945,4.0,6.0,180.0,223.0,2.901935255556439,0.6079
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0021/ses-02/anat/sub-0021_ses-02_run-1_T1w.nii.gz,,,,,sub-0021,ses-02,176,224,256,1.0,1.0,1.0,25.1090030670166,10092544,9898250,0.9807487586876015,0.0,266.16265869140625,19.551721935523936,3.3295390605926514,28.94537350169082,2.3147393465042114,2.726992712725888,1.7526752979578155,0.2525170147418976,0.5179836750030518,80.58057403564453,118.54702758789062,4.743505023100691,0.5329
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0022/ses-03/anat/sub-0022_ses-03_run-1_T1w.nii.gz,,,,,sub-0022,ses-03,192,252,192,1.0,1.0,1.0,7.937276840209961,9289728,9043899,0.9735375459862765,0.0,740.0,75.74304368060723,14.0,92.7703995065933,8.0,0.6672695572117635,1.2220886862830658,5.0,5.0,256.0,336.0,2.311498629916491,0.6065
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0025/ses-02/anat/sub-0025_ses-02_run-1_T1w.nii.gz,,,,,sub-0025,ses-02,208,256,176,1.0,1.0,1.0,7.60206413269043,9371648,9256865,0.987752100804469,0.0,1045.0,41.70525993411376,11.0,51.34218423095995,4.0,2.203566480409064,1.4894869597495144,4.0,6.0,147.0,183.0,1.4460356064105975,0.6129
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0023/ses-02/anat/sub-0023_ses-02_run-1_T1w.nii.gz,,,,,sub-0023,ses-02,208,240,256,1.0,1.0,1.0,10.034854888916016,12779520,12602044,0.9861124674479167,0.0,585.0,43.19995272195526,10.0,62.1626411674361,4.0,2.2059476856223865,1.7389564816157288,4.0,5.0,185.0,234.0,2.499790080288474,0.5505
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0026/ses-01/anat/sub-0026_ses-01_run-1_T1w.nii.gz,,,,,sub-0026,ses-01,192,240,256,1.0,1.0,1.0,9.139408111572266,11796480,11639259,0.9866722106933594,0.0,548.0,40.50985118554368,10.0,57.251042211620785,4.0,2.179405876310655,1.7306696284645406,4.0,5.0,170.0,215.0,2.641381719674699,0.5584
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0024/ses-01/anat/sub-0024_ses-01_run-1_T1w.nii.gz,,,,,sub-0024,ses-01,192,256,256,1.0,1.0,1.0,27.411559104919434,12582912,12457061,0.9899982611338297,0.0,159.07350158691406,14.009213384684893,3.864063024520874,19.891118533085837,2.238500952720642,3.8471027431188256,1.9942688829236448,0.8181459307670593,1.217929720878601,56.14632034301758,87.26020812988281,7.458505439047297,0.5585
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0029/ses-01/anat/sub-0029_ses-01_run-1_T1w.nii.gz,,,,,sub-0029,ses-01,176,240,256,1.0,1.0,1.0,8.264230728149414,10813440,10693194,0.9888799493963069,0.0,698.0,59.20866758800037,15.0,86.34181353661211,8.0,4.629767329949712,2.107459350145517,5.0,6.0,248.0,383.0,2.4041649156293996,0.5477
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0032/ses-01/anat/sub-0032_ses-01_run-1_T1w.nii.gz,,,,,sub-0032,ses-01,256,256,176,1.0,1.0,1.0,9.401360511779785,11534336,11166438,0.9681041023947976,0.0,417.0,36.42079631839625,8.0,54.15807573426439,5.0,2.1253583545366057,1.762534700977245,1.0,2.0,165.0,210.0,3.5611665864279862,0.5298
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0034/ses-02/anat/sub-0034_ses-02_run-1_T1w.nii.gz,,,,,sub-0034,ses-02,240,240,150,0.99999994,1.0,1.0000033,2.5682144165039062,8640000,3562024,0.4122712962962963,0.0,255.0,29.45265725329195,27.0,22.62340599429877,18.0,-0.34821789931560243,0.5617443140832067,1.0,1.0,70.0,79.0,6.118247097798019,0.4752
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0030/ses-01/anat/sub-0030_ses-01_run-1_T1w.nii.gz,,,,,sub-0030,ses-01,192,240,256,1.0,1.0,1.0,9.671676635742188,11796480,11656801,0.9881592644585504,0.0,552.0,47.03515724425595,11.0,59.83613101501149,5.0,1.182313033234358,1.4220593255519705,4.0,5.0,173.0,211.0,2.791253678390582,0.5989
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0031/ses-01/anat/sub-0031_ses-01_run-1_T1w.nii.gz,,,,,sub-0031,ses-01,176,256,256,1.0,1.0,1.0,9.138379096984863,11534336,11416508,0.9897845875133168,0.0,794.0,74.19833315055708,18.0,101.3336497134468,12.0,3.050877368309658,1.7659996656941985,3.0,4.0,283.0,422.0,2.273043987871754,0.5711
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0028/ses-01/anat/sub-0028_ses-01_run-1_T1w.nii.gz,,,,,sub-0028,ses-01,192,256,256,1.0,1.0,1.0,11.735333442687988,12582912,12429454,0.9878042538960775,0.0,1061.0,80.04502048118928,20.0,109.66207944390885,10.0,2.794416687265204,1.7558288925647854,6.0,8.0,312.0,439.0,1.6817989647869442,0.5707
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0033/ses-01/anat/sub-0033_ses-01_run-1_T1w.nii.gz,,,,,sub-0033,ses-01,176,240,256,1.0,1.0,1.0,8.561041831970215,10813440,10693606,0.9889180501302083,0.0,423.0,44.17272312071344,10.0,59.695084719751115,4.0,1.1126157696226615,1.5205650559455341,4.0,5.0,178.0,217.0,3.474823732036975,0.5757
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0035/ses-04/anat/sub-0035_ses-04_run-1_T1w.nii.gz,,,,,sub-0035,ses-04,192,240,256,1.0,1.0,1.0,9.410103797912598,11796480,11664290,0.9887941148546007,0.0,711.0,46.51585488700984,10.0,65.47312061091014,3.0,2.3331050808935645,1.70836113058769,4.0,5.0,191.0,247.0,2.0742989791130815,0.5596
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0042/ses-01/anat/sub-0042_ses-01_run-1_T1w.nii.gz,,,,,sub-0042,ses-01,160,256,256,1.0,0.9677419,0.9677419,7.236112594604492,10485760,6320314,0.6027521133422852,0.0,2892651.994140625,309961.5389990782,291532.67578125,249297.17159756107,204072.873046875,0.3372314539049617,0.6397376478195739,3239.251953125,6478.50390625,754745.705078125,890794.287109375,0.0017159466282656874,0.5775
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0036/ses-02/anat/sub-0036_ses-02_run-1_T1w.nii.gz,,,,,sub-0036,ses-02,192,240,256,1.0,1.0,1.0,27.171454429626465,11796480,11678262,0.989978535970052,0.0,115.88920593261719,11.60520660461179,4.322425842285156,14.220584701058401,2.63236141204834,2.5074014825042434,1.713553520847622,0.9281273484230042,1.1349945068359375,42.62993240356445,56.15562438964844,10.11037283451258,0.6179
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0037/ses-01/anat/sub-0037_ses-01_run-1_T1w.nii.gz,,,,,sub-0037,ses-01,192,240,256,1.0,1.0,1.0,9.46247386932373,11796480,11639219,0.9866688198513455,0.0,740.0,46.99702265246491,10.0,64.72403681778184,4.0,1.8667059488801367,1.6060318505239293,4.0,5.0,186.0,239.0,2.0198709632799354,0.567
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0044/ses-02/anat/sub-0044_ses-02_run-1_T1w.nii.gz,,,,,sub-0044,ses-02,176,240,256,1.0,1.0,1.0,8.474588394165039,10813440,10685537,0.9881718491062973,0.0,389.0,42.02869055621631,10.0,53.92839427569016,4.0,0.7483070804696346,1.4097715284312946,4.0,5.0,161.0,191.0,3.7612201104490866,0.5961
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0039/ses-02/anat/sub-0039_ses-02_run-1_T1w.nii.gz,,,,,sub-0039,ses-02,256,256,192,1.0,1.0,1.0,13.413000106811523,12582912,12444225,0.9889781475067139,0.0,1119.0,114.40026325464221,33.0,137.91881048696644,15.0,2.334755742698203,1.6249245633033853,12.0,16.0,401.0,566.0,1.730760866508378,0.6233
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0045/ses-02/anat/sub-0045_ses-02_run-1_T1w.nii.gz,,,,,sub-0045,ses-02,160,224,256,1.0,1.0,1.0,9.36328125,9175040,9071288,0.9886919294084822,0.0,1061.0,73.75519727738774,21.0,86.90619773767794,16.0,0.857688039163734,1.271090251412174,2.0,4.0,259.0,302.0,1.7377781933499168,0.6277
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0043/ses-02/anat/sub-0043_ses-02_run-1_T1w.nii.gz,,,,,sub-0043,ses-02,176,224,256,1.0,1.0,1.0,25.004125595092773,10092544,9892249,0.9801541613293933,0.0,958.7658081054688,78.70066914379002,12.967033386230469,114.76263286014614,9.136508464813232,2.533483390754067,1.711822957491459,0.9230769276618958,1.9682539701461792,314.9096374511719,470.93896484375,1.8446595385904794,0.5383
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0040/ses-01/anat/sub-0040_ses-01_run-1_T1w.nii.gz,,,,,sub-0040,ses-01,192,256,256,1.0,1.0,1.0,10.909933090209961,12582912,11538319,0.9169832070668539,0.0,1002.0,99.39660768609362,9.0,136.08470058148134,8.0,1.6120720654121223,1.4029236404942715,1.0,1.0,350.0,544.0,1.7175279490675324,0.5378
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0041/ses-03/anat/sub-0041_ses-03_run-1_T1w.nii.gz,,,,,sub-0041,ses-03,176,240,256,1.1999999,1.0,1.0,9.53605842590332,10813440,9783937,0.9047941265684185,0.0,1065.0,95.36758638163758,10.0,141.70061834938397,9.0,3.3310663241966374,1.8037546377346134,1.0,1.0,371.0,612.0,1.6408644794079554,0.5051
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0048/ses-01/anat/sub-0048_ses-01_run-1_T1w.nii.gz,,,,,sub-0048,ses-01,176,224,256,1.0,1.0,1.0,10.053576469421387,10092544,9983477,0.9891933094371449,0.0,1128.0,102.08030198296646,26.0,131.07223651958208,10.0,1.907013286345265,1.617200210691884,11.0,14.0,395.0,507.0,1.634462304747248,0.5975
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0047/ses-01/anat/sub-0047_ses-01_run-1_T1w.nii.gz,,,,,sub-0047,ses-01,192,256,256,1.0,1.0,1.0,27.81507682800293,12582912,12456992,0.9899927775065104,0.0,163.7880401611328,15.47452331845259,5.037661552429199,19.485840336785888,3.433443784713745,2.191946914484216,1.6033364559654941,0.600695013999939,1.0032271146774292,56.670738220214844,75.72599227905272,7.783041791885815,0.6045
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0046/ses-03/anat/sub-0046_ses-03_run-1_T1w.nii.gz,,,,,sub-0046,ses-03,192,240,256,1.0,1.0,1.0,9.263345718383789,11796480,11642610,0.9869562784830729,0.0,504.0,41.229272989475724,10.0,57.50700541372313,4.0,1.9711307540626155,1.6935133096464832,4.0,5.0,172.0,212.0,2.9271406139867997,0.5637
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0053/ses-02/anat/sub-0053_ses-02_run-1_T1w.nii.gz,,,,,sub-0053,ses-02,112,256,256,1.5,0.9765625,0.97656256,7.970244407653809,7340032,7226207,0.984492574419294,0.0,4095.0,329.1109054861008,84.0,408.3031714174284,67.0,1.571440263280877,1.3957982135619644,5.0,11.0,1119.0,1592.0,0.5789497050819848,0.6045
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0051/ses-01/anat/sub-0051_ses-01_run-1_T1w.nii.gz,,,,,sub-0051,ses-01,176,240,256,1.0,1.0,1.0,9.1145658493042,10813440,10608722,0.9810681892163826,0.0,833.0,70.94581590506378,19.0,96.67774265483484,13.0,3.6840547795617278,1.8852255978104402,3.0,4.0,267.0,427.0,2.1602848296291977,0.5704
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0050/ses-03/anat/sub-0050_ses-03_run-1_T1w.nii.gz,,,,,sub-0050,ses-03,192,240,256,1.0,1.0,1.0,9.607086181640625,11796480,11656583,0.9881407843695746,0.0,534.0,46.095803461443204,11.0,57.63156089628566,5.0,0.8840412833469466,1.3725260767611136,4.0,5.0,168.0,206.0,2.8774541309469455,0.6058
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0049/ses-02/anat/sub-0049_ses-02_run-1_T1w.nii.gz,,,,,sub-0049,ses-02,192,240,256,1.0,1.0,1.0,9.518789291381836,11796480,11657209,0.988193851047092,0.0,518.0,45.694069395169976,11.0,59.876320041098694,5.0,1.1752076179336228,1.4734054922988904,4.0,5.0,175.0,215.0,2.900987846688122,0.5875
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0055/ses-02/anat/sub-0055_ses-02_run-1_T1w.nii.gz,,,,,sub-0055,ses-02,192,248,256,1.0,1.0,1.0,9.302122116088867,12189696,12052762,0.9887664138629872,0.0,714.0,53.265820647582686,13.0,82.6376936335978,7.0,5.35343218036145,2.254882285662147,4.0,5.0,238.0,366.0,2.2577491017835385,0.5236
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0052/ses-01/anat/sub-0052_ses-01_run-1_T1w.nii.gz,,,,,sub-0052,ses-01,176,256,256,1.0,1.0,1.0,9.639638900756836,11534336,11395117,0.9879300377585671,0.0,799.0,72.66078742324453,20.0,103.81778423015398,12.0,3.8835380298543507,1.9585242496104267,3.0,5.0,293.0,447.0,2.239506500423866,0.5542
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0056/ses-02/anat/sub-0056_ses-02_run-1_T1w.nii.gz,,,,,sub-0056,ses-02,256,256,192,1.0,1.0,1.0,10.466777801513672,12582912,12360660,0.9823369979858398,0.0,646.0,56.54693195994388,18.0,75.54736898690498,10.0,3.002568930309314,1.8528886632793842,5.0,6.0,227.0,298.0,2.62427803157198,0.5817
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0059/ses-02/anat/sub-0059_ses-02_run-1_T1w.nii.gz,,,,,sub-0059,ses-02,192,254,200,1.0,1.0,1.0,8.178613662719727,9753600,9475933,0.971531844652231,0.0,791.0,71.32342292838078,18.0,98.93128875720384,8.0,2.4536317795709364,1.731989275153305,6.0,7.0,282.0,396.0,2.160701413388052,0.5617
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0057/ses-02/anat/sub-0057_ses-02_run-1_T1w.nii.gz,,,,,sub-0057,ses-02,192,248,256,1.0,1.0,1.0,13.685214042663574,12189696,12004278,0.9847889561806956,0.0,773.0,58.96043034907839,12.0,81.80277883875526,7.0,1.2780246216427091,1.5120809486620734,3.0,4.0,239.0,299.0,2.1404592969100475,0.5615
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0058/ses-02/anat/sub-0058_ses-02_run-1_T1w.nii.gz,,,,,sub-0058,ses-02,256,256,192,1.0,1.0,1.0,9.771225929260254,12582912,12437931,0.9884779453277588,0.0,683.0,57.3825768932148,11.0,89.55523313996545,6.0,4.378350756585903,2.076648481063231,2.0,3.0,249.0,395.0,2.3994592417698417,0.5178
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0062/ses-03/anat/sub-0062_ses-03_run-1_T1w.nii.gz,,,,,sub-0062,ses-03,176,256,256,1.0,1.0,1.0,16.25355052947998,11534336,11415995,0.9897401116111062,0.0,2043.0,79.3609392233587,22.5,110.75746103073381,10.0,3.9222573272039227,2.020031518806791,7.5,10.0,348.5,454.5,0.8836614268021677,0.5671
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0061/ses-01/anat/sub-0061_ses-01_run-1_T1w.nii.gz,,,,,sub-0061,ses-01,176,240,256,1.0,1.0,1.0,8.530824661254883,10813440,10692746,0.9888385194720644,0.0,746.0,65.73977264586665,16.0,87.71814744659977,11.0,3.297024337589632,1.7872710047300915,3.0,4.0,240.0,377.0,2.370068359841469,0.5804
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0060/ses-01/anat/sub-0060_ses-01_run-1_T1w.nii.gz,,,,,sub-0060,ses-01,192,240,256,1.0,1.0,1.0,8.774316787719727,11796480,11677870,0.989945305718316,0.0,438.0,36.44064131558238,7.0,52.7174010742804,3.0,2.5245656299065473,1.7443580624826824,2.0,3.0,153.0,198.0,3.2056662311847655,0.5476
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0063/ses-02/anat/sub-0063_ses-02_run-1_T1w.nii.gz,,,,,sub-0063,ses-02,256,256,192,1.0,1.0,1.0,10.9773530960083,12582912,12448751,0.9893378416697184,0.0,726.0,71.98624930324335,19.0,93.79392290828395,11.0,1.6041220658233248,1.5387200613717793,4.0,6.0,273.0,346.0,2.441429527895934,0.5903
OMEGA,/run/media/falconnier/Elements1/BIDS_datasets_selection/OMEGA/sub-0064/ses-02/anat/sub-0064_ses-02_run-1_T1w.nii.gz,,,,,sub-0064,ses-02,256,256,192,1.0,1.0,1.0,10.203371047973633,12582912,12315529,0.9787503083546957,0.0,609.0,58.41982524664592,15.0,83.06500669416452,8.0,4.25440526409442,2.0450272992364846,4.0,5.0,231.0,375.0,2.7687244551060437,0.555
