dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0002/ses-01/anat/sub-0002_ses-01_T1w_defacemask.nii.gz,,,,,sub-0002,ses-01,256,256,256,0.9375,0.9,0.9375,0.16933441162109375,16777216,14933109,0.8900826573371887,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0001/ses-01/anat/sub-0001_ses-01_T1w_defacemask.nii.gz,,,,,sub-0001,ses-01,256,256,256,0.9375,0.9,0.9375,0.19414329528808594,16777216,14939838,0.8904837369918823,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0002/ses-02/anat/sub-0002_ses-02_T1w_defacemask.nii.gz,,,,,sub-0002,ses-02,256,256,256,0.9375,0.9,0.9375,0.185211181640625,16777216,15040074,0.8964582681655884,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0002/ses-01/anat/sub-0002_ses-01_T1w.nii.gz,,,,,sub-0002,ses-01,256,256,256,0.9375,0.9,0.9375,9.821227073669434,16777216,13474562,0.803146481513977,0.0,332.0,10.139937535631956,3.0,15.213433790367576,2.0,5.746402406291084,2.2575016107481125,1.0,1.0,46.0,64.0,3.0344288842727036,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0001/ses-01/anat/sub-0001_ses-01_T1w.nii.gz,,,,,sub-0001,ses-01,256,256,256,0.9375,0.9,0.9375,10.444962501525879,16777216,13847856,0.8253965377807617,0.0,313.0,12.285601684477365,4.0,17.993232944597935,3.0,5.444604521727065,2.206522364656465,1.0,1.0,54.0,74.0,3.536600113079948,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0002/ses-02/anat/sub-0002_ses-02_T1w.nii.gz,,,,,sub-0002,ses-02,256,256,256,0.9375,0.9,0.9375,10.894303321838379,16777216,14064642,0.8383179903030396,0.0,405.0,13.407503653487945,4.0,19.942003164959196,2.0,5.054553401372205,2.1499677813004037,1.0,1.0,60.0,83.0,2.790133871784426,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0003/ses-01/anat/sub-0003_ses-01_T1w_defacemask.nii.gz,,,,,sub-0003,ses-01,240,256,256,0.9,0.9375,0.9375,0.17147064208984375,15728640,13774448,0.8757558186848958,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0003/ses-01/anat/sub-0003_ses-01_T1w.nii.gz,,,,,sub-0003,ses-01,240,256,256,0.9,0.9375,0.9375,14.358634948730469,15728640,13613977,0.865553347269694,0.0,1203.0,50.82706486135535,15.0,74.33628566201874,9.0,4.682864980950115,2.1463919673197247,1.0,3.0,225.0,312.0,1.4145049742503573,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0004/ses-01/anat/sub-0004_ses-01_T1w_defacemask.nii.gz,,,,,sub-0004,ses-01,256,256,256,0.9375,0.9,0.9375,0.16538524627685547,16777216,15114832,0.900914192199707,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
QTIM,/run/media/falconnier/Elements/BIDS_datasets_selection/QTIM/sub-0005/ses-01/anat/sub-0005_ses-01_T1w_defacemask.nii.gz,,,,,sub-0005,ses-01,256,256,256,0.9375,0.9,0.9375,0.17580604553222656,16777216,14827311,0.8837766051292419,0.0,1.0,1.0,1.0,0.0,0.0,,,1.0,1.0,1.0,1.0,-2048.0,
