dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00008326/ses-FLU1/anat/sub-A00008326_ses-FLU1_T1w.nii.gz,,,,,sub-A00008326,ses-FLU1,176,256,256,1.0,0.9765625,0.9765625,5.529020309448242,11534336,3776198,0.3273875496604226,0.0,871.0,152.98306859521264,142.0,152.09652624040444,132.0,0.49062157495823167,0.9394476388666027,1.0,1.0,472.0,602.0,2.300438564214188,0.368
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00008326/ses-BAS2/anat/sub-A00008326_ses-BAS2_T1w.nii.gz,,,,,sub-A00008326,ses-BAS2,176,256,256,1.0,0.9765625,0.9765625,5.502449989318848,11534336,3769365,0.32679514451460406,0.0,800.0,147.1604367490827,136.0,147.03527857613994,127.0,0.5380562020536082,0.955269427751691,1.0,1.0,455.0,584.0,2.4718675376353048,0.3667
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00008326/ses-BAS1/anat/sub-A00008326_ses-BAS1_T1w.nii.gz,,,,,sub-A00008326,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,5.540566444396973,11534336,3823778,0.33151262456720526,0.0,879.0,151.64966680094616,141.0,152.75667422084032,134.0,0.6262756197727732,0.9620190904305465,1.0,1.0,467.0,610.0,2.240191667732181,0.3678
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00013809/ses-BAS1/anat/sub-A00013809_ses-BAS1_T1w.nii.gz,,,,,sub-A00013809,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,5.6418256759643555,11534336,3850102,0.3337948539040305,0.0,850.0,148.24766213007567,134.0,148.61825251394345,130.0,0.17332991905089834,0.7868471386992327,1.0,1.0,390.0,593.0,2.3033990131193183,0.3694
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00018030/ses-BAS1/anat/sub-A00018030_ses-BAS1_T1w.nii.gz,,,,,sub-A00018030,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,6.605216026306152,11534336,4897534,0.4246047626842152,0.0,1051.0,133.6225919701885,32.0,153.9875765161439,31.0,0.4272596240084727,0.9478425308226197,0.9970376074314118,1.0,381.0,603.0,1.7079497241513304,0.389
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00008399/ses-BAS1/anat/sub-A00008399_ses-BAS1_T1w.nii.gz,,,,,sub-A00008399,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,7.299854278564453,11534336,5335287,0.4625569256869229,0.0,872.0,116.48426150898493,115.0,110.97923044599095,106.0,0.5895038352498339,0.8043281016695581,1.0,1.0,293.0,449.0,2.17876221531708,0.4572
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00018030/ses-FLU1/anat/sub-A00018030_ses-FLU1_T1w.nii.gz,,,,,sub-A00018030,ses-FLU1,176,256,256,1.0,0.9765625,0.9765625,7.108925819396973,11534336,5051786,0.4379780509255149,0.0,1124.0,146.825554784705,59.0,162.84660198502718,58.0,0.12276820215274897,0.8732831547626272,1.0,1.0,413.0,629.0,1.720550831851628,0.406
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00019903/ses-BAS1/anat/sub-A00019903_ses-BAS1_T1w.nii.gz,,,,,sub-A00019903,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,6.806489944458008,11534336,4735362,0.41054482893510297,0.0,1208.0,145.5021114961131,125.0,143.24942030011806,121.0,0.5904473726041477,0.8572924095235336,1.0,1.0,386.0,578.0,1.6527286460712445,0.4202
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00021039/ses-BAS1/anat/sub-A00021039_ses-BAS1_T1w.nii.gz,,,,,sub-A00021039,ses-BAS1,176,256,256,1.0,0.9765625,0.9765625,6.275596618652344,11534336,4506735,0.3907234018499201,0.0,847.0,116.73727445506483,94.0,119.28068310670194,92.0,1.2716141108398045,1.0525343646392233,1.0,1.0,311.0,506.0,2.2352281117379675,0.4008
RocklandSample,/run/media/falconnier/Elements/BIDS_datasets_selection/RocklandSample/sub-A00018030/ses-TRT/anat/sub-A00018030_ses-TRT_T1w.nii.gz,,,,,sub-A00018030,ses-TRT,176,256,256,1.0,0.9765625,0.9765625,6.836488723754883,11534336,5006139,0.4340205626054244,0.0,1058.0,138.24134368221763,52.0,156.13128790009068,51.0,0.3275614275286203,0.9187846034266759,1.0,1.0,389.0,615.0,1.7436843100772639,0.3991
