dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-05/anat/sub-05_T1w.nii.gz,,,,,sub-05,,176,248,256,1.1,1.0,1.0,7.807109832763672,11173888,7059762,0.6318089102020711,0.0,856.9999845419079,56.4970796223903,10.997741466388106,76.76001936833535,8.996963292360306,6.544407181744006,2.1131190609391646,0.9938505962491035,2.0007781740278006,193.00317039527,344.00307611748576,1.9740348586122556,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-03/anat/sub-03_T1w.nii.gz,,,,,sub-03,,176,248,256,1.1,1.0,1.0,8.149478912353516,11173888,7587386,0.6790282845147544,0.0,711.9999998342246,50.21941232100151,9.995269700884819,66.63260793326717,7.996215760707855,5.488933531486337,1.9986256760596328,0.9995269700884819,1.9990539401769638,171.99468982033432,298.999801563099,2.3134288875428974,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-08/anat/sub-08_T1w.nii.gz,,,,,sub-08,,176,248,256,1.0999999,1.0,1.0,7.563290596008301,11173888,6592231,0.589967520705416,0.0,742.0000303443521,61.185408231634206,9.997497929260135,85.72184720848672,7.993469465523958,4.237817170307695,1.9080980807127548,0.9963531345129013,2.0040284637361765,232.00309181027114,369.0016478057951,2.273843944694468,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-02/anat/sub-02_T1w.nii.gz,,,,,sub-02,,176,248,256,1.1,1.0,1.0,8.101653099060059,11173888,6730682,0.6023581048959861,0.0,870.0000303145498,69.039186765239,23.00618070550263,85.68735811981415,21.001602929085493,4.708043932942135,1.8619896484677703,0.99565121345222,2.004577776417136,232.99565929733217,381.99818222783506,2.0779401997594706,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-07/anat/sub-07_T1w.nii.gz,,,,,sub-07,,176,248,256,1.0999985,1.0,1.0,10.211127281188965,11173888,9350437,0.8368114124644886,0.0,743.0,41.545875984191966,9.0,61.797362630703354,6.0,7.567124835034878,2.359035100633261,1.0,2.0,158.0,281.0,2.0899989714885447,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-04/anat/sub-04_T1w.nii.gz,,,,,sub-04,,176,248,256,1.0999985,1.0,1.0,9.424827575683594,11173888,9033554,0.8084521699161473,0.0,719.0,36.05957123851808,8.0,54.91101986044469,4.0,5.374442493188539,2.090420674798701,1.0,2.0,150.0,223.0,2.0248688032599302,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-09/anat/sub-09_T1w.nii.gz,,,,,sub-09,,176,248,256,1.1,1.0,1.0,6.570924758911133,11173888,5623407,0.5032632329946389,0.0,611.0000151162967,56.72224694467252,11.999038978479803,69.64046418457404,9.994537517428398,2.9047913368323224,1.5394012470380083,0.9975890992209315,2.0045014610514045,180.00423120241612,292.00458493083715,2.7679638441807017,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-10/anat/sub-10_T1w.nii.gz,,,,,sub-10,,176,248,256,1.1,1.0039062,1.0039062,8.503273963928223,11173888,7703043,0.6893789341722416,0.0,744.9999845679849,50.703407160000985,9.003433093428612,73.02623025738839,6.002288728952408,5.585718037933702,2.0709214796187094,1.0003814548254013,2.0007629096508026,190.00426859036088,315.99549204297364,2.1838117275034863,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-100/anat/sub-100_T1w.nii.gz,,,,,sub-100,,176,248,256,1.1,1.0,1.0,8.24962329864502,11173888,6725878,0.6019281739713159,0.0,2362.0000910013914,129.1479149122671,13.011093810200691,174.99951223553208,11.028794199228287,1.1281415461872095,1.3167148706859297,1.0091707110404968,1.9822996109724045,465.9845758229494,674.0179095417261,0.7881584277927909,
SCSDB,/run/media/falconnier/Elements/BIDS_datasets_selection/SCSDB/sub-102/anat/sub-102_T1w.nii.gz,,,,,sub-102,,176,248,256,1.1,1.0,1.0,8.190559387207031,11173888,7434176,0.6653168530058651,0.0,660.9999845875427,49.39222984274848,9.995437319390476,64.47733850178055,7.998367098160088,3.2049392197499227,1.6705311979298474,0.9985351106151938,1.9970702212303877,172.99872946739197,264.9950804160908,2.4925889543685296,
