dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10159/anat/sub-10159_T1w.nii.gz,,,,,sub-10159,,176,256,256,1.0,1.0,1.0,11.098615646362305,11534336,9910171,0.8591886867176403,0.0,766.0,60.222098387606025,8.0,95.99430307902753,6.0,2.0195426125829767,1.7508507893459537,1.0,1.0,289.0,360.0,2.1303463161562957,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10171/anat/sub-10171_T1w.nii.gz,,,,,sub-10171,,176,256,256,1.0,1.0,1.0,11.54360294342041,11534336,9688889,0.8400040539828214,0.0,958.0,76.01587075669873,11.0,107.8505789108329,9.0,0.8392645720134877,1.4060633614080469,1.0,2.0,313.0,388.0,1.7983267083229273,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10193/anat/sub-10193_T1w.nii.gz,,,,,sub-10193,,176,256,256,0.9999972,1.0,1.0,11.684850692749023,11534336,9907959,0.8589969114823774,0.0,1136.0,74.92418226599445,12.0,107.68904829754385,9.0,0.9747455947652313,1.4548394076776896,1.0,2.0,318.0,384.0,1.5229934965140752,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10217/anat/sub-10217_T1w.nii.gz,,,,,sub-10217,,176,256,256,1.0,1.0,1.0,11.295650482177734,11534336,10080854,0.8739865042946555,0.0,1280.0,76.48406742127204,8.0,130.0776972328705,6.0,2.0997023148775904,1.7869475836270066,1.0,1.0,390.0,481.0,1.2703360927043543,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10206/anat/sub-10206_T1w.nii.gz,,,,,sub-10206,,176,256,256,1.0,1.0,1.0,11.195798873901367,11534336,10091534,0.8749124353582208,0.0,999.0,59.48102538226597,8.0,89.86377178590192,6.0,1.5656750399965995,1.5912410646521455,1.0,1.0,260.0,340.0,1.6109206995406142,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10189/anat/sub-10189_T1w.nii.gz,,,,,sub-10189,,176,256,256,0.99999917,1.0,1.0,11.235515594482422,11534336,9588604,0.8313095786354758,0.0,776.0,77.33971848248191,9.0,111.11990158085997,7.0,1.0040795462400425,1.4226576637996262,1.0,1.0,317.0,403.0,2.1567041499044524,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10225/anat/sub-10225_T1w.nii.gz,,,,,sub-10225,,176,256,256,1.0000021,1.0,1.0,10.799631118774414,11534336,10358399,0.8980490077625621,0.0,907.0,51.521721262137135,6.0,83.33222025097255,4.0,2.058324792513355,1.7285279372413935,1.0,1.0,249.0,311.0,1.6467148179636595,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10227/anat/sub-10227_T1w.nii.gz,,,,,sub-10227,,176,256,256,1.0,1.0,1.0,11.000414848327637,11534336,9524223,0.8257278962568804,0.0,869.0,66.5985039409514,9.0,102.91569806004391,7.0,1.8007936646140568,1.6642850228727277,1.0,2.0,303.0,382.0,1.9069298425781078,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10235/anat/sub-10235_T1w.nii.gz,,,,,sub-10235,,176,256,256,1.0,1.0,1.0,11.659695625305176,11534336,9744793,0.8448508002541282,0.0,1122.0,76.73520946006755,13.0,105.42046793961957,11.0,0.8106279814668751,1.3646897721915552,1.0,2.0,307.0,371.0,1.557471251715028,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10228/anat/sub-10228_T1w.nii.gz,,,,,sub-10228,,176,256,256,1.000004,1.0,1.0,10.63163948059082,11534336,10041375,0.8705637671730735,0.0,604.0,48.76569214873461,6.0,76.6781052949799,4.0,1.9242190515253563,1.680242759919655,1.0,1.0,222.0,282.0,2.474140439551076,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10249/anat/sub-10249_T1w.nii.gz,,,,,sub-10249,,176,256,256,1.0,1.0,1.0,11.488716125488281,11534336,9957347,0.8632787357677113,0.0,1158.0,78.85947381365739,9.0,118.07456316761828,7.0,1.0372400575397807,1.4728964576528634,1.0,1.0,343.0,422.0,1.440948381676995,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10269/anat/sub-10269_T1w.nii.gz,,,,,sub-10269,,176,256,256,1.0,0.6875,0.6875,15.467599868774414,11534336,10731758,0.9304183613170277,0.0,858.0,124.45336532933374,110.0,100.5673087417981,85.0,-0.6522873318456699,0.5647525191496726,2.0,6.0,306.0,364.0,2.451652716603332,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10271/anat/sub-10271_T1w.nii.gz,,,,,sub-10271,,176,256,256,0.9999982,1.0,1.0,11.038675308227539,11534336,9677792,0.8390419699928977,0.0,586.0,63.789657186267284,9.0,89.73217156163851,7.0,0.8738884910074365,1.3965760655233734,1.0,1.0,261.0,322.0,2.801708206203852,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10273/anat/sub-10273_T1w.nii.gz,,,,,sub-10273,,176,256,256,1.0000025,1.0,1.0,11.673229217529297,11534336,9948031,0.8624710603193804,0.0,1080.0,79.50158036298842,10.0,127.31929103788893,7.0,1.8474832022579948,1.7080909027611608,1.0,2.0,382.0,475.0,1.5675965283395594,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10274/anat/sub-10274_T1w.nii.gz,,,,,sub-10274,,176,256,256,0.999994,1.0,1.0,11.478985786437988,11534336,9472735,0.8212640068747781,0.0,902.0,82.47560350838485,13.0,111.59766244057411,11.0,0.5998595300023908,1.3013167948905717,1.0,2.0,321.0,393.0,1.952731219578993,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10280/anat/sub-10280_T1w.nii.gz,,,,,sub-10280,,176,256,256,1.0,0.98046875,0.98046875,11.208678245544434,11534336,9428034,0.8173885345458984,0.0,731.0,74.1243073582467,13.0,96.97078931646875,11.0,0.3032794671646597,1.211466905863829,1.0,2.0,276.0,341.0,2.3789743414472535,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10292/anat/sub-10292_T1w.nii.gz,,,,,sub-10292,,176,256,256,1.0,1.0,1.0,11.637208938598633,11534336,9443375,0.8187185634266246,0.0,1418.0,89.70520274795823,14.0,119.62647108886664,12.0,0.9848859803278316,1.3380225799712535,1.0,2.0,338.0,443.0,1.2687281433958344,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10290/anat/sub-10290_T1w.nii.gz,,,,,sub-10290,,176,256,256,1.0,1.0,1.0,11.132038116455078,11534336,9973653,0.8646924278952859,0.0,763.0,63.978348955994356,8.0,102.3646202797418,6.0,1.821554690435475,1.6842931553385736,1.0,1.0,301.0,373.0,2.1021737548175894,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10304/anat/sub-10304_T1w.nii.gz,,,,,sub-10304,,176,256,256,1.0,1.0,1.0,11.615523338317871,11534336,9755424,0.8457724831321023,0.0,955.0,79.70140375241506,12.0,119.79810009206163,9.0,1.2694683965306988,1.5622970706934982,1.0,2.0,360.0,435.0,1.8182943631780815,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10316/anat/sub-10316_T1w.nii.gz,,,,,sub-10316,,176,256,256,1.0,1.0,1.0,11.323662757873535,11534336,9869924,0.8556993657892401,0.0,796.0,71.09747896741656,10.0,97.79032339032898,8.0,0.617154863332293,1.3180688796908298,1.0,1.0,283.0,345.0,2.1018088928069147,
UCLA,/run/media/falconnier/Elements/BIDS_datasets_selection/UCLA/sub-10321/anat/sub-10321_T1w.nii.gz,,,,,sub-10321,,176,256,256,1.0,1.0,1.0,11.33951473236084,11534336,9798368,0.8494956276633523,0.0,689.0,73.20401836305801,9.0,104.45897956334528,7.0,0.6038268642295934,1.3596490192471724,1.0,1.0,306.0,362.0,2.4175004014767203,
