dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0010/anat/sub-0010_T1w.nii.gz,,sub-0010,,240,240,220,1.0,1.0,1.0,5.616678237915039,,,,12672000,3351375,0.2644708806818182,0.0,82612.2890625,9801.881516079537,8452.0830078125,8272.14698959419,6407.224365234375,-0.41187738872004465,0.660703976115743,136.32391357421875,136.32391357421875,25492.572265625,28491.697265625,0.04480755595545918,0.3554
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0008/anat/sub-0008_T1w.nii.gz,,sub-0008,,240,240,220,1.0,1.0,1.0,6.6233415603637695,,,,12672000,4036266,0.3185184659090909,0.0,98215.6328125,9931.2695417493,9321.703125,7647.499969914099,5944.2744140625,-0.11584479652722379,0.5742832129751536,135.09715270996094,270.1943054199219,23912.1953125,27019.4296875,0.03775039113936678,0.4105
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0007/anat/sub-0007_T1w.nii.gz,,sub-0007,,240,240,220,1.0,1.0,1.0,6.137669563293457,,,,12672000,3797648,0.2996881313131313,0.0,66475.4765625,7624.9051302170055,6876.7734375,6207.0480271157785,4839.2109375,-0.3936917416712138,0.6583108771899614,127.34765625,254.6953125,19738.88671875,22158.4921875,0.054451281864217785,0.3879
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0009/anat/sub-0009_T1w.nii.gz,,sub-0009,,240,240,220,1.0,1.0,1.0,5.559335708618164,,,,12672000,3303869,0.26072198547979797,0.0,73706.3203125,9537.288302274743,8065.974609375,8161.3692501583255,6119.015625,-0.40230638023616905,0.7118348480122199,139.0685272216797,139.0685272216797,25171.404296875,28648.1171875,0.050222800209947835,0.3505
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0006/anat/sub-0006_T1w.nii.gz,,sub-0006,,240,240,220,1.0,1.0,1.0,7.068509101867676,,,,12672000,4402121,0.34738959911616163,0.0,69302.265625,8450.713557252115,7392.24169921875,6800.65671565431,5148.16845703125,-0.37419205766267316,0.6517894391983017,132.0043182373047,264.0086364746094,21384.69921875,24024.78515625,0.05285060138113294,0.4239
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0005/anat/sub-0005_T1w.nii.gz,,sub-0005,,240,240,220,1.0,1.0,1.0,6.131264686584473,,,,12672000,3768798,0.2974114583333333,0.0,88309.1875,9699.038743927393,8982.9375,7619.727165182886,5666.16015625,0.6152552190207188,0.7253490761771522,138.19903564453125,138.19903564453125,24184.83203125,27087.01171875,0.041875421604932066,0.392
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0003/anat/sub-0003_T1w.nii.gz,,sub-0003,,240,240,220,1.0,1.0,1.0,5.98514461517334,,,,12672000,3674354,0.28995849116161615,0.0,66636.4296875,9385.938540219166,8486.05859375,7641.8761444265765,6121.09130859375,-0.547138851712099,0.5916490943581134,139.11572265625,139.11572265625,23927.904296875,26431.98828125,0.05527837121315533,0.3803
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0001/anat/sub-0001_T1w.nii.gz,,sub-0001,,240,240,220,1.0,1.0,1.0,6.0379533767700195,,,,12672000,3670110,0.28962357954545453,0.0,66273.6796875,8919.95926440995,7668.029296875,7535.3238423080475,5751.02197265625,-0.5155797634841854,0.6675866111346184,136.92909240722656,136.92909240722656,23004.087890625,26427.314453125,0.055507225465184364,0.3742
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0004/anat/sub-0004_T1w.nii.gz,,sub-0004,,240,240,220,1.0,1.0,1.0,6.291261672973633,,,,12672000,3731164,0.29444160353535354,0.0,97827.671875,11142.333989522422,10481.5361328125,8837.157359090308,6987.6904296875,-0.3034980485632861,0.5942495800719053,139.75381469726562,139.75381469726562,27251.994140625,31444.607421875,0.038292422267893256,0.3879
AOMIC_PIOP1,/run/media/falconnier/Elements1/BIDS_datasets_selection/AOMIC_PIOP1/sub-0002/anat/sub-0002_T1w.nii.gz,,sub-0002,,240,240,220,1.0,1.0,1.0,6.456319808959961,,,,12672000,3941876,0.3110697601010101,0.0,78108.0,9864.872537217161,9091.9365234375,7818.6529966308935,6336.8037109375,-0.6777976813671005,0.526636684354282,137.75660705566406,137.75660705566406,24107.40625,27413.564453125,0.04740110768117916,0.4002
