dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003006/ses-1/anat/sub-0003006_ses-1_run-1_T1w.nii.gz,,,,,sub-0003006,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,7.427980422973633,11534336.0,7969085.0,0.6909010627053,0.0,1017.0,72.74926707394889,10.0,117.93507732109808,6.0,2.224961469747174,1.7513547679659194,1.0,2.0,341.0,425.0,1.6241338845840856,0.4065
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003008/ses-1/anat/sub-0003008_ses-1_run-1_T1w.nii.gz,,,,,sub-0003008,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,6.991131782531738,11534336.0,7159180.0,0.620684190229936,0.0,976.0,88.9773992272858,12.0,134.1943842234884,8.0,1.5136728038323382,1.55510801494101,1.0,2.0,376.0,501.0,1.7748300907684094,0.4037
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003007/ses-1/anat/sub-0003007_ses-1_run-1_T1w.nii.gz,,,,,sub-0003007,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,8.164979934692383,11534336.0,8181843.0,0.7093466845425692,0.0,1014.0,87.4292787089657,14.0,120.11222887085043,10.0,0.7092598878561787,1.326128549894909,1.0,2.0,336.0,410.0,1.7613722499524367,0.4666
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003004/ses-1/anat/sub-0003004_ses-1_run-1_T1w.nii.gz,,,,,sub-0003004,ses-1,176.0,256.0,256.0,0.9999999403953552,1.0,1.0,7.891257286071777,11534336.0,8279222.0,0.7177892164750532,0.0,972.0,76.63241123380917,11.0,114.23305291396487,7.0,2.0329080247558755,1.609756611664192,1.0,2.0,317.0,412.0,1.7438468765547068,0.443
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003001/ses-1/anat/sub-0003001_ses-1_run-1_T1w.nii.gz,,,,,sub-0003001,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,9.898849487304688,11534336.0,9485799.0,0.8223966251720082,0.0,1109.0,90.26937825690804,18.0,122.87316550962042,14.0,2.40067670361755,1.5898411920334847,1.0,3.0,333.0,484.0,1.6707741416520634,0.5127
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003002/ses-1/anat/sub-0003002_ses-1_run-1_T1w.nii.gz,,,,,sub-0003002,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,9.774871826171875,11534336.0,9610032.0,0.8331673362038352,0.0,1059.0,85.51790545546571,15.0,131.25191572453755,11.0,3.734311391958286,1.934003461854489,1.0,3.0,358.0,558.0,1.7012535882387139,0.4739
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003009/ses-1/anat/sub-0003009_ses-1_run-1_T1w.nii.gz,,,,,sub-0003009,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,9.929630279541016,11534336.0,9385879.0,0.8137337944724343,0.0,1133.0,100.38087961713549,18.0,138.2628662000756,14.0,2.8192873367664655,1.6690170227923649,1.0,3.0,366.0,585.0,1.6600692438395885,0.5053
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003010/ses-1/anat/sub-0003010_ses-1_run-1_T1w.nii.gz,,,,,sub-0003010,ses-1,176.0,256.0,256.0,1.0,1.0,1.0,9.378035545349121,11534336.0,9297237.0,0.8060487400401722,0.0,1676.0,86.38568135888114,13.0,134.40456213534318,9.0,5.146122439245888,2.0860395490736905,1.0,2.0,351.0,583.0,1.0650282523267889,0.4602
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003012/ses-1/anat/sub-0003012_ses-1_run-1_T1w.nii.gz,,,,,sub-0003012,ses-1,176.0,256.0,256.0,1.0,0.9999999403953552,1.0,7.990592956542969,11534336.0,8065132.0,0.6992281133478339,0.0,914.0,83.3312999712838,13.0,116.29428118191787,10.0,1.9394800089851145,1.5359911035574945,1.0,2.0,315.0,461.0,1.929225076343599,0.4583
BMB_1,/run/media/falconnier/Elements/BIDS_datasets_selection/CORR/BMB_1/sub-0003013/ses-1/anat/sub-0003013_ses-1_run-1_T1w.nii.gz,,,,,sub-0003013,ses-1,176.0,256.0,256.0,0.9999999403953552,0.9999999403953552,1.0,9.091706275939941,11534336.0,8853230.0,0.767554369839755,0.0,1229.0,90.34273954251725,16.0,135.36389058636647,11.0,2.487605424266186,1.7379079771318815,1.0,3.0,376.0,552.0,1.4779886264715458,0.4602
