dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27599/anat/sub-CISC27599_T1w.nii.gz,,sub-CISC27599,,208,298,320,0.79999995,0.79999995,0.79999995,19.96414566040039,3,Siemens,Prisma,19834880,14611803,0.7366721149812855,0.0,2774.9998925440013,280.96997942684914,71.98443301022053,350.7738024217299,55.978482611477375,0.589590500699424,1.2977457319193442,9.993133053183556,14.989699579775333,1041.995839715004,1272.9811821095645,0.8281783176924926,0.5124
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC26062/anat/sub-CISC26062_T1w.nii.gz,,sub-CISC26062,,208,298,320,0.79999995,0.79999995,0.79999995,21.830151557922363,3,Siemens,Prisma,19834880,15283851,0.7705542458537687,0.0,3677.0000449195504,457.58544109927414,157.9985065460205,508.7819189037655,143.97165049612522,-0.3940013450917794,0.9007883350422621,8.023361660540104,13.016922414302826,1454.0238981321454,1752.0104280561209,0.675915534595257,0.5623
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27681/anat/sub-CISC27681_T1w.nii.gz,,sub-CISC27681,,208,298,320,0.79999995,0.79999995,0.79999995,19.223363876342773,3,Siemens,Prisma,19834880,14117431,0.7117477393359577,0.0,3695.000014398247,343.61183502213635,70.98504643514752,418.8690345805741,54.972533974796534,0.03690820009017681,1.1138836729916541,9.97962924465537,14.997634910047054,1233.0198415331542,1460.9726157486439,0.6319574720106506,0.5086
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC13877/anat/sub-CISC13877_T1w.nii.gz,,sub-CISC13877,,208,298,320,0.79999995,0.79999995,0.79999995,21.15022563934326,3,Siemens,Prisma,19834880,15618411,0.7874215019198503,0.0,2720.9999841079116,278.5851073072284,65.02000419795513,343.7043409241704,49.034881837666035,0.4637740813540048,1.251595566750171,11.002746559679508,15.985122360289097,1034.0090578198433,1227.98955565691,0.8347323923209886,0.5357
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC13930/anat/sub-CISC13930_T1w.nii.gz,,sub-CISC13930,,208,298,320,0.79999995,0.79999995,0.79999995,19.65805435180664,3,Siemens,Prisma,19834880,15095204,0.761043374096541,0.0,3636.999922860414,284.96748296209114,52.99969369545579,374.62889712967444,37.01653999462724,0.5768338575362888,1.317791419646503,9.989471063017845,13.985259488224983,1116.9893560297787,1339.9765489809215,0.6198421545351857,0.503
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27619/anat/sub-CISC27619_T1w.nii.gz,,sub-CISC27619,,208,298,320,0.79999995,0.79999995,0.79999995,19.360654830932617,3,Siemens,Prisma,19834880,14315820,0.7217497660686629,0.0,3532.000060211867,320.3668544529983,79.00987393409014,389.6506336838164,64.99720870703459,0.12499774738472569,1.1242173920184368,9.000442665070295,12.988662768155336,1110.9887730404735,1375.0197228379548,0.659411243525261,0.5135
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC19478/anat/sub-CISC19478_T1w.nii.gz,,sub-CISC19478,,208,298,320,0.79999995,0.79999995,0.79999995,19.899502754211426,3,Siemens,Prisma,19834880,14449825,0.7285057938338926,0.0,2821.9999077916145,307.0304782420816,90.98780506849289,349.51090666082945,76.00259155035019,-0.16889527865078735,1.0157818129712495,9.990142345428467,14.9852135181427,1035.0131957530975,1212.9841367602348,0.8259769027797751,0.5385
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27618/anat/sub-CISC27618_T1w.nii.gz,,sub-CISC27618,,208,298,320,0.79999995,0.79999995,0.79999995,20.779258728027344,3,Siemens,Prisma,19834880,14996704,0.7560773748064017,0.0,3593.000105973333,329.84275188511026,86.02147198095918,394.1302921610088,69.02551512047648,0.18527814744867266,1.1478109207581861,12.006821136921644,16.995956860482693,1172.0082896985114,1399.973414298147,0.6530062325687015,0.5339
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27600/anat/sub-CISC27600_T1w.nii.gz,,sub-CISC27600,,208,298,320,0.79999995,0.79999995,0.79999995,19.182759284973145,3,Siemens,Prisma,19834880,14589239,0.7355345230220702,0.0,4095.0000143051147,324.919894417654,54.98741149902344,420.24228068413015,39.9908447265625,0.846679048274618,1.2706217602969836,8.997940063476562,13.996795654296875,1202.9745979309082,1463.9773454666138,0.5590771789246068,0.4981
MCS,/run/media/falconnier/Elements1/BIDS_datasets_selection/MCS/sub-CISC27616/anat/sub-CISC27616_T1w.nii.gz,,sub-CISC27616,,208,298,320,0.79999995,0.79999995,0.79999995,25.328604698181152,3,Siemens,Prisma,19834880,18141610,0.9146316993094993,0.0,4017.999968547374,386.75194487041233,186.0168139860034,432.89350282326683,169.0337363742292,0.645188146621118,1.1305829814662236,9.012680176645517,13.9788508862257,1282.988744057715,1549.0160861425102,0.607457541638911,0.6183
