dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031275/anat/sub-031275_T1w.nii.gz,,,,,sub-031275,,176,256,256,0.9999995,1.0,1.0,10.126401901245117,11534336,9008897,0.7810503352772106,0.0,1134.982696004212,98.6128273534311,8.001373417675495,144.48600038016667,6.996871992945671,2.052745461612176,1.5741325403543964,1.004501424729824,1.004501424729824,402.0083977729082,572.9987868480384,1.512531252769127,0.4677
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031276/anat/sub-031276_T1w.nii.gz,,,,,sub-031276,,176,256,256,1.0,1.0,1.0,10.332742691040039,11534336,8902685,0.7718420028686523,0.0,1244.0000607445836,111.24874855349331,8.010498598217964,161.26944367765333,7.00444071739912,1.8961742973265645,1.5420631290269593,1.0060578808188438,1.0060578808188438,450.0115883126855,635.9994206950068,1.4212940442384205,0.4682
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031274/anat/sub-031274_T1w.nii.gz,,,,,sub-031274,,176,256,256,0.999998,1.0,1.0,9.934765815734863,11534336,8582091,0.7440472516146573,0.0,1098.9999539684504,110.64212684809614,8.015899565070868,162.15429985714223,7.009719703346491,1.8356420635863389,1.5537488465368756,1.0061798617243767,1.0061798617243767,463.010433036834,641.9930607732385,1.5926762539467603,0.4549
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031278/anat/sub-031278_T1w.nii.gz,,,,,sub-031278,,176,256,256,0.99999774,1.0,1.0,10.343785285949707,11534336,8682693,0.7527692101218484,0.0,1242.9999539349228,132.1429809447575,10.014556735754013,188.89715870010065,8.004058603197336,1.2244069474404142,1.4062148098938592,1.0052490662783384,1.0052490662783384,503.00387240946293,728.9952426869422,1.4644979237144253,0.4657
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031277/anat/sub-031277_T1w.nii.gz,,,,,sub-031277,,176,256,256,1.0000038,1.0,1.0,9.663811683654785,11534336,8170354,0.7083506150679155,0.0,1136.9826349690557,123.53980081456268,8.015472538769245,174.68069227953882,7.009201094508171,1.4327712878891905,1.4365848927448615,1.006271444261074,1.006271444261074,492.0146877206862,681.9917965941131,1.5622687852275858,0.4537
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031279/anat/sub-031279_T1w.nii.gz,,,,,sub-031279,,176,256,256,1.0000014,1.0,1.0,11.106894493103027,11534336,9415012,0.8162595575506036,0.0,1316.979949336499,129.28166815466219,11.012680627405643,174.02600809210023,10.007874000817537,1.394176155326539,1.3408512541341262,1.0048066265881062,1.0048066265881062,448.003082530573,688.9959038514644,1.3788535050200665,0.5092
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031280/anat/sub-031280_T1w.nii.gz,,,,,sub-031280,,176,256,256,1.0000055,1.0,1.0,9.090402603149414,11534336,7804958,0.6766716350208629,0.0,1207.9999997187406,115.3061498235601,8.018310824409127,167.5842031024594,6.009124893695116,1.5305054723563574,1.4711030499640838,1.0138094145804644,1.0138094145804644,454.00228874757886,654.9946134127676,1.4502911971898398,0.4331
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031282/anat/sub-031282_T1w.nii.gz,,,,,sub-031282,,176,256,256,1.0000044,0.99999994,1.0,9.476008415222168,11534336,8181449,0.7093125256625089,0.0,1213.0000454932451,113.16166598837984,7.014984622597694,165.43600762910367,5.996978938579559,1.4331840898487398,1.4505611455382308,1.018005684018135,1.018005684018135,446.0160539597273,637.9934167712927,1.4204339272684727,0.4424
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031285/anat/sub-031285_T1w.nii.gz,,,,,sub-031285,,176,256,256,1.0000015,1.0,1.0,9.690756797790527,11534336,8338909,0.7229639400135387,0.0,1181.0000455006957,109.72737949728682,8.001282066106796,156.3430151574449,6.000961549580097,1.3696322561273613,1.383115435571102,1.0091707110404968,1.0091707110404968,401.00119039416313,595.9873884916306,1.465992241503301,0.4559
SALD,/run/media/falconnier/Elements/BIDS_datasets_selection/SALD/sub-031284/anat/sub-031284_T1w.nii.gz,,,,,sub-031284,,176,256,256,0.9999987,1.0,1.0,9.608081817626953,11534336,8298427,0.7194542451338335,0.0,1119.0000149980187,105.53501741555503,7.000686749815941,157.59667062374706,5.993270851671696,2.0680304608457236,1.5979270753215729,1.0074158981442451,1.0074158981442451,434.0084287971258,634.9964378997684,1.5388595458020369,0.4399
