dataset,path,error,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,tesla,manufacturer,model,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29010/ses-1/anat/sub-29010_ses-1_run-1_T1w.nii.gz,,sub-29010,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.510623931884766,,,,12648448,2910278,0.23008973116701747,0.0,291.0,61.895976572995174,63.0,41.96009958406942,34.0,-0.918250185086519,0.18957738486780074,1.0,1.0,131.0,149.0,6.179940174219653,0.3573
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29008/ses-1/anat/sub-29008_ses-1_run-1_T1w.nii.gz,,sub-29008,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.342416763305664,,,,12648448,2775123,0.2194042304636901,0.0,228.0,64.84608906890075,67.0,42.2862127959954,35.0,-1.0211301297279372,0.04485195579098974,1.0,1.0,130.0,151.0,7.748260067394125,0.352
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29007/ses-1/anat/sub-29007_ses-1_run-1_T1w.nii.gz,,sub-29007,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.823265075683594,,,,12648448,3174524,0.25098130616499353,0.0,207.0,60.92337168612074,62.0,39.43740264328153,32.0,-1.0097984815964829,0.06867218553683532,1.0,1.0,123.0,137.0,8.247881839783936,0.3809
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29012/ses-1/anat/sub-29012_ses-1_run-1_T1w.nii.gz,,sub-29012,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,3.7777795791625977,,,,12648448,2442519,0.19310819793859293,0.0,251.0,58.30057918178773,58.0,38.282740320110555,31.0,-0.9726909770414123,0.1437068081232063,1.0,2.0,120.0,136.0,7.090363783789682,0.3269
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29014/ses-1/anat/sub-29014_ses-1_run-1_T1w.nii.gz,,sub-29014,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.475706100463867,,,,12648448,2915728,0.23052061407059585,0.0,221.0,60.26672635781588,61.0,40.233118812018866,33.0,-0.9217019937355873,0.16487399945396325,1.0,1.0,125.0,145.0,7.8657918797186674,0.3595
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29009/ses-1/anat/sub-29009_ses-1_run-1_T1w.nii.gz,,sub-29009,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.580656051635742,,,,12648448,2973688,0.23510299445433938,0.0,353.0,62.595278085297075,63.0,41.63165090834181,33.0,-0.7595182490994383,0.20802489557894185,1.0,1.0,130.0,157.0,5.06074104788757,0.364
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29013/ses-1/anat/sub-29013_ses-1_run-1_T1w.nii.gz,,sub-29013,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.571216583251953,,,,12648448,3008790,0.23787819659771697,0.0,198.0,54.73830760852921,55.0,37.587058586172034,32.0,-1.1142772567787536,0.1630075353398665,1.0,1.0,116.0,128.0,8.462200748727028,0.3625
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29011/ses-1/anat/sub-29011_ses-1_run-1_T1w.nii.gz,,sub-29011,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.618332862854004,,,,12648448,3047803,0.24096260663758906,0.0,201.0,55.58723326620794,54.0,38.53650262793171,31.0,-0.7193883364631035,0.30668601944572477,1.0,1.0,119.0,145.0,8.414165965744896,0.3642
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29006/ses-1/anat/sub-29006_ses-1_run-1_T1w.nii.gz,,sub-29006,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,4.7074432373046875,,,,12648448,3065269,0.2423434875172037,0.0,203.0,59.58838027477275,60.0,39.53096868465096,32.0,-0.7710828119368522,0.2199776308530617,1.0,1.0,123.0,151.0,8.43626128396352,0.3708
ABIDEII-BNI_1,/run/media/falconnier/Elements1/BIDS_datasets_selection/ABIDE2/ABIDEII-BNI_1/sub-29015/ses-1/anat/sub-29015_ses-1_run-1_T1w.nii.gz,,sub-29015,ses-1,193,256,256,1.0546875,1.0546875,1.0546875,6.5132904052734375,,,,12648448,4447194,0.35159997495344886,0.0,280.0,59.706637369094,61.0,38.83176607177536,28.0,-0.57604386138977,0.22380943496736508,1.0,1.0,124.0,151.0,6.333154210479653,0.4607
