dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10005/ses-01/anat/sub-10005_ses-01_rec-PURE_T1w.nii.gz,,,,,sub-10005,ses-01,512,512,226,0.4688,0.4688,0.7996262,32.24145984649658,59244544,29625615,0.5000564271369866,0.0,2624.0,230.67222138679654,115.0,255.93754742441115,113.0,1.2453866332443315,1.1581503574292669,1.0,1.0,664.0,1049.0,0.8418468656748432,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10006/ses-01/anat/sub-10006_ses-01_rec-PURE_T1w.nii.gz,,,,,sub-10006,ses-01,512,512,226,0.4688,0.4688,0.8,30.043097496032715,59244544,28781180,0.48580304711265904,0.0,1415.0,137.86214627058376,105.0,131.36933535761358,100.0,0.9391377115433777,0.9598426794654383,1.0,1.0,359.0,532.0,1.4708934901862336,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10006/ses-02/anat/sub-10006_ses-02_rec-PURE_run-02_T1w.nii.gz,,,,,sub-10006,ses-02,512,512,226,0.4688,0.4688,0.7998999,33.08161735534668,59244544,30491031,0.5146639494769341,0.0,1388.0,158.53480923619802,133.0,143.69062732120463,121.0,0.3289564274418604,0.7812280632603715,1.0,1.0,395.0,566.0,1.53390975928478,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10005/ses-02/anat/sub-10005_ses-02_rec-PURE_T1w.nii.gz,,,,,sub-10005,ses-02,512,512,226,0.4688,0.4688,0.8,34.93726825714111,59244544,31122930,0.5253298936691959,0.0,3146.0,254.55260912131345,138.0,285.00174106215127,135.0,2.0116947060941337,1.3412240121559338,1.0,1.0,740.0,1219.0,0.72242937952643,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10006/ses-02/anat/sub-10006_ses-02_rec-PURE_run-01_T1w.nii.gz,,,,,sub-10006,ses-02,512,512,226,0.4688,0.4688,0.7998999,32.873552322387695,59244544,30445567,0.5138965539172687,0.0,1253.0,155.95079506977157,129.0,142.57575056793502,118.0,0.457167069483039,0.8145684418596955,1.0,1.0,388.0,569.0,1.6963201690980478,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10002/ses-01/anat/sub-10002_ses-01_rec-PURE_T1w.nii.gz,,,,,sub-10002,ses-01,512,512,226,0.4688,0.4688,0.8,34.085598945617676,59244544,31347977,0.5291285050653778,0.0,1175.0,155.59588703283788,124.0,152.62405130364843,113.0,1.8535244113502847,1.2437286315904763,1.0,1.0,414.0,679.0,1.8158469673260826,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10007/ses-02/anat/sub-10007_ses-02_rec-PURE_T1w.nii.gz,,,,,sub-10007,ses-02,512,512,226,0.4688,0.4688,0.8,30.9708251953125,59244544,28311246,0.4778709411621094,0.0,1835.0,206.798422718661,139.0,220.62828142808772,135.0,1.9291926113791318,1.2862772257935753,1.0,1.0,570.0,962.0,1.1988411933827516,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10007/ses-03/anat/sub-10007_ses-03_rec-PURE_run-01_T1w.nii.gz,,,,,sub-10007,ses-03,512,512,226,0.4688,0.4688,0.8,31.609309196472168,59244544,29270539,0.49406303135694657,0.0,1187.0,157.03829580999516,123.0,155.38797320924968,116.0,1.704731953431966,1.1933535754252214,1.0,1.0,419.0,678.0,1.7891239460466732,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10007/ses-03/anat/sub-10007_ses-03_rec-PURE_run-03_T1w.nii.gz,,,,,sub-10007,ses-03,512,512,226,0.4688,0.4688,0.8,31.14036750793457,59244544,29203285,0.49292783821578573,0.0,1180.0,150.94629241196668,116.0,150.82971793656492,110.0,1.9296326907495231,1.227338045925278,1.0,1.0,402.0,659.0,1.787397106360695,
AdolescentBrainDevelopment,/run/media/falconnier/Elements/BIDS_datasets_selection/AdolescentBrainDevelopment/sub-10007/ses-01/anat/sub-10007_ses-01_rec-PURE_T1w.nii.gz,,,,,sub-10007,ses-01,512,512,226,0.4688,0.4688,0.7997714,27.599881172180176,59244544,26862179,0.4534118618585367,0.0,1045.0,136.24651443950248,104.0,139.87046060636337,99.0,2.0729095002058386,1.2674990202125258,1.0,1.0,362.0,618.0,1.9613407061359716,
