dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212b/anat/sub-0212b_T1w.nii.gz,,,,,sub-0212b,,208,240,256,1.0,1.0,1.0,12.032628059387207,12779520,11045188,0.8642881735777244,0.0,918.0,78.0756779332321,10.0,116.5623448165915,9.0,1.8983024844352183,1.5792923646579176,1.0,1.0,321.0,446.0,1.817003964190343,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212e/anat/sub-0212e_T1w.nii.gz,,,,,sub-0212e,,208,240,256,1.0,1.0,1.0,12.307847023010254,12779520,10940537,0.8560992118639824,0.0,1044.0,92.3032831935032,11.0,133.9019931321146,10.0,3.0580423061451727,1.709146500946608,1.0,1.0,336.0,576.0,1.6454937447948574,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212f/anat/sub-0212f_T1w.nii.gz,,,,,sub-0212f,,208,240,256,1.0,1.0,1.0,11.68342113494873,12779520,11170587,0.8741006704477163,0.0,1097.0,76.9493435752302,6.0,129.92683778615924,5.0,3.851227076673423,1.9892869997682205,1.0,1.0,334.0,575.0,1.4288800601247238,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212g/anat/sub-0212g_T1w.nii.gz,,,,,sub-0212g,,208,240,256,1.0,1.0,1.0,12.71213150024414,12779520,11040543,0.8639247013972355,0.0,769.0,87.73782865571015,15.0,115.28461664279386,14.0,0.6125752305561911,1.2237350786669206,1.0,1.0,310.0,427.0,2.2900172265181653,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212c/anat/sub-0212c_T1w.nii.gz,,,,,sub-0212c,,208,240,256,1.0,1.0,1.0,11.59529972076416,12779520,11092545,0.8679938683143029,0.0,937.0,70.48813550001375,7.0,116.49389027714966,6.0,3.1594322146363547,1.869850758915999,1.0,1.0,322.0,478.0,1.6920253182310794,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212d/anat/sub-0212d_T1w.nii.gz,,,,,sub-0212d,,208,240,256,1.0,1.0,1.0,11.65023136138916,12779520,10894708,0.8525130834334936,0.0,930.0,80.57127001476313,7.0,127.84951967725135,6.0,3.1967317895975365,1.8076618066008985,1.0,1.0,325.0,555.0,1.7248326342184235,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212h/anat/sub-0212h_T1w.nii.gz,,,,,sub-0212h,,208,240,256,1.0,1.0,1.0,12.175453186035156,12779520,11241074,0.8796162923177083,0.0,951.0,78.4815093290908,8.0,124.91404755811226,7.0,3.044957709786228,1.8283616126743358,1.0,1.0,326.0,541.0,1.7221904633530234,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0212i/anat/sub-0212i_T1w.nii.gz,,,,,sub-0212i,,208,240,256,1.0,1.0,1.0,11.304214477539062,12779520,10867193,0.8503600291716746,0.0,919.0,72.93403264302015,6.0,119.0522225497205,5.0,2.6237427852696014,1.7477055625483933,1.0,1.0,317.0,478.0,1.6774700351483107,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0312a/anat/sub-0312a_T1w.nii.gz,,,,,sub-0312a,,208,240,256,1.0,1.0,1.0,11.917401313781738,12779520,11117618,0.8699558355869391,0.0,802.0,72.69305826122107,8.0,107.93003808493867,7.0,1.0982354151894995,1.4372562767298394,1.0,1.0,299.0,368.0,2.007649894802078,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0312e/anat/sub-0312e_T1w.nii.gz,,,,,sub-0312e,,208,240,256,1.0,1.0,1.0,12.472015380859375,12779520,11017131,0.8620927077073317,0.0,854.0,83.82892406380572,14.0,109.092983251334,13.0,0.7701668736548481,1.2202711760889342,1.0,1.0,292.0,399.0,2.006377683023837,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0312c/anat/sub-0312c_T1w.nii.gz,,,,,sub-0312c,,208,240,256,1.0,1.0,1.0,12.823282241821289,12779520,10974205,0.8587337396083734,0.0,957.0,99.93023503752664,15.0,139.02215516386437,14.0,2.492576930596984,1.6177240696486122,1.0,1.0,371.0,588.0,1.8680296644663963,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0312d/anat/sub-0312d_T1w.nii.gz,,,,,sub-0312d,,208,240,256,1.0,1.0,1.0,12.38923168182373,12779520,11136212,0.8714108198116988,0.0,958.0,84.55804855367337,10.0,119.76857955511049,9.0,1.6457182530901582,1.4618305810261687,1.0,1.0,315.0,475.0,1.7610773157413393,
CLIMATE_BRAIN,/run/media/falconnier/Elements/BIDS_datasets_selection/CLIMATE_BRAIN/sub-0312f/anat/sub-0312f_T1w.nii.gz,,,,,sub-0312f,,208,240,256,1.0,1.0,1.0,12.049610137939453,12779520,11058096,0.8652982271634615,0.0,879.0,81.65711149550519,9.0,122.00034739934696,8.0,2.3662900831642286,1.6306579927171079,1.0,1.0,318.0,500.0,1.8739611241117777,
