dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1007/ses-wave2/anat/sub-1007_ses-wave2_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1007,ses-wave2,256,256,160,1.0,1.0,1.0,7.055240631103516,10485760,4906187,0.46789045333862306,0.0,1995891.0446548462,296352.54070121533,284727.02184295654,212518.79841069458,173077.72650909424,-0.5354779394463534,0.3913926797688488,2801.8917541503906,5573.328163146973,658779.5710220337,776032.6498641968,0.0024871685624310727,0.5238
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1003/ses-wave1/anat/sub-1003_ses-wave1_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1003,ses-wave1,256,256,160,1.0,1.0,1.0,7.222290992736816,10485760,4975313,0.4744828224182129,0.0,2728071.122303009,350974.5745262835,365324.6687927246,240453.69357077876,194442.9726448059,-0.43953455591042134,0.20814070846719285,2955.5664863586426,5911.132972717285,727693.7710990906,848455.7200698853,0.0018301068354467486,0.5357
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1007/ses-wave3/anat/sub-1007_ses-wave3_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1007,ses-wave3,256,256,160,1.0,1.0,1.0,8.734087944030762,10485760,5725957,0.5460698127746582,0.0,2593117.9315567017,374502.7149301875,312511.5651702881,324790.8013340637,267443.108253479,-0.649609186026741,0.6057267297536424,3007.201690673828,3007.201690673828,976549.1806030273,1138819.366569519,0.001939596158753816,0.5278
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1007/ses-wave1/anat/sub-1007_ses-wave1_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1007,ses-wave1,256,256,160,1.0,1.0,1.0,7.536379814147949,10485760,5288520,0.5043525695800781,0.0,2385007.607116699,312401.30858426355,300022.9299316406,227635.2415906468,190917.06579589844,-0.642621804673932,0.36441837484005996,3020.6093139648438,6077.611511230469,700053.5031738281,812179.9766235352,0.002087429104018579,0.543
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1003/ses-wave3/anat/sub-1003_ses-wave3_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1003,ses-wave3,256,256,160,1.0,1.0,1.0,8.518010139465332,10485760,5616593,0.5356400489807129,0.0,2904327.9327964783,372802.2365204985,324003.0749473572,307331.5933099035,260363.57069015503,-0.8174170053856256,0.4996798716728457,2880.6182289123535,2880.6182289123535,928578.3653907776,1055857.373905182,0.0017348273962679607,0.5341
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1003/ses-wave2/anat/sub-1003_ses-wave2_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1003,ses-wave2,256,256,160,1.0,1.0,1.0,8.361013412475586,10485760,5646899,0.5385302543640137,0.0,2028925.9155750275,332625.576175531,341544.37629699707,224515.84968236662,179440.8271408081,-0.5134989847517231,0.2560780126884708,2879.2265224456787,6284.7632694244385,697546.8040561676,822003.692445755,0.0024573883550606814,0.5788
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-101/ses-wave1/anat/sub-101_ses-wave1_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-101,ses-wave1,256,256,160,1.0,1.0,1.0,6.2019758224487305,10485760,4245922,0.4049226760864258,0.0,2344062.981891632,298810.265518404,300595.182723999,230855.68626290048,200408.71118545532,-0.5742134509040375,0.36381748806692826,2646.840019226074,5257.9119300842285,688178.4049987793,785753.8046264648,0.0021074578175042675,0.4682
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1013/ses-wave1/anat/sub-1013_ses-wave1_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1013,ses-wave1,256,256,160,1.0,1.0,1.0,5.8996992111206055,10485760,4007801,0.3822136878967285,0.0,1969032.9544830322,308054.3380630103,312623.6040496826,235729.8492573781,202957.46711730957,-0.7235031056233838,0.3354121055433292,2734.142044067383,5498.329605102539,707541.8790740967,798038.9761810303,0.0025133498009462067,0.4548
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1008/ses-wave1/anat/sub-1008_ses-wave1_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1008,ses-wave1,256,256,160,1.0,1.0,1.0,6.585092544555664,10485760,4687747,0.44705839157104493,0.0,2116201.458835602,345206.43830576557,375707.69777297974,228851.7951545482,173403.55281829834,-0.26102435497365395,0.1675814370227158,3196.8252754211426,6425.9417152404785,709695.2111434937,815642.5215339661,0.0023484624564165547,0.5236
DLBS,/run/media/falconnier/Elements/BIDS_datasets_selection/DLBS/sub-1008/ses-wave2/anat/sub-1008_ses-wave2_acq-MPRAGE_run-1_T1w.nii.gz,,,,,sub-1008,ses-wave2,256,256,160,1.0,1.0,1.0,6.580018997192383,10485760,4643154,0.44280567169189455,0.0,2046323.40010643,328446.6217714199,359398.5249900818,223184.81592641078,173922.65718460083,-0.38832634496272345,0.15307309086541457,2903.915102005005,5807.83020401001,678235.9132328033,768101.1569271088,0.002420191845927927,0.5163
