dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-102/anat/sub-102_T1w.nii.gz,,,,,sub-102,,256,166,256,0.9375,1.1,0.9375,5.377306938171387,10878976,2178411,0.20024044542427522,0.0,20868.0,3489.0218863389005,3322.0,2445.2928154262004,1609.0,2.075074204561167,1.1012843359487519,82.0,308.0,7771.983642578125,11800.0,0.15988659692610416,0.3279
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-10/anat/sub-10_T1w.nii.gz,,,,,sub-10,,256,166,256,0.9375,1.100388,0.9375,6.209610939025879,10878976,2559120,0.2352353750941265,0.0,20993.0,3378.138054339202,3230.0,2185.3515935128294,1399.0,2.807016839429428,1.1251424467646425,94.62111946105956,389.7900146484378,6890.45573730467,10940.0,0.15770545528160146,0.369
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-101/anat/sub-101_T1w.nii.gz,,,,,sub-101,,256,170,256,0.9375,1.0998307,0.9375,5.536812782287598,11141120,2602988,0.23363791073069853,0.0,4466.0,1257.7728475824606,1301.0,657.9870113653657,409.0,0.722878519008364,0.366143056121339,64.0,171.0,2240.0,3216.0,0.6445330395867199,0.3882
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-100/anat/sub-100_T1w.nii.gz,,,,,sub-100,,256,170,256,0.9375,1.1,0.9375,5.4143877029418945,11141120,2654109,0.23822640811695772,0.0,3153.0,963.1351387555015,1013.0,505.5292258576003,344.0,-0.2498068374040221,0.06875721162450835,49.0,121.92527160644528,1708.0,2237.0,0.8831831473437373,0.392
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-103/anat/sub-103_T1w.nii.gz,,,,,sub-103,,256,220,256,1.0,1.0,1.0,4.327511787414551,14417920,2201017,0.152658427845348,0.0,2453.0,457.0124186224179,459.0,255.8992113271843,192.0,0.4311312225910431,0.24325567048764807,8.389844474792481,43.0,829.0,978.0,1.0281099180717397,0.3002
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-1/anat/sub-1_T1w.nii.gz,,,,,sub-1,,256,228,256,1.0,1.0001361,1.0,4.720914840698242,14942208,2411039,0.16135761194061815,0.0,2536.0,464.6723541939896,456.0,264.2256030495011,178.0,2.1332849873379303,0.7422221032518942,10.0,55.0,828.0,1308.2550732422003,1.000075143025992,0.3092
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-104/anat/sub-104_T1w.nii.gz,,,,,sub-104,,256,170,256,0.9375,1.1,0.9375,6.346518516540527,11141120,2845294,0.2553867115693934,0.0,5989.0,2140.5087067930012,2303.0,1029.5050678640182,715.0,-0.7528103363852372,-0.39283667294092683,59.0,250.0,3614.0,3928.0,0.5075426574124573,0.415
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-105/anat/sub-105_T1w.nii.gz,,,,,sub-105,,256,170,256,0.937492,1.1,0.937489,5.263088226318359,11141120,2352952,0.21119528377757352,0.0,5912.0,1708.4263044126958,1787.6719970703125,917.2735231252461,715.6719970703125,-0.7743121445462733,-0.018496536185824405,58.0,201.0,3122.0,3433.489999999758,0.5086915900065891,0.364
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-106/anat/sub-106_T1w.nii.gz,,,,,sub-106,,256,170,256,0.9375,1.0998325,0.9375,5.553520202636719,11141120,2435505,0.21860504150390625,0.0,6980.0,2156.596883938836,2269.0,1091.7278241708254,754.0,-0.26176279363074384,0.05003519051990328,113.08399383544923,314.0,3781.0,4896.0,0.4411032060112666,0.3764
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-109/anat/sub-109_T1w.nii.gz,,,,,sub-109,,256,170,256,0.9375,1.1,0.937515,5.71828556060791,11141120,2553965,0.22923772475298712,0.0,7460.0,2063.7698422992858,2174.0,1026.9331908616323,684.0,0.4066682796314982,0.14121032953454127,139.0,300.0,3500.0,4894.0,0.40852627551757587,0.3881
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-11/anat/sub-11_T1w.nii.gz,,,,,sub-11,,256,220,256,1.0,1.0002657,1.0,4.659191131591797,14417920,2369588,0.16435019753196023,0.0,2556.0,475.9763438244533,476.0,282.0110160459284,211.0,1.1171929969295809,0.5342057200659286,6.806526341438293,44.0,874.0,1268.0,1.001005174314596,0.3087
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-110/anat/sub-110_T1w.nii.gz,,,,,sub-110,,256,160,256,0.9375,1.1,0.9375,5.826783180236816,10485760,2642524,0.25201072692871096,0.0,6093.0,2129.2869696117323,2317.0,1070.0034625669637,740.0,-0.7904306983472478,-0.3155480332632396,85.0,233.0,3669.0,4029.0,0.5004924416203236,0.408
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-112/anat/sub-112_T1w.nii.gz,,,,,sub-112,,256,256,106,0.9375,0.9375,1.5,3.897336006164551,6946816,2013157,0.2897956416292011,0.0,3453.0,636.758616411034,654.0,379.0617600494217,263.0,1.008054715567086,0.4597720227074564,1.0,33.0,1174.0,1752.0,0.7696456946445406,0.4232
IDEAS,/run/media/falconnier/Elements/BIDS_datasets_selection/IDEAS/sub-111/anat/sub-111_T1w.nii.gz,,,,,sub-111,,256,170,256,0.9375,1.0997741,0.9375,5.698402404785156,11141120,2540860,0.22806145163143382,0.0,6921.0,2020.6783603391325,2149.0,1062.1115742383279,757.0,-0.42148769125014907,-0.05762014045361058,55.0,218.11968460083014,3561.0,4377.0,0.44159980465974547,0.382
