dataset,path,error,tesla,manufacturer,model,subject,session,dim_x,dim_y,dim_z,voxel_x_mm,voxel_y_mm,voxel_z_mm,file_size_mb,n_voxels,n_nonzero,nonzero_frac,min,max,mean,median,std,mad,kurtosis,skewness,p01,p05,p95,p99,entropy,efc
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5002/ses-5/anat/sub-5002_ses-5_acq-D1S7_T1w.nii.gz,,,,,sub-5002,ses-5,192,256,256,1.0,1.0,1.0,7.128361701965332,12582912,6142508,0.48816267649332684,0.0,3167.0000145211816,124.9259353616124,11.018173545598984,211.11449276329031,8.988509997725487,20.06553245231939,3.4604924577480762,1.0148317739367485,1.9813382253050804,486.0077690705657,940.0241746008396,0.5884031616833527,0.3264
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5002/ses-5/anat/sub-5002_ses-5_acq-D1S2_T1w.nii.gz,,,,,sub-5002,ses-5,192,256,256,1.0,1.0,1.0,7.369729042053223,12582912,6499749,0.5165536403656006,0.0,3187.999938223511,111.61933615998983,10.993941955268383,194.93317352172437,7.977904781699181,21.88921301718697,3.597044956799229,1.0215609781444073,1.9944761954247952,445.9843356013298,876.0128616392612,0.5747368312274751,0.3285
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5004/ses-5/anat/sub-5004_ses-5_acq-D1S2_T1w.nii.gz,,,,,sub-5004,ses-5,192,256,256,1.0,1.0,1.0,7.751422882080078,12582912,6845301,0.544015645980835,0.0,3292.0000602677464,129.1298205145873,9.996307499706745,216.07742941275137,6.982345439493656,17.22638300778422,3.163252681908873,1.0046540200710297,2.0093080401420593,509.0079592689872,956.9831868186593,0.559816426333131,0.3484
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5003/ses-5/anat/sub-5003_ses-5_acq-D1S3_T1w.nii.gz,,,,,sub-5003,ses-5,192,256,256,1.0,1.0,1.0,8.015900611877441,12582912,7009631,0.5570754210154215,0.0,4054.999892245978,133.71130087511034,11.013809122145176,224.80283573709568,8.043793179094791,22.236374424087995,3.5499577936523132,0.9900053143501282,1.9800106287002563,501.99456970766187,1008.0110360048711,0.46532416102688123,0.3531
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5003/ses-7/anat/sub-5003_ses-7_acq-D1S11_T1w.nii.gz,,,,,sub-5003,ses-7,192,256,256,1.0,1.0,1.0,8.053746223449707,12582912,7154009,0.5685495535532633,0.0,3582.000029683113,135.82296572891653,13.008560419082642,225.2062018745025,10.00238049030304,16.886489571885615,3.1350284783068925,0.9838407039642334,2.0223392248153687,540.0192308425903,1003.025597691536,0.5298291112944173,0.3604
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5003/ses-7/anat/sub-5003_ses-7_acq-D1S2_T1w.nii.gz,,,,,sub-5003,ses-7,192,256,256,1.0,1.0,1.0,8.53355598449707,12582912,7300373,0.5801815191904703,0.0,3705.000105947256,131.3946088953285,13.002975881099701,219.3770091663072,10.006637960672379,18.606641036268503,3.252963369191804,1.0176241993904114,1.978713721036911,520.0059658885002,970.0220007300377,0.5121570484036215,0.3629
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5004/ses-7/anat/sub-5004_ses-7_acq-D1S2_T1w.nii.gz,,,,,sub-5004,ses-7,192,256,256,1.0,1.0,1.0,7.973210334777832,12582912,7177362,0.5704054832458496,0.0,3987.9999380372465,116.02009791025984,9.979888454079628,202.07532124720376,7.9717401675879955,26.461064664919835,3.7691184955860644,0.9736476540565491,2.0081482864916325,454.02407168224454,884.011216904968,0.4608291072873779,0.3478
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5005/ses-7/anat/sub-5005_ses-7_acq-D1S2_T1w.nii.gz,,,,,sub-5005,ses-7,192,256,256,1.0,1.0,1.0,8.023985862731934,12582912,7082869,0.5628958543141683,0.0,3445.999907646328,121.69669676697009,10.989760901778936,231.6182584450536,7.992553383111954,29.74776796026225,4.299448057194366,0.9990691728889942,1.9981383457779884,500.0078297369182,1037.9802880436182,0.5342179460647422,0.3225
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5006/ses-5/anat/sub-5006_ses-5_acq-D1S2_T1w.nii.gz,,,,,sub-5006,ses-5,192,256,256,1.0,1.0,1.0,7.833901405334473,12582912,6753380,0.5367104212443033,0.0,3483.000075481832,144.07262999397733,11.001465104520321,257.6646985818871,8.025223337113857,19.066752460692452,3.5377804700423297,1.0097963139414787,2.0195926278829575,582.0147070512176,1279.9965486824512,0.5430818199773818,0.3291
LNDLPC,/run/media/falconnier/Elements/BIDS_datasets_selection/LNDLPC/sub-5007/ses-5/anat/sub-5007_ses-5_acq-D1S7_T1w.nii.gz,,,,,sub-5007,ses-5,192,256,256,1.0,1.0,1.0,8.031360626220703,12582912,7246226,0.5758783022562662,0.0,3788.0000601522624,121.12970961356073,10.98222341388464,214.01438559214486,8.034363444894552,24.67834229749288,3.798547013997388,0.9826199896633625,2.0230411551892757,498.01493123173714,940.0205230526626,0.4941739234671293,0.3465
